السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,جازان,المقبعى,المقبعى,فيلا,سكني,1,48000,218.18
2025,2,جازان,أبو عريش - أبو عريش,الربيع,استديو,سكني,1,15000,250
2025,2,جازان,صبياء,الناصرية,مكتب,تجاري,6,0,0
2025,2,جازان,ابو عمران,ابو عمران,شقة,سكني,1,18000,181.81
2025,2,جازان,مرضيه,مرضيه,شقة,سكني,1,18000,90
2025,2,جازان,جازان,جامعة جازان,محل,تجاري,1,0,0
2025,2,جازان,الحميراء,الحميراء,محل,تجاري,1,0,0
2025,2,جازان,المعطن,المعطن,محل,تجاري,1,0,0
2025,2,جازان,ابوالسلع,ابوالسلع,محل,تجاري,5,0,0
2025,2,جازان,السنطه,السنطه,شقة,سكني,1,18000,181.81
2025,2,جازان,جازان,المحمدية 1,فيلا,سكني,11,43942.85,169.49
2025,2,جازان,أبو عريش - أبو عريش,الأندلس,استديو,سكني,1,12000,275.54
2025,2,جازان,صامطة,النزهة,استديو,سكني,1,6000,400
2025,2,جازان,الحجروف,الحجروف,شقة,سكني,1,18000,200
2025,2,جازان,النحت,النحت,شقة,سكني,3,12466.66,77.19
2025,2,جازان,سالب,سالب,شقة,سكني,1,18000,257.14
2025,2,جازان,بنى مخال,بنى مخال,شقة,سكني,2,18000,112.55
2025,2,جازان,صبياء,النجوم,شقة,سكني,6,14100,138.58
2025,2,جازان,ماهسه,ماهسه,شقة,سكني,2,17500,71.19
2025,2,جازان,جازان,المطار,دور,سكني,13,30150,178.28
2025,2,جازان,الكومه,الكومه,شقة,سكني,1,16000,133.33
2025,2,جازان,صامطة - الكدره,الكدره,دور,سكني,1,12000,53.57
2025,2,جازان,جازان,الواصلى,شقة,سكني,12,13066.66,105.67
2025,2,جازان,الصرب,الصرب,شقة,سكني,1,18000,211.76
2025,2,جازان,بيش - المشبه,المشبه,شقة,سكني,2,14400,77
2025,2,جازان,الحفول,الحفول,شقة,سكني,1,18000,100
2025,2,جازان,السيمران,السيمران,شقة,سكني,1,10800,60
2025,2,جازان,صامطة,المروج,استديو,سكني,3,10000,223.33
2025,2,جازان,ضمد,البساتين,شقة,سكني,1,18000,211.76
2025,2,جازان,جازان,جامعة جازان,شقة,سكني,7,19160,124.4
2025,2,جازان,النجاميه,النجاميه,شقة,سكني,10,13050,111.5
2025,2,جازان,أحد المسارحة,القسوم,استديو,سكني,1,12000,120
2025,2,جازان,جازان,الأراك 1,شقة,سكني,13,13054.54,121.97
2025,2,جازان,السلام بني واصل,الزخميه,شقة,سكني,5,13680,144.81
2025,2,جازان,حله جحشور,حله جحشور,شقة,سكني,2,10800,138.7
2025,2,جازان,المقندر,المقندر,شقة,سكني,1,20000,227.27
2025,2,جازان,العيدابي - المصياده,المصياده,شقة,سكني,1,18000,85.71
2025,2,جازان,اوباد,اوباد,شقة,سكني,2,16500,130.38
2025,2,جازان,الوحش,الوحش,شقة,سكني,1,18000,100
2025,2,جازان,أحد المسارحة,المنزم,محل,تجاري,5,0,0
2025,2,جازان,النفيعه,النفيعه,محل,تجاري,2,0,0
2025,2,جازان,السويديه,السويديه,شقة,سكني,1,16000,80
2025,2,جازان,الشوراء,الشوراء,شقة,سكني,2,17500,139.88
2025,2,جازان,الدش,الدش,شقة,سكني,1,18000,257.14
2025,2,جازان,جازان,الروضة,دوبلاكس,سكني,2,20400,136
2025,2,جازان,نيد الحقو,نيد الحقو,شقة,سكني,1,20000,166.66
2025,2,جازان,عزان,عزان,شقة,سكني,1,20000,151.51
2025,2,جازان,المجره,المجره,شقة,سكني,1,18000,116.12
2025,2,جازان,المقيدر,المقيدر,محل,تجاري,1,0,0
2025,2,جازان,النعامية,النعامية,شقة,سكني,1,15000,100
2025,2,جازان, صبيا - الحرف,الحرف,شقة,سكني,1,12000,133.33
2025,2,جازان,أحد المسارحة,الغصينية,محل,تجاري,2,0,0
2025,2,جازان,جازان,السويس 1,دوبلاكس,سكني,1,72000,351.21
2025,2,جازان,جازان,الثريا 2,شقة,سكني,2,14000,73.91
2025,2,جازان,اللكيت,اللكيت,شقة,سكني,1,18000,211.76
2025,2,جازان,عثوان,عثوان,محل,تجاري,1,0,0
2025,2,جازان,الحقو,الحقو,شقة,سكني,8,17840,136.18
2025,2,جازان,قايم نخب,قايم نخب,شقة,سكني,4,15600,148.5
2025,2,جازان,المرتجم,المرتجم,محل,تجاري,1,0,0
2025,2,جازان,الدرادحه مد الشام,الدرادحه مد الشام,شقة,سكني,1,18000,180
2025,2,جازان,صامطة,الدريعيه,محل,تجاري,2,0,0
2025,2,جازان,ضمد,الزرقاء,محل,تجاري,1,0,0
2025,2,جازان,صبياء,المروج,محل,تجاري,33,0,0
2025,2,جازان,الدائر,الحارة الوسطى,محل,تجاري,8,0,0
2025,2,جازان,جازان,الحزم 3,دور,سكني,2,10800,84
2025,2,جازان,فرسان - المحرق,المحرق,شقة,سكني,7,12900,146.94
2025,2,جازان,أبو الكزم,أبو الكزم,شقة,سكني,1,12000,60
2025,2,جازان,صبياء,الشفاء,محل,تجاري,1,0,0
2025,2,جازان,الحدق,الحدق,شقة,سكني,4,18016.66,192.34
2025,2,جازان,المرابى,المرابى,شقة,سكني,2,15000,121.81
2025,2,جازان,جازان,المطار,مكتب,تجاري,25,0,0
2025,2,جازان,جازان,الحزم 2,دور,سكني,1,6000,50
2025,2,جازان,اللقيه,اللقيه,محل,تجاري,5,0,0
2025,2,جازان,نقل المزامير,نقل المزامير,شقة,سكني,1,18000,180
2025,2,جازان,صامطة,الروضة,استديو,سكني,1,12000,200
2025,2,جازان,صامطة - الكدره,الكدره,شقة,سكني,2,11100,135
2025,2,جازان,ذو الحراج,ذو الحراج,شقة,سكني,1,18000,140.62
