السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,3,جازان,العيدابي - الصفا,الصفا,شقة,سكني,3,15000,125
2025,3,جازان,بقعه القريه,بقعه القريه,شقة,سكني,1,7200,72
2025,3,جازان,المعصور,المعصور,محل,تجاري,1,0,0
2025,3,جازان,فرسان - فرسان,الجامعة,شقة,سكني,1,13200,67.69
2025,3,جازان,العارضه,العارضه,دور,سكني,6,15200,86.16
2025,3,جازان,الذياب,الذياب,محل,تجاري,2,0,0
2025,3,جازان,الجازر,الجازر,شقة,سكني,8,21000,188.78
2025,3,جازان,فوق النيد,فوق النيد,شقة,سكني,1,18000,225
2025,3,جازان,قائم ملفى,قائم ملفى,شقة,سكني,1,18000,140.5
2025,3,جازان,جازان,الزهور,معرض تجاري,تجاري,1,0,0
2025,3,جازان,صامطة,مختارة,شقة,سكني,30,12480,119.55
2025,3,جازان,صامطة,ابو حجر الاسفل,دور,سكني,1,5400,30
2025,3,جازان,أبو عريش - أبو عريش,الورود,شقة,سكني,99,14866.66,136.85
2025,3,جازان,صامطة,النعيم,استديو,سكني,1,9600,282.35
2025,3,جازان,الحمرايه,الحمرايه,محل,تجاري,1,0,0
2025,3,جازان, العيدابي - المراويغ,المراويغ,شقة,سكني,3,15600,104
2025,3,جازان,الرونه,الرونه,محل,تجاري,1,0,0
2025,3,جازان,ضمد,السليل,استديو,سكني,2,14400,500.57
2025,3,جازان,الجوابره,الجوابره,شقة,سكني,1,12000,120
2025,3,جازان,المهزل,المهزل,شقة,سكني,5,13500,142.19
2025,3,جازان,الحرجه,الحرجه,محل,تجاري,19,0,0
2025,3,جازان,قاع الجعارين,قاع الجعارين,شقة,سكني,1,15600,156
2025,3,جازان,فيفاء - العرق,العرق,محل,تجاري,1,0,0
2025,3,جازان,ثاهر جنون,ثاهر جنون,استديو,سكني,1,6000,200
2025,3,جازان,الشاقه,الشاقه,محل,تجاري,1,0,0
2025,3,جازان,فيفاء - العرق,العرق,دور,سكني,1,12000,60
2025,3,جازان,الكدمى,الكدمى,شقة,سكني,8,14400,160
2025,3,جازان,الطوالبه,الطوالبه,محل,تجاري,1,0,0
2025,3,جازان,ضمد,السليل,شقة,سكني,41,14543.75,119.34
2025,3,جازان,الشقيق,الشقيق,دور,سكني,2,20598,111.72
2025,3,جازان,العزابيه ومزارعها,العزابيه ومزارعها,استديو,سكني,2,10200,295.71
2025,3,جازان, الدائر - المحنيه,المحنيه,دور,سكني,1,18000,180
2025,3,جازان,ختب,السقيد,شقة,سكني,2,7200,92
2025,3,جازان,الجوفاء,الجوفاء,شقة,سكني,1,10800,93.1
2025,3,جازان,جازان,السويس 2,دور,سكني,2,19800,132
2025,3,جازان,الحميراء,الحميراء,شقة,سكني,2,12250,59.8
2025,3,جازان,جحا,جحا,شقة,سكني,6,12000,168.46
2025,3,جازان,جازان,الشاطئ,دوبلاكس,سكني,1,24000,133.33
2025,3,جازان,بيش - المشبه,المشبه,شقة,سكني,2,15600,177.25
2025,3,جازان,أبو عريش - أبو عريش,السادليه الغربيه ومزارعها,شقة,سكني,14,16560,117.44
2025,3,جازان,صامطة,الإسكان,شقة,سكني,44,20400,193.82
2025,3,جازان,العمارية,العمارية,شقة,سكني,2,14100,155
2025,3,جازان,صامطة,الشهداء,شقة,سكني,2,21000,145
2025,3,جازان,الحقو,الحقو,محل,تجاري,1,0,0
2025,3,جازان,صبياء,نجران,شقة,سكني,7,14666.66,123.77
2025,3,جازان,أبو عريش - أبو عريش,رح آل مطاعن,دور,سكني,1,14400,80
2025,3,جازان,الحرث - البيضاء,البيضاء,شقة,سكني,2,25000,166.66
2025,3,جازان,صبياء,الصناعية,شقة,سكني,26,8400,60.86
