السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,4,جازان, العارضة - الحرائق,الحرائق,محل,تجاري,1,0,0
2025,4,جازان,صامطة,الشهداء,محل,تجاري,2,0,0
2025,4,جازان,جازان,الفقهاء,محل,تجاري,5,0,0
2025,4,جازان,صامطة - القفل,القفل,شقة,سكني,10,15428.57,117.25
2025,4,جازان,الشبيكات,نصب العكاس,شقة,سكني,1,14400,100.69
2025,4,جازان,سلامه الدراج,سلامه الدراج,شقة,سكني,14,16138.46,142.22
2025,4,جازان,الخلايف,الخلايف,محل,تجاري,1,0,0
2025,4,جازان,بيش,الخضراء 2,شقة,سكني,2,12900,112.18
2025,4,جازان,المحله ومزارعها,المحله ومزارعها,شقة,سكني,16,16685.71,111
2025,4,جازان,وادي دفا الجزء الشمالي ـ مركز إماره دفاء,وادي دفا الجزء الشمالي ـ مركز إماره دفاء,شقة,سكني,2,12000,92.64
2025,4,جازان,القائم الاوسط,القائم الاوسط,شقة,سكني,2,12000,171.42
2025,4,جازان,المقيدر,المقيدر,شقة,سكني,4,16250,135
2025,4,جازان,صامطة,الزاوية,شقة,سكني,16,16618.18,141.16
2025,4,جازان,الدائر - الضلع,الضلع,شقة,سكني,2,18000,205.88
2025,4,جازان,فيفاء - العره,العره,شقة,سكني,1,9600,96
2025,4,جازان,جازان,المطار,فيلا,سكني,2,65150,259.07
2025,4,جازان,نيد الجرنه,نيد الجرنه,شقة,سكني,1,18000,180
2025,4,جازان,جازان,جامعة جازان,مكتب,تجاري,1,0,0
2025,4,جازان,معرمه,معرمه,شقة,سكني,1,18000,90
2025,4,جازان,الكدره  ام دهشيلة,الكدره  ام دهشيلة,محل,تجاري,3,0,0
2025,4,جازان,ابو الحنايه,ابو الحنايه,شقة,سكني,3,16000,115.8
2025,4,جازان, هروب - قرى الاودية,قرى الاودية,شقة,سكني,2,18000,165
2025,4,جازان,عثمان خرمى,عثمان خرمى,شقة,سكني,1,12000,66.66
2025,4,جازان,صامطة - المعترض,الوتد,محل,تجاري,7,0,0
2025,4,جازان,شعب,شعب,شقة,سكني,13,16615.38,122.51
2025,4,جازان,العارضة - المنجاره,المنجاره,دور,سكني,1,12000,92.3
2025,4,جازان,صامطة,المكرمية,محل,تجاري,53,0,0
2025,4,جازان,ابو لهب,ابو لهب,شقة,سكني,1,18000,180
2025,4,جازان,فرسان - فرسان,الجنوبي,استديو,سكني,4,14400,720
2025,4,جازان,عيسان,عيسان,شقة,سكني,1,18000,128.57
2025,4,جازان,الشعافه,الشعافه,شقة,سكني,7,17416.66,124.16
2025,4,جازان,رديس الاعلى,رديس الاعلى,شقة,سكني,10,14400,110.35
2025,4,جازان, الدائر - باديه,باديه,شقة,سكني,1,17500,175
2025,4,جازان,العارضه,العارضه,محل,تجاري,87,0,0
2025,4,جازان,جلال,جلال,شقة,سكني,1,18000,100
2025,4,جازان,منهبه,منهبه,محل,تجاري,5,0,0
2025,4,جازان,جازان,الزهور,معرض تجاري,تجاري,4,0,0
2025,4,جازان,الغاوية,الغاوية,شقة,سكني,5,17400,127
2025,4,جازان,أحد المسارحة,الميزاب,محل,تجاري,2,0,0
2025,4,جازان,صبياء,البساتين,معرض تجاري,تجاري,1,0,0
2025,4,جازان,المجامه,المجامه,محل,تجاري,1,0,0
2025,4,جازان,جازان,الروضة,استديو,سكني,33,11580,360.3
2025,4,جازان,صبياء,الفيصلية,معرض تجاري,تجاري,5,0,0
2025,4,جازان,أبو عريش - أبو عريش,النسيم,استديو,سكني,1,8400,168
2025,4,جازان,جازان,الصناعية,شقة,سكني,4,16533.33,100.07
2025,4,جازان,صامطة,ابو حجر الاسفل,دور,سكني,1,8400,56
2025,4,جازان,هروب,هروب,شقة,سكني,23,17027.27,145.69
2025,4,جازان,عمود,عمود,محل,تجاري,1,0,0
2025,4,جازان,العارضه,العارضه,فيلا,سكني,1,39600,158.4
2025,4,جازان,الدهماء,الدهماء,شقة,سكني,1,18000,112.5
2025,4,جازان,احد المسارحة - الخرق,الخرق,شقة,سكني,3,15200,111.8
2025,4,جازان,الجشة,الجشة,دور,سكني,1,6000,24
2025,4,جازان,مريواء,مريواء,شقة,سكني,1,18000,112.5
2025,4,جازان,الحوامضه,الحوامضه,شقة,سكني,1,12000,100
2025,4,جازان,الخضراء الجنوبيه,الخضراء الجنوبيه,شقة,سكني,14,9966.66,95.93
2025,4,جازان,آل شراحيل,آل شراحيل,محل,تجاري,1,0,0
2025,4,جازان,صامطة,حطين,شقة,سكني,242,16710.98,140.82
2025,4,جازان,المحلبه,المحلبه,دور,سكني,1,19200,147.69
2025,4,جازان,جازان - الغريف,الغريف,شقة,سكني,13,14654.54,95.52
2025,4,جازان,الريان,الريان,شقة,سكني,58,14447.05,132.47
2025,4,جازان,العطن,العطن,شقة,سكني,1,18000,90
2025,4,جازان,جازان,الثريا 2,شقة,سكني,3,21333.33,154.09
2025,4,جازان,بين الظبر,بين الظبر,شقة,سكني,1,14400,144
2025,4,جازان,الخطيه   روان العبيد,الخطيه   روان العبيد,شقة,سكني,2,7800,114.72
2025,4,جازان,المقرقم,المقرقم,دور,سكني,2,10800,54
2025,4,جازان,الحمرايه,الجربه,شقة,سكني,7,14200,115.32
2025,4,جازان,أحد المسارحة,القسوم,شقة,سكني,21,15294.11,145.13
2025,4,جازان,الكدارى,الكدارى,شقة,سكني,1,18000,120
2025,4,جازان,أحد المسارحة,المنزم,محل,تجاري,3,0,0
2025,4,جازان,هروب - الجرب,الجرب,شقة,سكني,4,14250,133.07
2025,4,جازان,السميرات,السميرات,شقة,سكني,2,18000,135
2025,4,جازان,أبو عريش - أبو عريش,السلام,شقة,سكني,65,13501.75,125.75
2025,4,جازان,الزباره,الزباره,شقة,سكني,3,12000,155.23
2025,4,جازان,الرطيل,الرطيل,دور,سكني,1,8400,65.57
2025,4,جازان,ضمد,السليل,شقة,سكني,68,17069.49,157.95
2025,4,جازان,جازان,الفيصلية,شقة,سكني,2,16500,203.57
2025,4,جازان,رملان الدرب,رملان الدرب,شقة,سكني,4,13500,135.45
2025,4,جازان,ثاهر جنون,ثاهر جنون,شقة,سكني,1,6000,40
2025,4,جازان,ابو القعايد,ابو القعايد,دور,سكني,1,12000,60
2025,4,جازان,صامطة,الزهور,شقة,سكني,97,18030,148.01
2025,4,جازان,صامطة,الإسكان,دور,سكني,1,30000,166.66
2025,4,جازان,صبيا - السلامه,السلامه,شقة,سكني,2,14400,163.78
2025,4,جازان,الجردابي,الجردابي,شقة,سكني,2,18000,165
2025,4,جازان,المرابى,المرابى,دور,سكني,1,12000,120
2025,4,جازان,صامطة,الورود,شقة,سكني,71,19850.84,162.73
2025,4,جازان,أبو عريش - أبو عريش,وادى عز الدين,دور,سكني,1,30000,147.78
2025,4,جازان,ضمد - ابو العرج,ابو العرج,شقة,سكني,4,16500,117.5
2025,4,جازان,ام الشيح,ام الشيح,محل,تجاري,1,0,0
2025,4,جازان,الشوراء,الشوراء,شقة,سكني,6,17000,140
2025,4,جازان,الدائر,الحارة الجنوبية,شقة,سكني,64,16225,131.44
2025,4,جازان,صفوه,صفوه,دور,سكني,1,24000,120
2025,4,جازان,صامطة - السودي,السودي,شقة,سكني,4,15000,123.86
2025,4,جازان,ضمد,العوالى,شقة,سكني,4,15600,158.88
2025,4,جازان,القصبه,القصبه,شقة,سكني,1,18000,180
2025,4,جازان,المضايا,الحكاميه,استديو,سكني,3,8800,346.66
2025,4,جازان,ملبح,ملبح,دور,سكني,1,12000,34.28
2025,4,جازان,صامطة,حطين,محل,تجاري,115,0,0
2025,4,جازان,أبو السداد,ابو السداد,محل,تجاري,75,0,0
2025,4,جازان,ذراع منفه,ذراع منفه,شقة,سكني,4,18000,112.5
2025,4,جازان,الداثرى,الداثرى,شقة,سكني,2,16500,86.34
2025,4,جازان,ام الدبا,ام الدبا,دور,سكني,1,12000,65.93
2025,4,جازان,ابو القعايد,ابو القعايد,محل,تجاري,38,0,0
2025,4,جازان,فرسان - فرسان,الجنوبي,محل,تجاري,39,0,0
2025,4,جازان,رخيه,رخيه,شقة,سكني,12,17209.09,144.11
2025,4,جازان,فش البركه كبيش,فش البركه كبيش,دور,سكني,2,13200,66
2025,4,جازان,جازان,الحزم 3,شقة,سكني,1,18000,90
2025,4,جازان,الزراقية,الزراقية,شقة,سكني,1,6000,38.29
2025,4,جازان,صبياء,الظبية,دور,سكني,5,18100,122.22
2025,4,جازان,الموسم,الموسم,دور,سكني,1,26400,88
2025,4,جازان,جازان,القدس 2,شقة,سكني,1,16000,160
2025,4,جازان,بريقع,بريقع,محل,تجاري,2,0,0
2025,4,جازان,صامطة,ابوحجر الاعلى,دور,سكني,3,18000,142.33
2025,4,جازان,الغاوية,الغاوية,دور,سكني,1,12000,100
2025,4,جازان,وادى البير,وادى البير,شقة,سكني,2,18600,204.62
2025,4,جازان,صبياء,الباحر,محل,تجاري,17,0,0
2025,4,جازان,صامطة,النعيم,محل,تجاري,7,0,0
2025,4,جازان,العيدابي - العقبه,العقبه,شقة,سكني,1,18000,120
2025,4,جازان,المديري,المديري,محل,تجاري,9,0,0
2025,4,جازان,أبو عريش - أبو عريش,السادليه الغربيه ومزارعها,دور,سكني,2,22800,152
2025,4,جازان,خالف الصيابه,خالف الصيابه,شقة,سكني,1,18000,90
2025,4,جازان,الطوالبه,الطوالبه,شقة,سكني,1,18000,100
2025,4,جازان,المهليه,المهليه,شقة,سكني,1,18000,100
2025,4,جازان,صامطة,الجاضع,محل,تجاري,21,0,0
2025,4,جازان,الطوالبه,الطوالبه,دور,سكني,1,15600,111.42
2025,4,جازان,سر الدبع,سر الدبع,شقة,سكني,4,11400,84.68
2025,4,جازان,الدائر,الحارة الشرقية,استديو,سكني,5,5700,181.5
2025,4,جازان,الغلفه,الغلفه,شقة,سكني,1,12500,104.16
2025,4,جازان,أبو عريش - أبو عريش,وادى عز الدين,شقة,سكني,4,16650,114.75
2025,4,جازان,أبو عريش - أبو عريش,السلام,دور,سكني,2,15000,120.58
2025,4,جازان,الحميراء,الحميراء,محل,تجاري,6,0,0
2025,4,جازان,جازان,العجيبية,محل,تجاري,1,0,0
2025,4,جازان,صامطة,المروج,محل,تجاري,1,0,0
2025,4,جازان,الحجابين,الحجابين,شقة,سكني,1,6000,60
2025,4,جازان,بخشه,بخشه,شقة,سكني,1,14000,140
2025,4,جازان,أبو عريش - أبو عريش,السادليه الغربيه ومزارعها,شقة,سكني,27,15069.56,133.95
2025,4,جازان,الريان,الكوامله,محل,تجاري,3,0,0
2025,4,جازان,الشقيق,الشقيق,محل,تجاري,30,0,0
2025,4,جازان,ضمد,الزرقاء,شقة,سكني,23,16962.5,102.21
2025,4,جازان,أبو عريش - أبو عريش,السلام,محل,تجاري,30,0,0
2025,4,جازان,وادى قير,وادى قير,شقة,سكني,1,6000,46.82
2025,4,جازان,انمي,انمي,شقة,سكني,1,12000,51.28
2025,4,جازان,أبو عريش - أبو عريش,الزهور,مكتب,تجاري,2,0,0
2025,4,جازان,هروب - الجوف,الجوف,شقة,سكني,1,16500,183.33
2025,4,جازان,ضمد,خضيرة,محل,تجاري,12,0,0
2025,4,جازان,الرصعة,الرصعة,شقة,سكني,2,18000,241.07
2025,4,جازان,الدحره,الدحره,محل,تجاري,1,0,0
2025,4,جازان,الحوامضه جحيش,الحوامضه جحيش,شقة,سكني,1,18000,72
2025,4,جازان,الحمى,الحمى,شقة,سكني,8,16637.5,122.3
2025,4,جازان,أبو عريش - أبو عريش,النهضة,معرض تجاري,تجاري,1,0,0
2025,4,جازان,جازان,المروج 1,دور,سكني,2,15600,78
2025,4,جازان,صبياء,البساتين,شقة,سكني,8,13714.28,136.03
2025,4,جازان, الدائر - المحنيه,المحنيه,دور,سكني,1,18000,180
2025,4,جازان,الخطو,الخطو,شقة,سكني,1,15600,141.81
2025,4,جازان,أبو عريش - أبو عريش,القدس,شقة,سكني,73,17118.01,147.79
2025,4,جازان,صامطة,المكرمية,استديو,سكني,2,9600,320
2025,4,جازان,الشاقه العبادله,الشاقه العبادله,شقة,سكني,2,15200,152
2025,4,جازان,الغمله,الغمله,شقة,سكني,1,18000,140.48
2025,4,جازان,الخشم (الوجد),الخشم (الوجد),شقة,سكني,1,16500,183.33
2025,4,جازان,نيد اللمه,نيد اللمه,شقة,سكني,1,18000,100
2025,4,جازان,جازان,النهضة,شقة,سكني,2,18000,60
2025,4,جازان,مسيله,مسيله,محل,تجاري,2,0,0
2025,4,جازان,الدائر - المغسل,المغسل,شقة,سكني,1,18000,181.81
2025,4,جازان,العارضه,العارضه,دور,سكني,8,16320,135.22
2025,4,جازان,فش البركه كبيش,فش البركه كبيش,شقة,سكني,7,14614.28,102.44
2025,4,جازان,صامطة - الحرف,الحرف,محل,تجاري,1,0,0
2025,4,جازان,الجميحه,الجميحه,شقة,سكني,1,12000,93.66
2025,4,جازان,صامطة,التحلية,شقة,سكني,18,16431.25,118.89
2025,4,جازان,ام هذارب,ام هذارب,شقة,سكني,3,16800,144
2025,4,جازان,احد المسارحة - الزباره,الزباره,شقة,سكني,1,18000,180
2025,4,جازان,أحد المسارحة,المنزم,دور,سكني,3,31200,118.77
2025,4,جازان,جازان,الفيصلية,فيلا,سكني,9,24000,80
2025,4,جازان,الحبجيه,الحبجيه,دور,سكني,1,6000,50
2025,4,جازان,صبياء,المجد,مكتب,تجاري,1,0,0
2025,4,جازان,ابو العشره,أبوالعشرة الجنوبية,شقة,سكني,1,12000,80
2025,4,جازان,بيش - اللصبه,اللصبه,شقة,سكني,5,18400,143.12
2025,4,جازان,العرضه,العرضه,محل,تجاري,5,0,0
2025,4,جازان,جازان,الحزم 2,شقة,سكني,4,17000,108.42
2025,4,جازان,أحد المسارحة,الصناعية,محل,تجاري,5,0,0
2025,4,جازان,البديع والقرفي,الحارة الشمالية,دور,سكني,2,15000,95
2025,4,جازان,صبياء,الفيصلية,محل,تجاري,165,0,0
2025,4,جازان,جازان,الخالدية 1,محل,تجاري,4,0,0
2025,4,جازان,المرويغه,المرويغه,شقة,سكني,1,18000,120
2025,4,جازان,الشريمية,الشريمية,شقة,سكني,1,18000,120
2025,4,جازان,تربان,تربان,شقة,سكني,2,18000,135
2025,4,جازان,صامطة,المروج,استديو,سكني,4,9600,216
