السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,المدينة المنورة,المدينة المنورة,جشم,فيلا,سكني,1,40000,88.69
2025,1,المدينة المنورة,المدينة المنورة,العريض,محل,تجاري,310,0,0
2025,1,المدينة المنورة,ينبع,المجد,معرض تجاري,تجاري,1,0,0
2025,1,المدينة المنورة,المدينة المنورة,شظاة,شقة,سكني,313,19612.79,137.11
2025,1,المدينة المنورة,المدينة المنورة,الدفاع,محل,تجاري,540,0,0
2025,1,المدينة المنورة,الحناكية,المنطقة الصناعية,محل,تجاري,2,0,0
2025,1,المدينة المنورة,خيبر,الغزود,دور,سكني,1,18000,105.88
2025,1,المدينة المنورة,المدينة المنورة,الحساء,دور,سكني,1,26400,88
2025,1,المدينة المنورة,ينبع,الجابرية,فيلا,سكني,16,28292.3,51.54
2025,1,المدينة المنورة,المراميه,المراميه,شقة,سكني,5,14858.75,152.06
2025,1,المدينة المنورة,الخشيرمه,الخشيرمه,محل,تجاري,1,0,0
2025,1,المدينة المنورة,المدينة المنورة,الصويدرة,شقة,سكني,46,17688.62,146.38
2025,1,المدينة المنورة,العلا,المنح ب,دور,سكني,3,52800,161.63
2025,1,المدينة المنورة,المدينة المنورة,الجامعة,مكتب,تجاري,1,0,0
2025,1,المدينة المنورة,المدينة المنورة,الدرع,دور,سكني,1,28800,126.31
2025,1,المدينة المنورة,ينبع,قرطبة,فيلا,سكني,2,27000,102.85
2025,1,المدينة المنورة,فضلا,فضلا,شقة,سكني,2,14767.5,114.54
2025,1,المدينة المنورة,المدينة المنورة,المطار,فيلا,سكني,1,30000,100
2025,1,المدينة المنورة,المدينة المنورة,الفريش,دور,سكني,1,6000,47.1
2025,1,المدينة المنورة,المدينة المنورة,الراية,فيلا,سكني,2,30000,79.16
2025,1,المدينة المنورة,البوادي,البوادي,شقة,سكني,1,18000,150
2025,1,المدينة المنورة,المدينة المنورة,ورقان,معرض تجاري,تجاري,1,0,0
2025,1,المدينة المنورة,المدينة المنورة,الدويخلة,معرض تجاري,تجاري,9,0,0
2025,1,المدينة المنورة,المدينة المنورة,بنى عبد الأشهل,دوبلاكس,سكني,1,34000,266.91
2025,1,المدينة المنورة,ينبع,رضوى,فيلا,سكني,77,29521.31,121.03
2025,1,المدينة المنورة,المدينة المنورة,الحديقة,معرض تجاري,تجاري,39,0,0
2025,1,المدينة المنورة,المدينة المنورة,بئر عثمان,استديو,سكني,5,13000,266.66
2025,1,المدينة المنورة,ينبع,قرطبة,استديو,سكني,14,20750,606.87
2025,1,المدينة المنورة,المدينة المنورة,أبو سدر,شقة,سكني,17,16081.87,102.83
2025,1,المدينة المنورة,ينبع,البحيرة,استديو,سكني,2,6000,94.04
2025,1,المدينة المنورة,خيبر,النخيل,دور,سكني,1,12000,60
2025,1,المدينة المنورة,المنتزهه,المنتزهه,شقة,سكني,1,18000,90
2025,1,المدينة المنورة,ينبع,المجد,دور,سكني,4,55000,550
2025,1,المدينة المنورة,العشاش,العشاش,شقة,سكني,3,17500,119.55
2025,1,المدينة المنورة,سليلة جهينه,سليلة جهينه,محل,تجاري,3,0,0
2025,1,المدينة المنورة,العلا,المنح ب,محل,تجاري,32,0,0
2025,1,المدينة المنورة,المدينة المنورة,الفتح,دور,سكني,1,20000,125
2025,1,المدينة المنورة,ينبع,الربوة,شقة,سكني,133,12186,110.05
2025,1,المدينة المنورة,مهد الذهب,حي ج1,شقة,سكني,2,14800,95.91
2025,1,المدينة المنورة,المدينة المنورة,بئر عثمان,مكتب,تجاري,37,0,0
2025,1,المدينة المنورة,خيبر,الروضة,شقة,سكني,49,15255.26,105.97
2025,1,المدينة المنورة,المدينة المنورة,الشريبات,شقة,سكني,179,16270.87,121.63
2025,1,المدينة المنورة,ينبع,الحدائق,شقة,سكني,55,11563.15,94.62
2025,1,المدينة المنورة,المدينة المنورة,الجمعة,مكتب,تجاري,53,0,0
2025,1,المدينة المنورة,المدينة المنورة,بنى معاوية,معرض تجاري,تجاري,2,0,0
2025,1,المدينة المنورة,المدينة المنورة,الرانوناء,مكتب,تجاري,15,0,0
2025,1,المدينة المنورة,المدينة المنورة,وادي مهزور,دور,سكني,4,18750,83.89
2025,1,المدينة المنورة,الفقير,الفقير,مكتب,تجاري,1,0,0
