السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,المدينة المنورة,المدينة المنورة,العنابس,استديو,سكني,1,6000,104.13
2025,2,المدينة المنورة,دوينه,دوينه,شقة,سكني,1,18000,90
2025,2,المدينة المنورة,المدينة المنورة,بنى حارثة,فيلا,سكني,2,27500,67.17
2025,2,المدينة المنورة,الواديين (ابوشكير),الواديين (ابوشكير),محل,تجاري,3,0,0
2025,2,المدينة المنورة,خيبر,العيون,شقة,سكني,15,14750,108.05
2025,2,المدينة المنورة,المدينة المنورة,الظاهرة,شقة,سكني,251,17916.86,126.07
2025,2,المدينة المنورة,المدينة المنورة,بني خدرة,مكتب,تجاري,3,0,0
2025,2,المدينة المنورة,ينبع,الجابرية,دور,سكني,3,27000,135
2025,2,المدينة المنورة,المدينة المنورة,الشريبات,مكتب,تجاري,1,0,0
2025,2,المدينة المنورة,المدينة المنورة,الروابي,مكتب,تجاري,51,0,0
2025,2,المدينة المنورة,المدينة المنورة,الزهرة,محل,تجاري,51,0,0
2025,2,المدينة المنورة,المدينة المنورة,الصادقية,دوبلاكس,سكني,1,52000,94.54
2025,2,المدينة المنورة,الحناكية - سويقه,سويقه,شقة,سكني,15,17625,89.73
2025,2,المدينة المنورة,المدينة المنورة,جبل عير,شقة,سكني,3,8000,75
2025,2,المدينة المنورة,المدينة المنورة,السقيا,مكتب,تجاري,3,0,0
2025,2,المدينة المنورة,المدينة المنورة,الصادقية,استديو,سكني,1,13200,293.33
2025,2,المدينة المنورة,ينبع,الفردوس,فيلا,سكني,2,20000,100
2025,2,المدينة المنورة,نجار,نجار,شقة,سكني,2,6000,46.87
2025,2,المدينة المنورة,المدينة المنورة,ذو الحليفة,شقة,سكني,91,15971.3,113.55
2025,2,المدينة المنورة,ينبع,التلال,فيلا,سكني,1,30000,234.37
2025,2,المدينة المنورة,ينبع,الصبح,محل,تجاري,3,0,0
2025,2,المدينة المنورة,المدينة المنورة,النقا,محل,تجاري,80,0,0
2025,2,المدينة المنورة,العيص,العيينه,شقة,سكني,10,15779.16,146.28
2025,2,المدينة المنورة,ينبع,فيصل,مكتب,تجاري,1,0,0
2025,2,المدينة المنورة,المدينة المنورة,وادي مذينب,فيلا,سكني,20,58636.36,158.19
2025,2,المدينة المنورة,الأسلق (العزيزيه),الأسلق (العزيزيه),شقة,سكني,1,15000,187.5
2025,2,المدينة المنورة,المدينة المنورة,الجماوات,شقة,سكني,115,22260.26,153.31
2025,2,المدينة المنورة,المويهيه,المويهيه,شقة,سكني,1,16000,200
2025,2,المدينة المنورة,الحناكية,مخطط الاستيطان,شقة,سكني,30,14890.47,118.5
2025,2,المدينة المنورة,المدينة المنورة,سكة الحديد,استديو,سكني,16,11727.27,223.28
2025,2,المدينة المنورة,الداره,الداره,شقة,سكني,1,12035,141.58
2025,2,المدينة المنورة,ينبع,البثنة,شقة,سكني,17,18527.27,185.74
2025,2,المدينة المنورة,المدينة المنورة,العصبة,شقة,سكني,31,16286.05,131.23
2025,2,المدينة المنورة,العلا,المنح ب,شقة,سكني,154,27009.25,239.1
2025,2,المدينة المنورة,الحناكية,المنطقة الصناعية,شقة,سكني,2,18000,120
2025,2,المدينة المنورة,المدينة المنورة,وادي مذينب,شقة,سكني,697,19886.82,131.75
2025,2,المدينة المنورة,ينبع,غرناطة,شقة,سكني,4,12400,77.21
2025,2,المدينة المنورة,خيبر - الجرف,الجرف,شقة,سكني,2,17500,128.63
2025,2,المدينة المنورة,المدينة المنورة,الجصة,شقة,سكني,21,17937.43,142.85
2025,2,المدينة المنورة,الجديد,الجديد,محل,تجاري,1,0,0
2025,2,المدينة المنورة,المدينة المنورة,الدفاع,شقة,سكني,1584,17187.3,120.55
2025,2,المدينة المنورة,المربع,المربع,محل,تجاري,1,0,0
2025,2,المدينة المنورة,ينبع,البحيرة,دور,سكني,1,30000,120
2025,2,المدينة المنورة,ينبع,العصيلى,فيلا,سكني,1,27000,79.26
2025,2,المدينة المنورة,الرويضه,الرويضه,شقة,سكني,1,15000,64.1
2025,2,المدينة المنورة,المدينة المنورة,العهن,معرض تجاري,تجاري,4,0,0
2025,2,المدينة المنورة,الحناكية,حي الضريس,شقة,سكني,1,15000,136.36
2025,2,المدينة المنورة,المدينة المنورة,العريض,استديو,سكني,31,11090,206.25
2025,2,المدينة المنورة,ينبع,الربيع,فيلا,سكني,1,28000,93.66
2025,2,المدينة المنورة,الجديد,الجديد,شقة,سكني,1,18000,100
2025,2,المدينة المنورة,ينبع,البثنة,محل,تجاري,1,0,0
2025,2,المدينة المنورة,المدينة المنورة,البلقاء,شقة,سكني,28,13007.27,102.1
2025,2,المدينة المنورة,المدينة المنورة,الدرع,محل,تجاري,50,0,0
2025,2,المدينة المنورة,المدينة المنورة,القبيبة,محل,تجاري,8,0,0
2025,2,المدينة المنورة,اللحن,اللحن,شقة,سكني,7,17800,119.68
2025,2,المدينة المنورة,العلا,العزيزية,استديو,سكني,1,12000,171.42
2025,2,المدينة المنورة,المدينة المنورة,المليليح,محل,تجاري,24,0,0
2025,2,المدينة المنورة,خيبر,العزيزية,شقة,سكني,24,15950,98.59
2025,2,المدينة المنورة,المدينة المنورة,الهدراء,محل,تجاري,7,0,0
2025,2,المدينة المنورة,المدينة المنورة,البركة,شقة,سكني,259,16994.7,117.39
2025,2,المدينة المنورة,المدينة المنورة,وادي البطان,دور,سكني,5,24500,93.67
2025,2,المدينة المنورة,عرضاء,عرضاء,شقة,سكني,1,16500,128.9
2025,2,المدينة المنورة,الحناكية,مخطط الاستيطان,محل,تجاري,2,0,0
2025,2,المدينة المنورة,المدينة المنورة,العزيزية,شقة,سكني,846,15909.2,117.92
2025,2,المدينة المنورة,العلا,صدر الغربية,شقة,سكني,24,22105.55,200.39
2025,2,المدينة المنورة,ينبع,الياقوت,استديو,سكني,2,9600,320
2025,2,المدينة المنورة,ينبع,العيون,فيلا,سكني,29,48657.89,112.62
2025,2,المدينة المنورة,المدينة المنورة,العيون,محل,تجاري,82,0,0
2025,2,المدينة المنورة,العلا,الأندلس,محل,تجاري,28,0,0
2025,2,المدينة المنورة,المدينة المنورة,السد,استديو,سكني,4,13333.33,210.11
2025,2,المدينة المنورة,كحله,كحله,شقة,سكني,1,17000,56.66
2025,2,المدينة المنورة,ينبع,الصناعات الثقيلة,فيلا,سكني,2,32500,115.48
