السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,3,المدينة المنورة,المدينة المنورة,حرة الوبرة,مكتب,تجاري,8,0,0
2025,3,المدينة المنورة,المدينة المنورة,العيون,فيلا,سكني,6,80000,191.16
2025,3,المدينة المنورة,ينبع,المجد,دور,سكني,2,10500,68.12
2025,3,المدينة المنورة,ينبع النخل,ينبع النخل,شقة,سكني,2,18000,100
2025,3,المدينة المنورة,المدينة المنورة,العزيزية,شقة,سكني,908,15975.11,114.27
2025,3,المدينة المنورة,المدينة المنورة,الاناهي,دور,سكني,6,33125,118.64
2025,3,المدينة المنورة,المدينة المنورة,النقا,معرض تجاري,تجاري,15,0,0
2025,3,المدينة المنورة,بئر بنى درويش,بئر بنى درويش,شقة,سكني,1,18000,227.84
2025,3,المدينة المنورة,المدينة المنورة,كتانة,فيلا,سكني,1,40000,160
2025,3,المدينة المنورة,المدينة المنورة,بضاعة,معرض تجاري,تجاري,9,0,0
2025,3,المدينة المنورة,بئر بخيت,بئر بخيت,شقة,سكني,1,12000,184.61
2025,3,المدينة المنورة,ينبع,الحوراء,شقة,سكني,59,17149.95,140.47
2025,3,المدينة المنورة,ينبع,الرابية,استديو,سكني,4,17333.33,293.33
2025,3,المدينة المنورة,المدينة المنورة,الخضراء,فيلا,سكني,1,40000,133.33
2025,3,المدينة المنورة,المدينة المنورة,المندسة,شقة,سكني,9,13000,130.2
2025,3,المدينة المنورة,المدينة المنورة,الراية,معرض تجاري,تجاري,24,0,0
2025,3,المدينة المنورة,المدينة المنورة,بئر عثمان,شقة,سكني,142,19280.57,143.84
2025,3,المدينة المنورة,المدينة المنورة,الدويمة,شقة,سكني,348,16102.69,123.79
2025,3,المدينة المنورة,المدينة المنورة,الصادقية,شقة,سكني,4,15250,120.6
2025,3,المدينة المنورة,المدينة المنورة,العريض,شقة,سكني,2754,19461.02,153.02
2025,3,المدينة المنورة,الثمد,الحي الشرقي,شقة,سكني,13,15038.46,111.99
2025,3,المدينة المنورة,ينبع,الدانة,فيلا,سكني,1,24000,96
2025,3,المدينة المنورة,ينبع,السميري,محل,تجاري,3,0,0
2025,3,المدينة المنورة,ترعة,ترعة,شقة,سكني,2,16500,121.47
2025,3,المدينة المنورة,ينبع,رضوى,فيلا,سكني,84,30118.04,133.32
2025,3,المدينة المنورة,محطة تحلية المياه,محطة تحلية المياه,فيلا,سكني,19,24090,71.62
2025,3,المدينة المنورة,المدينة المنورة,وادي مذينب,فيلا,سكني,16,48333.33,161.99
2025,3,المدينة المنورة,بدر,مخطط الغزلاني,محل,تجاري,13,0,0
2025,3,المدينة المنورة,المدينة المنورة,جماء أم خالد,شقة,سكني,77,15425.64,149.13
