السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,4,المدينة المنورة,المدينة المنورة,المغيسلة,معرض تجاري,تجاري,3,0,0
2025,4,المدينة المنورة,قصير عمودان,قصير عمودان,شقة,سكني,1,14000,116.66
2025,4,المدينة المنورة,الحناكية,بطيحان الغربي,شقة,سكني,14,15552.5,153.98
2025,4,المدينة المنورة,ينبع,الربوة,فيلا,سكني,1,30000,15
2025,4,المدينة المنورة,الرايس,الرايس,فيلا,سكني,1,24600,123
2025,4,المدينة المنورة,المدينة المنورة,سد الغابة,محل,تجاري,7,0,0
2025,4,المدينة المنورة,المدينة المنورة,وادي مذينب,فيلا,سكني,18,69545.45,225.59
2025,4,المدينة المنورة,المدينة المنورة,طيبة,فيلا,سكني,5,37600,146.83
2025,4,المدينة المنورة,الحناكية,حي الضريس,شقة,سكني,3,18000,168.82
2025,4,المدينة المنورة,العلا,الديرة,شقة,سكني,1,18000,90
2025,4,المدينة المنورة,المدينة المنورة,شظاة,شقة,سكني,373,20270.3,140.69
2025,4,المدينة المنورة,ينبع,رضوى,محل,تجاري,42,0,0
2025,4,المدينة المنورة,المدينة المنورة,الحساء,شقة,سكني,50,14915.12,103.05
2025,4,المدينة المنورة,ينبع,النخيل,مكتب,تجاري,1,0,0
2025,4,المدينة المنورة,ينبع,البحيرة,استديو,سكني,25,14600,224.28
2025,4,المدينة المنورة,المدينة المنورة,وادي الحمض,محل,تجاري,4,0,0
2025,4,المدينة المنورة,المدينة المنورة,المبعوث,دور,سكني,6,24733.2,140.16
2025,4,المدينة المنورة,المدينة المنورة,شظاة,معرض تجاري,تجاري,6,0,0
2025,4,المدينة المنورة,بدر,الشهداء,محل,تجاري,47,0,0
2025,4,المدينة المنورة,المدينة المنورة,كتانة,فيلا,سكني,1,35000,83.99
2025,4,المدينة المنورة,المدينة المنورة,الشهباء,شقة,سكني,3,21333.33,155.32
2025,4,المدينة المنورة,المدينة المنورة,قربان,فيلا,سكني,1,51666,344.44
2025,4,المدينة المنورة,المدينة المنورة,بئر عثمان,فيلا,سكني,5,22500,44.83
2025,4,المدينة المنورة,المدينة المنورة,وادي البطان,شقة,سكني,154,15375.44,106.43
2025,4,المدينة المنورة,بدر,الخشبى,شقة,سكني,8,11275,103.28
2025,4,المدينة المنورة,الجصه العليا,الجصه العليا,شقة,سكني,6,11400,99.49
2025,4,المدينة المنورة,ينبع,الدانة,مكتب,تجاري,1,0,0
2025,4,المدينة المنورة,المدينة المنورة,المغيسلة,محل,تجاري,251,0,0
2025,4,المدينة المنورة,ينبع,رضوى,استديو,سكني,3,10200,438
2025,4,المدينة المنورة,خيبر,العزيزية,معرض تجاري,تجاري,1,0,0
2025,4,المدينة المنورة,القويعيه,القويعيه,شقة,سكني,5,14400,124.85
2025,4,المدينة المنورة,المدينة المنورة,الشافية,محل,تجاري,5,0,0
2025,4,المدينة المنورة,ينبع,البثنة,معرض تجاري,تجاري,3,0,0
2025,4,المدينة المنورة,المدينة المنورة,الغراء,دور,سكني,1,15000,75
2025,4,المدينة المنورة,ينبع,الحدائق,شقة,سكني,163,10285.34,99.35
2025,4,المدينة المنورة,المدينة المنورة,السيح,شقة,سكني,318,15348.87,126.64
2025,4,المدينة المنورة,ينبع,النسيم,فيلا,سكني,3,38000,86.35
2025,4,المدينة المنورة,المدينة المنورة,بنى حارثة,مكتب,تجاري,11,0,0
2025,4,المدينة المنورة,بدر,مخطط الغزلاني,استديو,سكني,4,12600,308.57
2025,4,المدينة المنورة,المدينة المنورة,الدفاع,دور,سكني,24,26964.28,131.91
2025,4,المدينة المنورة,المدينة المنورة,الجابرة,دوبلاكس,سكني,1,24000,133.33
2025,4,المدينة المنورة,ينبع,السميرى,شقة,سكني,132,11686.53,89.95
2025,4,المدينة المنورة,المدينة المنورة,الجامعة,محل,تجاري,46,0,0
2025,4,المدينة المنورة,اللحن,اللحن,شقة,سكني,10,15399,114.33
2025,4,المدينة المنورة,ينبع,الجابرية,محل,تجاري,31,0,0
2025,4,المدينة المنورة,المدينة المنورة,القبيبة,شقة,سكني,22,15800,115.12
2025,4,المدينة المنورة,المدينة المنورة,الصناعية,فيلا,سكني,1,40000,66.66
2025,4,المدينة المنورة,المدينة المنورة,عين الخيف,استديو,سكني,2,15400,154
2025,4,المدينة المنورة,الحناكية,المنطقة الصناعية,شقة,سكني,5,15900,151
2025,4,المدينة المنورة,الحناكية,العقدة,محل,تجاري,6,0,0
2025,4,المدينة المنورة,العلا,الصخيرات,فيلا,سكني,1,70000,125.89
2025,4,المدينة المنورة,حي الرحاب,حي الرحاب,دور,سكني,1,30000,93.16
2025,4,المدينة المنورة,المخروقه الشماليه,المخروقه الشماليه,شقة,سكني,1,18000,180
2025,4,المدينة المنورة,المدينة المنورة,الصهلوج,محل,تجاري,3,0,0
2025,4,المدينة المنورة,المدينة المنورة,الراية,فيلا,سكني,1,27000,75
2025,4,المدينة المنورة,المدينة المنورة,بنى ظفر,استديو,سكني,72,17150,139
2025,4,المدينة المنورة,المدينة المنورة,الرانوناء,استديو,سكني,11,8775,206.3
2025,4,المدينة المنورة,المدينة المنورة,وعيرة,شقة,سكني,133,14956.28,114.6
2025,4,المدينة المنورة,الهميج,الهميج,شقة,سكني,1,18000,180
2025,4,المدينة المنورة,المدينة المنورة,السيح,محل,تجاري,56,0,0
2025,4,المدينة المنورة,العلا,قراقر,محل,تجاري,1,0,0
2025,4,المدينة المنورة,العريده,العريده,شقة,سكني,1,17535,116.9
2025,4,المدينة المنورة,العلا,المنشية,معرض تجاري,تجاري,2,0,0
2025,4,المدينة المنورة,عين على الحربيه,عين على الحربيه,محل,تجاري,1,0,0
2025,4,المدينة المنورة,المدينة المنورة,المليليح,دور,سكني,1,12000,120
2025,4,المدينة المنورة,المدينة المنورة,الرانوناء,دور,سكني,16,25615.38,130.5
2025,4,المدينة المنورة,ينبع,الامارة,شقة,سكني,98,15865.45,122.11
2025,4,المدينة المنورة,المدينة المنورة,الحديقة,محل,تجاري,35,0,0
2025,4,المدينة المنورة,الزباير,الزباير,محل,تجاري,1,0,0
2025,4,المدينة المنورة,ينبع,المروج,استديو,سكني,9,7685.71,135.67
2025,4,المدينة المنورة,العلا,العذيب,شقة,سكني,45,21145.45,128.87
2025,4,المدينة المنورة,دوينه,دوينه,شقة,سكني,1,18000,90
2025,4,المدينة المنورة,المقرن,المقرن,شقة,سكني,2,17750,119.16
