السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,1,مكة المكرمة,جدة,أم السلم,دور,سكني,17,21250,122.53
2025,1,مكة المكرمة,المقيرى وام على,المقيرى وام على,شقة,سكني,2,15000,156.12
2025,1,مكة المكرمة,جدة,المنتزة,دوبلاكس,سكني,1,19000,118.75
2025,1,مكة المكرمة,جدة,الصواري,استديو,سكني,13,14711.11,409.82
2025,1,مكة المكرمة,الطائف,قروى,دور,سكني,11,19555.55,115.61
2025,1,مكة المكرمة,جدة,مشرفة,مكتب,تجاري,149,0,0
2025,1,مكة المكرمة,الطائف,حوايا الجنوبية,محل,تجاري,21,0,0
2025,1,مكة المكرمة,مكة المكرمة,العسيلة,شقة,سكني,484,14920.21,107.25
2025,1,مكة المكرمة,الطائف,النزهة,استديو,سكني,3,8000,154.54
2025,1,مكة المكرمة,جدة,الأصالة,فيلا,سكني,6,127777.5,378.22
2025,1,مكة المكرمة,جدة,الشرفية,دوبلاكس,سكني,18,113230.06,383.43
2025,1,مكة المكرمة,جدة,الأمير فواز الشمالى,فيلا,سكني,7,122000,107.54
2025,1,مكة المكرمة,جدة,الحمدانية,دوبلاكس,سكني,3,37000,102.06
2025,1,مكة المكرمة,مكة المكرمة,جرول,فيلا,سكني,1,25000,100
2025,1,مكة المكرمة,جدة,الفلاح,دور,سكني,20,27230.76,117.05
2025,1,مكة المكرمة,تربة,الخالدية,استديو,سكني,1,5000,111.11
2025,1,مكة المكرمة,جدة,الشروق,فيلا,سكني,1,30000,75
2025,1,مكة المكرمة,الطائف,الحامدية,شقة,سكني,1,18000,100
2025,1,مكة المكرمة,جدة,المروة,فيلا,سكني,38,53083.82,205.6
2025,1,مكة المكرمة,خليص,السلام,استديو,سكني,4,9000,278.78
2025,1,مكة المكرمة,ذى لراك,ذى لراك,محل,تجاري,2,0,0
2025,1,مكة المكرمة,مكة المكرمة,قرطبة,استديو,سكني,4,9200,194.66
2025,1,مكة المكرمة,مكة المكرمة,الخضراء,استديو,سكني,35,10800,174.01
2025,1,مكة المكرمة,مكة المكرمة,المسيال الجديد,شقة,سكني,81,16382.53,107.52
2025,1,مكة المكرمة,جدة,السنابل,استديو,سكني,70,14931.7,372.62
2025,1,مكة المكرمة,الليث,(حي رقم (6,دور,سكني,3,21200,107.33
2025,1,مكة المكرمة,جدة,الفيصلية,معرض تجاري,تجاري,347,0,0
