السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,2,مكة المكرمة,جدة,الشروق,شقة,سكني,34,22883.33,179.56
2025,2,مكة المكرمة,الطائف,القمرية,محل,تجاري,137,0,0
2025,2,مكة المكرمة,أم الراكه,أم الراكه,شقة,سكني,3,11666.66,95.11
2025,2,مكة المكرمة,مكة المكرمة,معاد,فيلا,سكني,6,110000,493.33
2025,2,مكة المكرمة,ام الحب,ام الحب,محل,تجاري,1,0,0
2025,2,مكة المكرمة,جدة,الكندرة,شقة,سكني,35,19342.85,211.06
2025,2,مكة المكرمة,جدة,الصناعية,مكتب,تجاري,1,0,0
2025,2,مكة المكرمة,الطائف,الشفاء,فيلا,سكني,4,8749.75,32.56
2025,2,مكة المكرمة,الطائف,البوادي,شقة,سكني,2,17500,118.47
2025,2,مكة المكرمة,العرضيات - نمرة,المعقص,شقة,سكني,53,13038.09,109.82
2025,2,مكة المكرمة,الجموم - بحرة,الأصالة,دور,سكني,9,20571.42,101.07
2025,2,مكة المكرمة,جدة,الفلاح,شقة,سكني,913,22502.57,159.63
2025,2,مكة المكرمة,جدة,الفروسية,استديو,سكني,10,13325,551.08
2025,2,مكة المكرمة,جدة,الرحاب,محل,تجاري,125,0,0
2025,2,مكة المكرمة,الرقيبه,الرقيبه,شقة,سكني,1,10000,66.66
2025,2,مكة المكرمة,مكة المكرمة,حي الصفرة,شقة,سكني,4,10000,93.14
2025,2,مكة المكرمة,جدة,العزيزية,دوبلاكس,سكني,5,91666.66,576.96
2025,2,مكة المكرمة,الطائف,الحلقة الشرقية,شقة,سكني,429,17401.77,113.9
2025,2,مكة المكرمة,جدة,السنابل,شقة,سكني,1100,22453.11,179.11
2025,2,مكة المكرمة,خليص,السلام,محل,تجاري,10,0,0
2025,2,مكة المكرمة,مكة المكرمة,الحسينية,محل,تجاري,7,0,0
2025,2,مكة المكرمة,الطائف,المنطقة التاريخية,مكتب,تجاري,4,0,0
2025,2,مكة المكرمة,الطائف,سديرة,شقة,سكني,34,16258.26,118.47
2025,2,مكة المكرمة,ميسان,الحارة الشرقية,شقة,سكني,1,5000,31.57
