السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,3,مكة المكرمة,الطائف,الأخباب,دوبلاكس,سكني,1,15000,50
2025,3,مكة المكرمة,الطائف,الشقرة,شقة,سكني,1,12000,67.32
2025,3,مكة المكرمة,جدة,الخليج,شقة,سكني,7,19500,149.15
2025,3,مكة المكرمة,الطائف,القاعدة الجوية,شقة,سكني,4,17900,128.19
2025,3,مكة المكرمة,مكة المكرمة,الجامعة,معرض تجاري,تجاري,84,0,0
2025,3,مكة المكرمة,الطائف,الحدائق,شقة,سكني,14,21737.5,158.66
2025,3,مكة المكرمة,جدة,الصفوة,مكتب,تجاري,1,0,0
2025,3,مكة المكرمة,جدة,الهنداوية,شقة,سكني,176,23857.44,230.16
2025,3,مكة المكرمة,الطائف,الشرفية,فيلا,سكني,3,54500,178.31
2025,3,مكة المكرمة,محطه وادى فاطمه (اللهيميه),محطه وادى فاطمه (اللهيميه),محل,تجاري,1,0,0
2025,3,مكة المكرمة,مقر شنيف,مقر شنيف,شقة,سكني,1,18000,116.12
2025,3,مكة المكرمة,الطائف,سمنان,شقة,سكني,2,11500,78.02
2025,3,مكة المكرمة,جدة,الربوة,معرض تجاري,تجاري,122,0,0
2025,3,مكة المكرمة,مكة المكرمة,الأندلس,معرض تجاري,تجاري,3,0,0
2025,3,مكة المكرمة,جدة,قباء,محل,تجاري,15,0,0
2025,3,مكة المكرمة,جدة,الفردوس,محل,تجاري,8,0,0
2025,3,مكة المكرمة,جدة,الحمراء,معرض تجاري,تجاري,72,0,0
2025,3,مكة المكرمة,الشاميه,الشاميه,محل,تجاري,2,0,0
2025,3,مكة المكرمة,القنفذة,القاع 1,شقة,سكني,3,13000,123.93
2025,3,مكة المكرمة,مكة المكرمة,جبل النور,استديو,سكني,1,12000,150
2025,3,مكة المكرمة,مكة المكرمة,حي الصفرة,استديو,سكني,1,6000,85.71
2025,3,مكة المكرمة,رنية,الحزم,شقة,سكني,10,17500,88.74
2025,3,مكة المكرمة,جدة,أبحر الجنوبية,استديو,سكني,4,16000,507.61
2025,3,مكة المكرمة,جدة,مدائن الفهد,مكتب,تجاري,1,0,0
2025,3,مكة المكرمة,الطائف,الشرفية,مكتب,تجاري,1,0,0
2025,3,مكة المكرمة,الطائف,الهدا,محل,تجاري,53,0,0
2025,3,مكة المكرمة,مكة المكرمة,الهنداوية,شقة,سكني,72,12213.79,107.14
2025,3,مكة المكرمة,الطائف,جبرة,دور,سكني,7,19750,115.82
2025,3,مكة المكرمة,رنية,السوق القديم,شقة,سكني,5,10280,80.12
2025,3,مكة المكرمة,رنية,الاغر,محل,تجاري,10,0,0
2025,3,مكة المكرمة,الصلب,الصلب,محل,تجاري,1,0,0
2025,3,مكة المكرمة,صوانه,صوانه,شقة,سكني,3,12000,95
2025,3,مكة المكرمة,جدة,الشراع,فيلا,سكني,47,80423.07,281.75
2025,3,مكة المكرمة,جدة,الريان,مكتب,تجاري,3,0,0
2025,3,مكة المكرمة,أم الراكه,أم الراكه,شقة,سكني,4,13000,98.75
2025,3,مكة المكرمة,الطائف,المضباع,محل,تجاري,133,0,0
2025,3,مكة المكرمة,الطائف - الفيصليه,الفيصليه,شقة,سكني,1,26000,86.66
2025,3,مكة المكرمة,مكة المكرمة,الكوثر,دور,سكني,38,21708,99.11
2025,3,مكة المكرمة,رابغ,النسيم,شقة,سكني,389,11930.76,123.44
2025,3,مكة المكرمة,تربة,الخالدية,محل,تجاري,39,0,0
2025,3,مكة المكرمة,أم الدوم,حي سنام,فيلا,سكني,2,10800,12
2025,3,مكة المكرمة,الطائف,العرفاء الشرقية,محل,تجاري,39,0,0
2025,3,مكة المكرمة,الطائف,القطبية الشرقية,استديو,سكني,11,9100,221.31
2025,3,مكة المكرمة,خليص,الفيصلية,شقة,سكني,6,13050,79.78
2025,3,مكة المكرمة,مكة المكرمة,جعرانة,استديو,سكني,9,6800,166.66
2025,3,مكة المكرمة,جدة,الفيحاء,شقة,سكني,1454,30945.59,218.5
2025,3,مكة المكرمة,مكة المكرمة,الزهراء,محل,تجاري,140,0,0
2025,3,مكة المكرمة,مكة المكرمة,الراشدية,دور,سكني,10,21050,104.41
2025,3,مكة المكرمة,مكة المكرمة,القشاشية الجديد,محل,تجاري,1,0,0
2025,3,مكة المكرمة,وادى العرج,وادى العرج,شقة,سكني,1,12000,80
2025,3,مكة المكرمة,جدة,بريمان,استديو,سكني,3,9900,351
2025,3,مكة المكرمة,الموية,حي النسيم,شقة,سكني,16,9120,50.75
2025,3,مكة المكرمة,مكة المكرمة,الشوقية,معرض تجاري,تجاري,18,0,0
2025,3,مكة المكرمة,مكة المكرمة,النسيم,مكتب,تجاري,247,0,0
2025,3,مكة المكرمة,جدة,المنار,استديو,سكني,39,10427.27,302.87
2025,3,مكة المكرمة,جدة,الواحة,دور,سكني,13,32208.33,169.75
2025,3,مكة المكرمة,الخرمة,الخليج,دور,سكني,3,18600,124.04
2025,3,مكة المكرمة,مكة المكرمة,المحمدية,شقة,سكني,1934,19244.88,130.02
2025,3,مكة المكرمة,الطائف,الكدى,فيلا,سكني,1,40000,133.33
2025,3,مكة المكرمة,جدة,المنار,فيلا,سكني,21,63625,175.13
2025,3,مكة المكرمة,رابغ,المرجانية,استديو,سكني,11,11142.85,341.38
2025,3,مكة المكرمة,الطائف,جبرة,استديو,سكني,2,9000,450
2025,3,مكة المكرمة,الاملح,الاملح,شقة,سكني,3,15833.33,95.27
2025,3,مكة المكرمة,جدة,المنار,محل,تجاري,152,0,0
2025,3,مكة المكرمة,جدة,الشرفية,شقة,سكني,2164,23092.72,214.11
2025,3,مكة المكرمة,جدة,قاعدة الملك فيصل البحرية,شقة,سكني,3,16500,95
2025,3,مكة المكرمة,رنية,الصالحية,محل,تجاري,2,0,0
2025,3,مكة المكرمة,جدة,الأمير عبدالمجيد,معرض تجاري,تجاري,6,0,0
2025,3,مكة المكرمة,الجموم,أبو عروه,شقة,سكني,37,13923.52,94.86
2025,3,مكة المكرمة,ثول,بلدة ثول,استديو,سكني,1,18000,720
2025,3,مكة المكرمة,الطائف,العزيزية,شقة,سكني,59,12889.52,101.58
2025,3,مكة المكرمة,ثول,بلدة ثول,فيلا,سكني,4,24000,89.54
2025,3,مكة المكرمة,الطائف,أم الرصف,محل,تجاري,19,0,0
2025,3,مكة المكرمة,جدة,الياقوت,محل,تجاري,161,0,0
2025,3,مكة المكرمة,القنفذة,منطقة الخدمات المركزية,شقة,سكني,4,12200,125.48
2025,3,مكة المكرمة,مكة المكرمة,معاد,فيلا,سكني,1,25000,100
2025,3,مكة المكرمة,الطائف,العرفاء الغربية,شقة,سكني,89,15458.94,99.22
2025,3,مكة المكرمة,جدة,الريان,استديو,سكني,70,14372.72,574.21
2025,3,مكة المكرمة,جدة,الورود,شقة,سكني,579,33155.93,245.75
2025,3,مكة المكرمة,الجموم,الفتح,شقة,سكني,85,13745.23,96.52
2025,3,مكة المكرمة,جدة,الهنداوية,مكتب,تجاري,70,0,0
2025,3,مكة المكرمة,الطائف,القويسم,شقة,سكني,2,17750,88.99
2025,3,مكة المكرمة,جدة,الفيصلية,شقة,سكني,4104,24658.59,230.98
2025,3,مكة المكرمة,الطائف,لية العليا,محل,تجاري,5,0,0
2025,3,مكة المكرمة,الخرمة - الوطاه,الوطاه,شقة,سكني,1,10000,80
2025,3,مكة المكرمة,ريع العوالي,ريع العوالي,محل,تجاري,1,0,0
2025,3,مكة المكرمة,جدة,العزيزية,محل,تجاري,423,0,0
2025,3,مكة المكرمة,مكة المكرمة,الزاهر,مكتب,تجاري,4,0,0
2025,3,مكة المكرمة,مكة المكرمة,حنين,دور,سكني,3,14000,52.97
2025,3,مكة المكرمة,النصائف,النصائف,شقة,سكني,1,12000,113.2
2025,3,مكة المكرمة,جدة,العزيزية,فيلا,سكني,30,50450,198.65
2025,3,مكة المكرمة,وادى الوجين,وادى الوجين,محل,تجاري,1,0,0
2025,3,مكة المكرمة,جدة,الحمراء,مكتب,تجاري,143,0,0
2025,3,مكة المكرمة,الجموم,الصفاء,دور,سكني,1,12000,40
2025,3,مكة المكرمة,الطائف,حوايا الشمالية,محل,تجاري,19,0,0
2025,3,مكة المكرمة,جدة,القريات,محل,تجاري,4,0,0
2025,3,مكة المكرمة,جدة,مشرفة,دور,سكني,10,39600,149.76
2025,3,مكة المكرمة,مكة المكرمة,الملك فهد,استديو,سكني,3,14000,87.5
2025,3,مكة المكرمة,مكة المكرمة,الخالدية,مكتب,تجاري,26,0,0
2025,3,مكة المكرمة,الطائف,الجال,شقة,سكني,107,16745,130.85
2025,3,مكة المكرمة,جدة,العدل,محل,تجاري,43,0,0
2025,3,مكة المكرمة,جدة,الهنداوية,معرض تجاري,تجاري,24,0,0
2025,3,مكة المكرمة,جدة,الخالدية,معرض تجاري,تجاري,10,0,0
2025,3,مكة المكرمة,الطائف,الخضيرة,شقة,سكني,66,13937.83,86.85
2025,3,مكة المكرمة,جدة,المنتزهات,فيلا,سكني,1,22200,55.5
2025,3,مكة المكرمة,مكة المكرمة,جرول,محل,تجاري,341,0,0
2025,3,مكة المكرمة,الطائف,الرحبة,استديو,سكني,6,13600,309.93
2025,3,مكة المكرمة,ام الغزلان المضحاه,ام الغزلان المضحاه,شقة,سكني,1,6000,60
2025,3,مكة المكرمة,الدوح الصغير,الدوح الصغير,شقة,سكني,1,18000,180
2025,3,مكة المكرمة,الخرمة,الروضة,شقة,سكني,50,11992.1,86.97
2025,3,مكة المكرمة,جدة,السروات,معرض تجاري,تجاري,1,0,0
2025,3,مكة المكرمة,جدة,المحمدية,محل,تجاري,115,0,0
2025,3,مكة المكرمة,جدة,السنابل,شقة,سكني,1395,22510.12,176.69
