السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,4,مكة المكرمة,الطائف,الصيانة,شقة,سكني,171,17861.1,121.72
2025,4,مكة المكرمة,الخرمة,الخليج,دور,سكني,4,11800,41.97
2025,4,مكة المكرمة,مكة المكرمة,العتيبية,معرض تجاري,تجاري,2,0,0
2025,4,مكة المكرمة,رنية,الحزم,محل,تجاري,5,0,0
2025,4,مكة المكرمة,جدة,الريان,استديو,سكني,88,11946.5,413.45
2025,4,مكة المكرمة,جدة,الخليج,شقة,سكني,17,23542.85,173.19
2025,4,مكة المكرمة,جدة,النزلة اليمانية,فيلا,سكني,2,80000,261.61
2025,4,مكة المكرمة,جدة,قباء,شقة,سكني,48,19102.28,156.85
2025,4,مكة المكرمة,جدة,الأجاويد,شقة,سكني,2064,21714.38,170.02
2025,4,مكة المكرمة,البيار,البيار,محل,تجاري,13,0,0
2025,4,مكة المكرمة,الطائف,منتزة الطائف الوطني بسيسد,شقة,سكني,1,18000,150
2025,4,مكة المكرمة,جدة,الزهراء,محل,تجاري,307,0,0
2025,4,مكة المكرمة,خل الشعراء,خل الشعراء,شقة,سكني,2,11100,85.38
2025,4,مكة المكرمة,قرن المجنه,قرن المجنه,شقة,سكني,2,17500,116.66
2025,4,مكة المكرمة,الفاغره,الفاغره,شقة,سكني,1,6000,60
2025,4,مكة المكرمة,مكة المكرمة,قرطبة,معرض تجاري,تجاري,1,0,0
2025,4,مكة المكرمة,رابغ,الصفاء,دور,سكني,3,15466.66,60.36
2025,4,مكة المكرمة,تربة,النسيم,شقة,سكني,24,11010.52,70.91
2025,4,مكة المكرمة,رنية,النطوف,دور,سكني,1,12000,80
2025,4,مكة المكرمة,ريع العوالي,بدايع الحفر (الغنانيم),شقة,سكني,2,18000,138.64
2025,4,مكة المكرمة,الجايز,الجايز,شقة,سكني,1,12000,51.28
2025,4,مكة المكرمة,الطائف,لية السفلي,محل,تجاري,2,0,0
2025,4,مكة المكرمة,الطائف,القطبية الشرقية,محل,تجاري,45,0,0
2025,4,مكة المكرمة,الطائف,العقيق,شقة,سكني,229,14669.78,105.67
2025,4,مكة المكرمة,القر بنى عمر,القر بنى عمر,شقة,سكني,1,14000,90.32
2025,4,مكة المكرمة,القنفذة,ام القحمه,شقة,سكني,1,9000,70.24
2025,4,مكة المكرمة,المجاريش,المجاريش,شقة,سكني,1,10800,72
2025,4,مكة المكرمة,جدة,الشراع,مكتب,تجاري,18,0,0
2025,4,مكة المكرمة,الطائف,الواسط,معرض تجاري,تجاري,1,0,0
2025,4,مكة المكرمة,مكة المكرمة,الهجلة الجديد,دور,سكني,7,27066.4,138.2
2025,4,مكة المكرمة,رنية,الدعيكة,شقة,سكني,2,12000,86.71
2025,4,مكة المكرمة,المشاييخ وجرجه,المشاييخ وجرجه,شقة,سكني,1,18000,180
2025,4,مكة المكرمة,مكة المكرمة,الروضة,شقة,سكني,176,16124.49,127.06
2025,4,مكة المكرمة,القنفذة,الصالحي,محل,تجاري,2,0,0
2025,4,مكة المكرمة,جدة,المحمدية,فيلا,سكني,80,141328.12,338.94
2025,4,مكة المكرمة,الجموم,النسيم,شقة,سكني,28,13931.42,111.86
2025,4,مكة المكرمة,مكة المكرمة,القشاشية الجديد,شقة,سكني,298,18492.89,123
2025,4,مكة المكرمة,الضارب,الضارب,محل,تجاري,1,0,0
2025,4,مكة المكرمة,الأسدان,الأسدان,محل,تجاري,1,0,0
2025,4,مكة المكرمة,الطائف,العقيق,معرض تجاري,تجاري,1,0,0
2025,4,مكة المكرمة,جدة,الأجاويد,فيلا,سكني,8,58040,231.36
2025,4,مكة المكرمة,مكة المكرمة,السوق الجديد,استديو,سكني,1,12000,80
2025,4,مكة المكرمة,جدة,الزمرد,مكتب,تجاري,2,0,0
2025,4,مكة المكرمة,جدة,السلامة,محل,تجاري,318,0,0
2025,4,مكة المكرمة, مكة المكرمة - نباته,الراشدية,شقة,سكني,2,15480,113.21
