السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,الحدود الشماليه,طريف,إسكان قوى الأمن,معرض تجاري,تجاري,1,0,0
2025,1,الحدود الشماليه,رفحاء,الاداري,محل,تجاري,21,0,0
2025,1,الحدود الشماليه,طريف,الورود,استديو,سكني,90,14611.76,239.76
2025,1,الحدود الشماليه,عرعر,الجوهرة,محل,تجاري,13,0,0
2025,1,الحدود الشماليه,رفحاء,اليرموك,دور,سكني,2,10800,52.53
2025,1,الحدود الشماليه,عرعر,النسيم,محل,تجاري,29,0,0
2025,1,الحدود الشماليه,طريف,العزيزية,محل,تجاري,25,0,0
2025,1,الحدود الشماليه,رفحاء,التعاون,محل,تجاري,2,0,0
2025,1,الحدود الشماليه,رفحاء,العزيزية,شقة,سكني,38,13333.33,85.6
2025,1,الحدود الشماليه,عرعر,هجرة ابن سعيد,شقة,سكني,2,10800,77
2025,1,الحدود الشماليه,طريف,الواحة,دور,سكني,1,24000,120
2025,1,الحدود الشماليه,رفحاء,الشمال,دور,سكني,2,13800,66
2025,1,الحدود الشماليه,عرعر,قرطبة,شقة,سكني,16,14181.81,118.68
2025,1,الحدود الشماليه,رفحاء,الروضة,محل,تجاري,11,0,0
2025,1,الحدود الشماليه,طريف,السلطانة,دور,سكني,2,17100,57.75
2025,1,الحدود الشماليه,العويقيلة,المربع الخدمي,شقة,سكني,1,16000,80
2025,1,الحدود الشماليه,رفحاء,بادية الطويريق,محل,تجاري,1,0,0
2025,1,الحدود الشماليه,طريف,أرض وزارة الاسكان,شقة,سكني,7,12000,90.62
2025,1,الحدود الشماليه,عرعر,الصناعية الأولى,محل,تجاري,4,0,0
2025,1,الحدود الشماليه,رفحاء,الجبهان,شقة,سكني,8,14337.5,109.27
2025,1,الحدود الشماليه,طلعه التمياط,مخطط التوسعي,محل,تجاري,1,0,0
2025,1,الحدود الشماليه,عرعر,الناصرية,دور,سكني,18,15773.33,79.61
2025,1,الحدود الشماليه,عرعر,الفيصلية,مكتب,تجاري,1,0,0
2025,1,الحدود الشماليه,رفحاء,العمال,دور,سكني,1,18000,60
2025,1,الحدود الشماليه,رفحاء,القادسية,دور,سكني,1,20400,71.57
2025,1,الحدود الشماليه,عرعر,الرفاع,استديو,سكني,1,10800,216
2025,1,الحدود الشماليه,عرعر,المحمدية,محل,تجاري,54,0,0
2025,1,الحدود الشماليه,عرعر,مدينة الانعام,محل,تجاري,5,0,0
2025,1,الحدود الشماليه,عرعر,الرفاع,مكتب,تجاري,1,0,0
2025,1,الحدود الشماليه,رفحاء,الشمال,دوبلاكس,سكني,3,26400,76.25
2025,1,الحدود الشماليه,عرعر,النخيل الجنوبي,محل,تجاري,8,0,0
2025,1,الحدود الشماليه,رفحاء,الفيصلية,دور,سكني,1,12000,48
2025,1,الحدود الشماليه,عرعر,المطار,دور,سكني,1,18000,120.8
2025,1,الحدود الشماليه,شعبة نصاب,حي ج/3د,محل,تجاري,2,0,0
2025,1,الحدود الشماليه,العجرميه,العجرمية,شقة,سكني,1,12000,100
2025,1,الحدود الشماليه,طلعه التمياط,حي المنطقه السكنية نموذجية طلعة التمياط,دور,سكني,2,18000,72
2025,1,الحدود الشماليه,رفحاء,حي الضاحية,دور,سكني,3,18400,66.8
2025,1,الحدود الشماليه,عرعر,الناصرية,شقة,سكني,223,13449.83,105.26
2025,1,الحدود الشماليه,العويقيلة,الخليج,محل,تجاري,12,0,0
2025,1,الحدود الشماليه,طريف,الصالحية,استديو,سكني,2,10800,213.88
2025,1,الحدود الشماليه,رفحاء,اليرموك,محل,تجاري,11,0,0
2025,1,الحدود الشماليه,العويقيلة,المنار,شقة,سكني,43,14984.44,107.21
2025,1,الحدود الشماليه,عرعر,قرطبة,محل,تجاري,5,0,0
2025,1,الحدود الشماليه,طريف,الخالدية,استديو,سكني,29,11625,214.91
2025,1,الحدود الشماليه,رفحاء,الملز,فيلا,سكني,3,37000,66.67
2025,1,الحدود الشماليه,رفحاء,اليرموك,شقة,سكني,69,13077.67,87.63
2025,1,الحدود الشماليه,عرعر,المنصورية,شقة,سكني,210,14553.93,111.53
2025,1,الحدود الشماليه,رفحاء,المحمدية,محل,تجاري,25,0,0
2025,1,الحدود الشماليه,ابورواث,هجرة ابن ثنيان,شقة,سكني,1,16500,86.84
2025,1,الحدود الشماليه,عرعر,ضاحية الملك فهد,استديو,سكني,2,18600,346.36
2025,1,الحدود الشماليه,السليمانية,مخطط هجرة السليمانية ,شقة,سكني,1,12000,75
2025,1,الحدود الشماليه,عرعر,الفيصلية,دور,سكني,9,14514.28,69.07
2025,1,الحدود الشماليه,شعبة نصاب,مخطط الربيع,شقة,سكني,2,12600,94
2025,1,الحدود الشماليه,عرعر,الحرس الوطني,محل,تجاري,15,0,0
2025,1,الحدود الشماليه,رفحاء,الإسكان الخيري,محل,تجاري,1,0,0
2025,1,الحدود الشماليه,شعبة نصاب,القديم,شقة,سكني,2,52800,264
2025,1,الحدود الشماليه,رفحاء,الفيصلية,محل,تجاري,6,0,0
2025,1,الحدود الشماليه,رفحاء,الجميماء,شقة,سكني,110,13843.22,96.12
2025,1,الحدود الشماليه,عرعر,المساعدية,مكتب,تجاري,4,0,0
2025,1,الحدود الشماليه,رفحاء,العمال,محل,تجاري,2,0,0
2025,1,الحدود الشماليه,عرعر,المنصورية,استديو,سكني,5,10050,154
2025,1,الحدود الشماليه,عرعر,بدنة,شقة,سكني,92,15741.09,119.49
2025,1,الحدود الشماليه,طريف,الفيصلية غرب,شقة,سكني,55,16300,137.46
2025,1,الحدود الشماليه,طريف,العزيزية,شقة,سكني,59,14588,117.44
2025,1,الحدود الشماليه,طريف,الصالحية,دور,سكني,1,17400,116
2025,1,الحدود الشماليه,العويقيلة,مخطط  شرق مدينة العويقيلة,محل,تجاري,1,0,0
2025,1,الحدود الشماليه,رفحاء,الجميماء,معرض تجاري,تجاري,1,0,0
2025,1,الحدود الشماليه,عرعر,الفيصلية,شقة,سكني,167,15573.33,112.15
2025,1,الحدود الشماليه,طريف,المساعدية,دور,سكني,3,12000,56
2025,1,الحدود الشماليه,عرعر,بدنة,استديو,سكني,1,10800,270
2025,1,الحدود الشماليه,رفحاء,المحمدية,دور,سكني,5,18840,85.25
2025,1,الحدود الشماليه,عرعر,الريان,شقة,سكني,24,14670,113.68
2025,1,الحدود الشماليه,عرعر,المباركية,استديو,سكني,3,11333.33,130.39
2025,1,الحدود الشماليه,رفحاء,الفيصلية,شقة,سكني,13,11160,64.97
2025,1,الحدود الشماليه,عرعر,المروج الغربي,استديو,سكني,4,7800,97.5
2025,1,الحدود الشماليه,رفحاء,الاداري,شقة,سكني,5,10560,66.21
2025,1,الحدود الشماليه,رفحاء,المساعدية,معرض تجاري,تجاري,1,0,0
2025,1,الحدود الشماليه,عرعر,القدس الشرقي,شقة,سكني,6,12200,97.55
2025,1,الحدود الشماليه,رفحاء,حي الضاحية,شقة,سكني,9,15430,123.23
2025,1,الحدود الشماليه,ابوصور بن جبرين,مخطط هجرة أبو صور,شقة,سكني,1,16000,80
2025,1,الحدود الشماليه,عرعر,غرناطة الشرقي,شقة,سكني,4,16325,126.3
2025,1,الحدود الشماليه,طريف,أرض وزارة الاسكان,محل,تجاري,1,0,0
2025,1,الحدود الشماليه,طريف,الفيصلية شرق,دور,سكني,2,17700,67.28
