السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,الحدود الشماليه,طريف,الورود,استديو,سكني,28,15350,264.88
2025,2,الحدود الشماليه,عرعر,ضاحية الملك فهد,شقة,سكني,155,15616.52,133.21
2025,2,الحدود الشماليه,روضة هباس,مخطط روضة هباس ,شقة,سكني,19,15833.33,88.24
2025,2,الحدود الشماليه,طريف,الخالدية,شقة,سكني,43,12786.96,104.34
2025,2,الحدود الشماليه,عرعر,الأمانة الاداري,شقة,سكني,9,14880,103.2
2025,2,الحدود الشماليه,عرعر,الجوهرة,فيلا,سكني,1,22500,44.64
2025,2,الحدود الشماليه,طريف,الخالدية,مكتب,تجاري,1,0,0
2025,2,الحدود الشماليه,عرعر,الفيصلية,محل,تجاري,32,0,0
2025,2,الحدود الشماليه,رفحاء,الريبع,شقة,سكني,2,16500,93.1
2025,2,الحدود الشماليه,رفحاء,حي الضاحية,محل,تجاري,2,0,0
2025,2,الحدود الشماليه,عرعر,الحرس الوطني,دور,سكني,2,26200,124.97
2025,2,الحدود الشماليه,طريف,الصناعية القديمة,محل,تجاري,4,0,0
2025,2,الحدود الشماليه,شعبة نصاب,حي ج/3د,محل,تجاري,2,0,0
2025,2,الحدود الشماليه,طريف,الخالدية,دور,سكني,1,9600,96
2025,2,الحدود الشماليه,عرعر,الخالدية,محل,تجاري,10,0,0
2025,2,الحدود الشماليه,رفحاء,حي الضاحية,فيلا,سكني,1,37200,57.23
2025,2,الحدود الشماليه,طريف,الخليج,استديو,سكني,2,12000,240
2025,2,الحدود الشماليه,رفحاء,الخالدية,دور,سكني,1,14400,80
2025,2,الحدود الشماليه,طريف,الفيصلية شرق,محل,تجاري,10,0,0
2025,2,الحدود الشماليه,حزم الجلاميد,مخطط مركز حزم الجلاميد,شقة,سكني,3,13550,133.21
2025,2,الحدود الشماليه,عرعر,الخالدية,دور,سكني,2,20400,81.11
2025,2,الحدود الشماليه,عرعر,الحرس الوطني,فيلا,سكني,1,40000,66.66
2025,2,الحدود الشماليه,طريف,الصناعية الجديدة,محل,تجاري,4,0,0
2025,2,الحدود الشماليه,عرعر,الرفاع,شقة,سكني,13,15115.38,97
2025,2,الحدود الشماليه,طريف,العروبة,دور,سكني,1,19200,153.6
2025,2,الحدود الشماليه,طريف,الفيصلية غرب,استديو,سكني,3,7200,360
2025,2,الحدود الشماليه,رفحاء,الورود,دور,سكني,6,19680,66.42
2025,2,الحدود الشماليه,عرعر,الخليج العربي الشرقي,محل,تجاري,2,0,0
2025,2,الحدود الشماليه,عرعر,النخيل الجنوبي,محل,تجاري,1,0,0
2025,2,الحدود الشماليه,رفحاء,الشمال,دوبلاكس,سكني,1,12000,48
2025,2,الحدود الشماليه,عرعر,المساعدية,مكتب,تجاري,4,0,0
2025,2,الحدود الشماليه,الرفاع,الرفاع,شقة,سكني,1,7200,60
2025,2,الحدود الشماليه,طريف,اليرموك,دور,سكني,2,18000,90
2025,2,الحدود الشماليه,عرعر,النسيم,محل,تجاري,25,0,0
