السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,3,الحدود الشماليه,طريف,الخليج,مكتب,تجاري,1,0,0
2025,3,الحدود الشماليه,عرعر,المطار,محل,تجاري,39,0,0
2025,3,الحدود الشماليه,عرعر,المحمدية,شقة,سكني,68,11589.65,112.97
2025,3,الحدود الشماليه,عرعر,المطار,دور,سكني,6,21200,122.9
2025,3,الحدود الشماليه,رفحاء,مخطط استثماري,محل,تجاري,2,0,0
2025,3,الحدود الشماليه,عرعر,الصالحية,محل,تجاري,39,0,0
2025,3,الحدود الشماليه,العويقيلة,الروضة,محل,تجاري,12,0,0
2025,3,الحدود الشماليه,الدويد,الدويد,شقة,سكني,1,12000,120
2025,3,الحدود الشماليه,العويقيلة,حي الورود,شقة,سكني,1,12000,120
2025,3,الحدود الشماليه,عرعر,قرطبة,شقة,سكني,9,16080,157.98
2025,3,الحدود الشماليه,عرعر,الصالحية,دور,سكني,12,13148.57,66.29
2025,3,الحدود الشماليه,عرعر,الخالدية,شقة,سكني,52,11154.54,125.56
2025,3,الحدود الشماليه,عرعر,المروج الغربي,شقة,سكني,222,16378.21,139.41
2025,3,الحدود الشماليه,عرعر,مشرف,دور,سكني,1,47000,120.51
2025,3,الحدود الشماليه,رفحاء,الملز,استديو,سكني,1,9000,120
2025,3,الحدود الشماليه,رفحاء,المحمدية,شقة,سكني,125,11486.78,92.62
2025,3,الحدود الشماليه,عرعر,النخيل الشمالي,محل,تجاري,1,0,0
2025,3,الحدود الشماليه,رفحاء,الشمال,دور,سكني,3,7800,41.14
2025,3,الحدود الشماليه,عرعر,البساتين الاداري الغربي,محل,تجاري,1,0,0
2025,3,الحدود الشماليه,طريف,الخالدية,محل,تجاري,16,0,0
2025,3,الحدود الشماليه,عرعر,المطار,دوبلاكس,سكني,2,25200,113.4
2025,3,الحدود الشماليه,عرعر,المباركية,محل,تجاري,29,0,0
2025,3,الحدود الشماليه,رفحاء,التعاون,شقة,سكني,1,18000,110.42
2025,3,الحدود الشماليه,طريف,العزيزية,شقة,سكني,49,12552.63,108.34
2025,3,الحدود الشماليه,عرعر,الروابي,دور,سكني,5,26700,66.75
