السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,4,الحدود الشماليه,عرعر,الربوة,دور,سكني,4,19950,104.47
2025,4,الحدود الشماليه,عرعر,ضاحية الملك فهد,شقة,سكني,250,15894.03,135.82
2025,4,الحدود الشماليه,رفحاء,الجبهان,شقة,سكني,15,11591.66,59.45
2025,4,الحدود الشماليه,طريف,السلطانة,استديو,سكني,5,11100,184
2025,4,الحدود الشماليه,طريف,الخليج,استديو,سكني,4,9200,198
2025,4,الحدود الشماليه,عرعر,القدس الشرقي,شقة,سكني,1,15600,173.33
2025,4,الحدود الشماليه,رفحاء,المحمدية,دور,سكني,12,15060,78.11
2025,4,الحدود الشماليه,طلعه التمياط,حي المنطقه السكنية نموذجية طلعة التمياط,شقة,سكني,22,14494.73,88.34
2025,4,الحدود الشماليه,عرعر,المباركية,دور,سكني,3,20400,88.38
2025,4,الحدود الشماليه,طريف,الفيصلية شرق,دوبلاكس,سكني,1,13800,107.71
2025,4,الحدود الشماليه,عرعر,المساعدية,استديو,سكني,9,7200,83.09
2025,4,الحدود الشماليه,عرعر,المطار,محل,تجاري,58,0,0
2025,4,الحدود الشماليه,عرعر,الريان,دور,سكني,5,13200,50.48
2025,4,الحدود الشماليه,عرعر,النخيل الجنوبي,شقة,سكني,37,14259.25,128.14
2025,4,الحدود الشماليه,عرعر,الحرس الوطني,محل,تجاري,3,0,0
2025,4,الحدود الشماليه,رفحاء,الفيصلية,شقة,سكني,26,12176.19,73.51
2025,4,الحدود الشماليه,طريف,الفيصلية غرب,مكتب,تجاري,1,0,0
2025,4,الحدود الشماليه,رفحاء,الخالدية,محل,تجاري,28,0,0
2025,4,الحدود الشماليه,طريف,الخالدية,محل,تجاري,22,0,0
2025,4,الحدود الشماليه,عرعر,المروج الغربي,دور,سكني,2,16800,63.2
2025,4,الحدود الشماليه,عرعر,المنصورية,دور,سكني,7,25114.28,99.71
2025,4,الحدود الشماليه,العويقيلة,الروضة,شقة,سكني,57,14331.81,95.62
2025,4,الحدود الشماليه,عرعر,غرناطة الشرقي,دور,سكني,1,42000,420
2025,4,الحدود الشماليه,طريف,إسكان قوى الأمن,شقة,سكني,7,13900,105.38
2025,4,الحدود الشماليه,رفحاء,السلام,شقة,سكني,2,16500,126.09
2025,4,الحدود الشماليه,العويقيلة,مخطط  شرق مدينة العويقيلة,محل,تجاري,1,0,0
2025,4,الحدود الشماليه,عرعر,الجوهرة,مكتب,تجاري,1,0,0
2025,4,الحدود الشماليه,طريف,السلطانة,محل,تجاري,55,0,0
2025,4,الحدود الشماليه,طريف,الورود,استديو,سكني,25,13266.66,315.06
2025,4,الحدود الشماليه,طلعه التمياط,هجرة طلعة التمياط,محل,تجاري,3,0,0
2025,4,الحدود الشماليه,عرعر,الريان,شقة,سكني,46,17330,128.27
2025,4,الحدود الشماليه,عرعر,الصالحية,استديو,سكني,1,20400,510
2025,4,الحدود الشماليه,عرعر,الروضة,استديو,سكني,4,12600,342.66
2025,4,الحدود الشماليه,عرعر,الريان,محل,تجاري,31,0,0
2025,4,الحدود الشماليه,عرعر,بدنة,مكتب,تجاري,1,0,0
2025,4,الحدود الشماليه,شعبة نصاب,مخطط الربيع,شقة,سكني,2,10800,56
2025,4,الحدود الشماليه,العويقيلة,المنار,دور,سكني,1,9600,65.56
2025,4,الحدود الشماليه,رفحاء,المحمدية,محل,تجاري,34,0,0
2025,4,الحدود الشماليه,عرعر,غرناطة الغربي,استديو,سكني,1,12000,255.31
2025,4,الحدود الشماليه,رغوة,رغوة,شقة,سكني,1,18000,60
2025,4,الحدود الشماليه,رفحاء,العزيزية,شقة,سكني,28,11241.66,75.04
2025,4,الحدود الشماليه,عرعر,المباركية,شقة,سكني,114,17662.63,142.35
2025,4,الحدود الشماليه,طريف,المساعدية,محل,تجاري,1,0,0
2025,4,الحدود الشماليه,روضة هباس,مخطط روضة هباس ,دور,سكني,1,6000,50
2025,4,الحدود الشماليه,رفحاء,الفيصلية,محل,تجاري,7,0,0
2025,4,الحدود الشماليه,العويقيلة,الصناعية,دور,سكني,1,12000,100
2025,4,الحدود الشماليه,رفحاء,الصناعية,شقة,سكني,1,18000,112.5
