السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,1,نجران,شرورة,جنوب المستشفى العسكري,مكتب,تجاري,1,0,0
2025,1,نجران,نجران,بئر أبين,محل,تجاري,6,0,0
2025,1,نجران,رضيه غوبر,رضيه غوبر,شقة,سكني,4,17000,158.33
2025,1,نجران,نجران,البطحاء,شقة,سكني,8,13857.14,94.48
2025,1,نجران,حبونا,سبوحة,شقة,سكني,7,15142.85,132.58
2025,1,نجران,نجران,الفهد,دور,سكني,48,20290,108.68
2025,1,نجران,نجران,بني سلمان,دور,سكني,1,24000,60
2025,1,نجران,نجران,صاغر,معرض تجاري,تجاري,2,0,0
2025,1,نجران,نجران,الجامعة,محل,تجاري,16,0,0
2025,1,نجران,نجران,رجلا,شقة,سكني,95,16932.6,152.31
2025,1,نجران,نجران,الغويلا,معرض تجاري,تجاري,5,0,0
2025,1,نجران,السريحه,السريحه,شقة,سكني,1,18000,100
2025,1,نجران,حبونا,سلوة,شقة,سكني,5,10560,77.8
2025,1,نجران,نجران,الضيافة,دور,سكني,8,17025,66.77
2025,1,نجران,نجران,الشرفة,فيلا,سكني,2,14400,38.91
2025,1,نجران,نجران,الروضة,محل,تجاري,90,0,0
2025,1,نجران,الخالديه,الخالديه,شقة,سكني,3,18000,93.33
2025,1,نجران,نجران,الفهد,فيلا,سكني,6,24120,68.69
2025,1,نجران,حبونا,السبت,شقة,سكني,13,10000,62.09
2025,1,نجران,شرورة,النزهة,محل,تجاري,1,0,0
2025,1,نجران,يدمة,الصالحية,شقة,سكني,8,18000,142.85
2025,1,نجران,يدمة,النهضة,شقة,سكني,2,14017.5,164.91
2025,1,نجران,نجران,الخالدية,استديو,سكني,13,12000,300
2025,1,نجران,نجران,الروضة,استديو,سكني,25,12719.44,376.58
2025,1,نجران,نجران,الخليف,شقة,سكني,5,17600,138.16
2025,1,نجران,السوايل,السوايل,شقة,سكني,2,18000,187.5
2025,1,نجران,شرورة,السوق,محل,تجاري,65,0,0
2025,1,نجران,المشنه,المشنه,شقة,سكني,1,14000,140
2025,1,نجران,شرورة,العزيزية,دور,سكني,3,16400,120.21
2025,1,نجران,الحماد,الحماد,شقة,سكني,1,14400,72.72
2025,1,نجران,الرحاب,الرحاب,شقة,سكني,3,11000,55
2025,1,نجران,الغميس (الغمبيس),الغميس (الغمبيس),شقة,سكني,51,17361.9,142.89
2025,1,نجران,نجران,الأمير مشعل,فيلا,سكني,1,30000,96.46
2025,1,نجران,الواتد,الواتد,دور,سكني,1,18000,180
2025,1,نجران,نجران,الروضة,دور,سكني,27,24526.31,128.4
2025,1,نجران,نجران,النهضة,فيلا,سكني,2,26700,108.06
2025,1,نجران,شرورة,الفهد أ,شقة,سكني,235,12468.85,89.8
2025,1,نجران,حبونا,الحبابة,شقة,سكني,1,18000,120
2025,1,نجران,نجران,الضباط,شقة,سكني,136,15923.68,137.17
2025,1,نجران,حبونا,المنتشر,شقة,سكني,60,12607.69,103.33
2025,1,نجران,صخى,النقعاء,شقة,سكني,10,16277.77,143.66
2025,1,نجران,نجران,الفهد,محل,تجاري,153,0,0
2025,1,نجران,نجران,الخالدية,محل,تجاري,57,0,0
2025,1,نجران,حبونا,حبونا,معرض تجاري,تجاري,1,0,0
2025,1,نجران,الحصينية,سايلة غزال,محل,تجاري,1,0,0
2025,1,نجران,شرورة,جنوب المستشفى العسكري,محل,تجاري,2,0,0
2025,1,نجران,يدمة,يدمة الاول و الثاني,معرض تجاري,تجاري,1,0,0
2025,1,نجران,نجران,الروضة,معرض تجاري,تجاري,1,0,0
2025,1,نجران,ثجر,ثجر,شقة,سكني,1,18000,211.76
2025,1,نجران,الصماء,الصماء,شقة,سكني,1,16000,160
2025,1,نجران,نجران,الخالدية,دور,سكني,5,32800,160.92
2025,1,نجران,بئر عسكر,حى التلال,شقة,سكني,5,17360,142.05
2025,1,نجران,نجران,نهوقة,محل,تجاري,7,0,0
2025,1,نجران,الحزمه,بئر ال زبيره (الزباره),شقة,سكني,1,15000,176.47
2025,1,نجران,بئر عسكر,بئر عسكر,شقة,سكني,7,16285.71,151.84
2025,1,نجران,الصفق,الصفق,شقة,سكني,1,18000,60
2025,1,نجران,شرورة,السوق,استديو,سكني,10,8000,252.27
2025,1,نجران,حبونا,ابا الطحين,شقة,سكني,2,15500,104.16
2025,1,نجران,نجران,الوفاء,محل,تجاري,1,0,0
2025,1,نجران,الحصينية,الحدباء,شقة,سكني,13,18184.61,140.77
2025,1,نجران,شرورة,الملك عبدالله,استديو,سكني,4,10500,115.71
2025,1,نجران,نجران,الصفاء,شقة,سكني,5,16800,191.55
2025,1,نجران,الحجف,الحجف,شقة,سكني,1,12000,53.33
2025,1,نجران,نجران,المخيم,محل,تجاري,22,0,0
2025,1,نجران,نجران,القعصوم,دور,سكني,3,20666.66,90.61
2025,1,نجران,نجران,الأمير مشعل,شقة,سكني,272,18892.87,147.13
2025,1,نجران,نجران,المخباة,فيلا,سكني,1,18000,81.81
2025,1,نجران,شرورة,الروضة الجنوبي,شقة,سكني,34,11370.57,99.57
2025,1,نجران,شرورة,جنوب المستشفى العسكري,دور,سكني,1,12000,100
2025,1,نجران,نجران,المخيم,معرض تجاري,تجاري,1,0,0
2025,1,نجران,نجران,الحمر,شقة,سكني,52,16808.69,140.87
2025,1,نجران,نجران,فواز,استديو,سكني,1,8000,133.33
2025,1,نجران,نجران,ال منجم,استديو,سكني,6,10200,305
2025,1,نجران,شرورة,الأمير مشعل أ,محل,تجاري,84,0,0
2025,1,نجران,نجران,تصلال,فيلا,سكني,1,20000,71.94
2025,1,نجران,نجران,أبا الخريت,محل,تجاري,2,0,0
2025,1,نجران,بصر,بصر,شقة,سكني,1,18000,90
2025,1,نجران,نجران,الفاجي,محل,تجاري,1,0,0
2025,1,نجران,نجران,الصناعية,شقة,سكني,8,18000,128.54
2025,1,نجران,الحصينية,سايلة غزال,شقة,سكني,23,17220,142.82
2025,1,نجران,شرورة,الأمير مشعل ب,محل,تجاري,20,0,0
2025,1,نجران,قرى,وادى صخى,شقة,سكني,5,16200,101.34
2025,1,نجران,البحره,البحره,شقة,سكني,1,18000,90
2025,1,نجران,نجران,سقام,شقة,سكني,30,16014.81,158.65
2025,1,نجران,شرورة,الأمير مشعل ب,معرض تجاري,تجاري,1,0,0
2025,1,نجران,شرورة,الدوائر الحكومية,محل,تجاري,3,0,0
2025,1,نجران,نجران,الأمير مشعل,استديو,سكني,21,16966.66,293.26
2025,1,نجران,نجران,النصلة,شقة,سكني,22,15801.17,172.26
2025,1,نجران,نجران,العريسة,مكتب,تجاري,1,0,0
2025,1,نجران,نجران,العريسة,استديو,سكني,7,15600,324.58
2025,1,نجران,نجران,خباش,محل,تجاري,4,0,0
2025,1,نجران,شرورة,الفهد أ,دوبلاكس,سكني,3,12666.66,99.43
2025,1,نجران,بدر الجنوب,بدر الجنوب,محل,تجاري,4,0,0
2025,1,نجران,حبونا,السرح,دور,سكني,1,15000,100
2025,1,نجران,نجران,الخرعاء,شقة,سكني,93,16597.64,138.83
2025,1,نجران,سلطانه,سلطانه,محل,تجاري,3,0,0
2025,1,نجران,نجران,الأملاح,دور,سكني,3,16400,98.53
2025,1,نجران,شرورة,الخالدية أ,استديو,سكني,1,12600,126
2025,1,نجران,الحصينية,شمال الحصينية,شقة,سكني,2,15000,176.47
2025,1,نجران,الضبط,الضبط,شقة,سكني,1,18000,150
2025,1,نجران,الخالديه,الخالديه,محل,تجاري,3,0,0
2025,1,نجران,نجران,القابل,شقة,سكني,82,16617.94,152.22
2025,1,نجران,نجران,الإسكان,محل,تجاري,2,0,0
2025,1,نجران,نجران,أبو غبار,دور,سكني,1,20000,100
2025,1,نجران,نجران,سقام,دور,سكني,1,23000,115
2025,1,نجران,حبونا,الجفة,محل,تجاري,3,0,0
2025,1,نجران,الحنكان,بني حدد,شقة,سكني,1,14000,70
2025,1,نجران,نجران,شعب بران,مكتب,تجاري,1,0,0
2025,1,نجران,نجران,برك,محل,تجاري,2,0,0
2025,1,نجران,شرورة,الامارة,محل,تجاري,4,0,0
2025,1,نجران,شرورة,الصناعية أ,شقة,سكني,3,18800,136.91
2025,1,نجران,اللحمتين,بئر الصاله,استديو,سكني,1,9000,300
2025,1,نجران,نجران,البطحاء,محل,تجاري,2,0,0
2025,1,نجران,الحصينية,الحصينية,محل,تجاري,2,0,0
2025,1,نجران,حبونا,القابل,شقة,سكني,59,15849.7,132.43
2025,1,نجران,نجران,الحضن,محل,تجاري,8,0,0
2025,1,نجران,نجران,الخالدية,شقة,سكني,185,15804.87,148.62
2025,1,نجران,نجران,الوفاء,شقة,سكني,12,13200,88.85
2025,1,نجران,اباالرخم وسط,اباالرخم وسط,شقة,سكني,2,12600,129.5
2025,1,نجران,نجران,تصلال,شقة,سكني,130,16534.38,134.2
2025,1,نجران,نجران,الفيصلية,استديو,سكني,5,8640,205.14
2025,1,نجران,حبونا,القابل,محل,تجاري,6,0,0
