السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,2,نجران,نجران,الأملاح,دور,سكني,5,16500,131.25
2025,2,نجران,نجران,الجامعة,فيلا,سكني,1,20000,51.89
2025,2,نجران,شرورة,الأمير مشعل أ,دور,سكني,17,17442.85,72.98
2025,2,نجران,حبونا,الوسيعة,شقة,سكني,1,16000,200
2025,2,نجران,نجران,العريسة,استديو,سكني,26,18000,225
2025,2,نجران,نجران,الفيصلية,محل,تجاري,30,0,0
2025,2,نجران,نجران,العريسة,دور,سكني,10,19450,116.4
2025,2,نجران,نجران,الخالدية,شقة,سكني,120,14843.04,129.2
2025,2,نجران,شرورة,النزهة 1,شقة,سكني,1,12000,81.08
2025,2,نجران,نجران,الضباط,محل,تجاري,16,0,0
2025,2,نجران,حبونا,الجنجت 1,دور,سكني,1,21600,163.63
2025,2,نجران,نجران,أبا السعود,دور,سكني,3,17533.33,98.33
2025,2,نجران,نجران,المخيم,معرض تجاري,تجاري,1,0,0
2025,2,نجران,شرورة,النزهة,دور,سكني,1,12000,120
2025,2,نجران,الحنكان,الحنكان,شقة,سكني,2,14000,100
2025,2,نجران,نجران,المخيم,شقة,سكني,111,18940.39,141.33
2025,2,نجران,نجران,الفيصلية,شقة,سكني,153,14702.85,125.56
2025,2,نجران,عرق فليح,عرق فليح,شقة,سكني,1,16000,160
2025,2,نجران,يدمة,الزهور,شقة,سكني,6,12666.66,89.86
2025,2,نجران,نجران,الغويلا,استديو,سكني,6,10500,162.5
2025,2,نجران,نجران,صاغر,معرض تجاري,تجاري,1,0,0
2025,2,نجران,شرورة,الملك عبدالله,استديو,سكني,8,15942.85,450
2025,2,نجران,نجران,النهضة,شقة,سكني,71,17509.96,126.84
2025,2,نجران,حبونا,السبت,شقة,سكني,3,15000,99.66
2025,2,نجران,برقا اعاره,برقا اعاره,شقة,سكني,1,18000,100
2025,2,نجران,نجران,القابل,محل,تجاري,13,0,0
