السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,3,نجران,نجران,الخليف,شقة,سكني,3,17000,170
2025,3,نجران,الروضه,الروضه,شقة,سكني,1,18000,120
2025,3,نجران,حبونا,سبوحة,شقة,سكني,5,17750,133.4
2025,3,نجران,الخرخير,الخرخير,شقة,سكني,1,14400,120
2025,3,نجران,نجران,الأمير مشعل,استديو,سكني,7,14640,282.85
2025,3,نجران,نجران,الجامعة,محل,تجاري,21,0,0
2025,3,نجران,نجران,الصناعية,شقة,سكني,2,12600,83.38
2025,3,نجران,شرورة,سلطانة,استديو,سكني,7,5200,162.5
2025,3,نجران,بدر الجنوب,بدر الجنوب,شقة,سكني,37,15486.66,145.96
2025,3,نجران,نجران,عويره,محل,تجاري,13,0,0
2025,3,نجران,نجران,الجامعة,استديو,سكني,37,14784,341.75
2025,3,نجران,نجران,رجلا,محل,تجاري,14,0,0
2025,3,نجران,شرورة,السوق,استديو,سكني,19,8769.23,140.1
2025,3,نجران,بئر عسكر,عشه الساره (ساره),شقة,سكني,1,17000,170
2025,3,نجران,الحرشف,الحرشف,شقة,سكني,4,16800,172.27
2025,3,نجران,نجران,العريسة,مكتب,تجاري,4,0,0
2025,3,نجران,نجران,المطار,شقة,سكني,21,12500,105.04
2025,3,نجران,نجران,الأمير مشعل,محل,تجاري,57,0,0
2025,3,نجران,نجران,الشرفة,محل,تجاري,35,0,0
2025,3,نجران,نجران,الروضة,دور,سكني,49,26325,99.92
2025,3,نجران,شرورة,الروضة الشمالي,محل,تجاري,2,0,0
2025,3,نجران,شرورة,الأمير مشعل أ,دور,سكني,14,18977.77,100.82
2025,3,نجران,نجران,الأثايبة,مكتب,تجاري,4,0,0
2025,3,نجران,نجران,عويره,دور,سكني,1,6600,44
2025,3,نجران,حبونا,السبت,شقة,سكني,10,14400,80.91
2025,3,نجران,نجران,ال منجم,محل,تجاري,23,0,0
2025,3,نجران,نجران,الجامعة,فيلا,سكني,1,40000,75.47
2025,3,نجران,نجران,الفيصلية,دور,سكني,1,30600,306
2025,3,نجران,شرورة,الفهد أ,محل,تجاري,15,0,0
2025,3,نجران,نجران,زور وادعة,شقة,سكني,16,17714.28,163.49
2025,3,نجران,نجران,الفيصلية,شقة,سكني,239,15268.59,140.39
2025,3,نجران,الحصينية,الحدباء,محل,تجاري,2,0,0
2025,3,نجران,نجران,الوفاء,محل,تجاري,1,0,0
2025,3,نجران,نجران,ال منجم,شقة,سكني,53,17800,180.55
2025,3,نجران,نجران,أبو غبار,معرض تجاري,تجاري,3,0,0
2025,3,نجران,نجران,النهضة,فيلا,سكني,3,27200,65.5
