السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,4,نجران,نجران,الفاجي,شقة,سكني,24,15940,147.51
2025,4,نجران,نجران,الحصين,دور,سكني,1,14000,58.33
2025,4,نجران,شرورة,الأمير مشعل أ,شقة,سكني,306,14032.94,99.42
2025,4,نجران,نجران,رجلا,دور,سكني,1,18000,112.5
2025,4,نجران,نجران,الحضن,دور,سكني,1,18000,62.5
2025,4,نجران,الحرشف,الحرشف,شقة,سكني,11,17700,145.74
2025,4,نجران,نجران,صهبان,محل,تجاري,21,0,0
2025,4,نجران,رغوان,رغوان,شقة,سكني,1,18000,60
2025,4,نجران,بئر عسكر,بئر عسكر,شقة,سكني,20,18111.11,148.28
2025,4,نجران,نجران,المخباة,محل,تجاري,1,0,0
2025,4,نجران,حبونا,الجنجت 1,شقة,سكني,22,15185.71,127.79
2025,4,نجران,نجران,أبا الخريت,دوبلاكس,سكني,1,18000,90
2025,4,نجران,شرورة,النزهة,محل,تجاري,5,0,0
2025,4,نجران,نجران,صاغر,دور,سكني,3,15500,44.28
2025,4,نجران,نجران,الفيصلية,مكتب,تجاري,1,0,0
2025,4,نجران,بئر العضبات,بئر العضبات,شقة,سكني,1,17000,170
2025,4,نجران,نجران,الخالدية,مكتب,تجاري,7,0,0
2025,4,نجران,نجران,الوفاء,شقة,سكني,7,16500,141.2
2025,4,نجران,نجران,الفهد,دور,سكني,80,21652.3,102.28
2025,4,نجران,نجران,الضباط,دور,سكني,5,20000,162.5
2025,4,نجران,المدره (المداره),المدره (المداره),شقة,سكني,2,13500,154.9
2025,4,نجران,خباش,خباش,محل,تجاري,3,0,0
2025,4,نجران,المليحه,المليحه,شقة,سكني,5,15875,124.22
2025,4,نجران,نجران,الجامعة,فيلا,سكني,3,23533.33,78.54
2025,4,نجران,شرورة,الفيصلية أ,مكتب,تجاري,1,0,0
2025,4,نجران,شرورة,الروضة الشمالي,دور,سكني,14,16218.18,79.85
2025,4,نجران,نجران,العريسة,محل,تجاري,64,0,0
2025,4,نجران,نجران,شعب رير,دور,سكني,13,16600,79.85
2025,4,نجران,نجران,دحضة,شقة,سكني,202,16380.6,132.12
2025,4,نجران,نجران,شعب رير,محل,تجاري,3,0,0
2025,4,نجران,نجران,الغويلا,معرض تجاري,تجاري,9,0,0
2025,4,نجران,نجران,الجربة,محل,تجاري,8,0,0
2025,4,نجران,بني حواره,بني حواره,شقة,سكني,1,16000,188.23
2025,4,نجران,حبونا,سلوة,دور,سكني,2,19500,117.5
2025,4,نجران,شرورة,جنوب المستشفى العسكري,شقة,سكني,120,14968.46,146.36
2025,4,نجران,شرورة,الأمير مشعل أ,دور,سكني,17,19071.42,99
2025,4,نجران,حبونا,سلوة,شقة,سكني,21,15617.64,131.62
2025,4,نجران,الحنكان,بني حدد,شقة,سكني,1,17000,170
2025,4,نجران,نجران,الجربة,استديو,سكني,1,10800,450
2025,4,نجران,نجران,أبا السعود,محل,تجاري,48,0,0
2025,4,نجران,نجران,الفهد,مكتب,تجاري,3,0,0
2025,4,نجران,نجران,العريسة,استديو,سكني,8,15000,197.39
2025,4,نجران,نجران,الحمر,دور,سكني,1,12000,50
2025,4,نجران,نجران,الشبهان,محل,تجاري,1,0,0
2025,4,نجران,نجران,الإسكان,محل,تجاري,2,0,0
2025,4,نجران,شرورة,سلطانة,شقة,سكني,81,11656.06,86.74
2025,4,نجران,نجران,الأملاح,شقة,سكني,82,15817.91,120.17
2025,4,نجران,الحقي,الحقي,شقة,سكني,4,12875,113.95
2025,4,نجران,فرع الجبل,فرع الجبل,شقة,سكني,2,17500,135
2025,4,نجران,شرورة,الفهد أ,دور,سكني,1,19200,96
2025,4,نجران,بظا,بظا,شقة,سكني,1,18000,60
2025,4,نجران,صدعه,صدعه,شقة,سكني,5,17600,136
2025,4,نجران,نجران,الفهد,استديو,سكني,55,15148.48,248.55
2025,4,نجران,هجره الرفاع,هجره الرفاع,شقة,سكني,1,18000,60
2025,4,نجران,حبونا,حبونا,محل,تجاري,1,0,0
2025,4,نجران,العرقين,العرقين,شقة,سكني,1,6000,66.66
2025,4,نجران,نجران,سقام,شقة,سكني,40,16882.35,146.64
2025,4,نجران,نجران,الوفاء,دور,سكني,1,18000,90
2025,4,نجران,بئر عسكر,حى التلال,دور,سكني,2,15000,90.4
2025,4,نجران,نجران,نهوقة,شقة,سكني,138,16658.23,138.6
2025,4,نجران,الاقرح,الاقرح,شقة,سكني,1,18000,180
2025,4,نجران,حبونا,بطا,دور,سكني,1,20000,65.35
2025,4,نجران,نجران,الأمير مشعل,دور,سكني,11,20875,99.59
2025,4,نجران,شرورة,السوق,محل,تجاري,71,0,0
2025,4,نجران,نجران,أبا الرشاش,استديو,سكني,2,12000,120
2025,4,نجران,نجران,العريسة,معرض تجاري,تجاري,4,0,0
2025,4,نجران,نجران,الحايرة,شقة,سكني,58,17229,127.04
2025,4,نجران,نجران,الحمر,شقة,سكني,86,16293.46,130.99
2025,4,نجران,نجران,الضيافة,مكتب,تجاري,1,0,0
2025,4,نجران,شرورة,العزيزية,دور,سكني,4,12000,95.5
2025,4,نجران,حبونا,المنتشر,محل,تجاري,9,0,0
2025,4,نجران,كهرباء شروره وشركة تعليم القياده,بئر بن لادن,محل,تجاري,1,0,0
2025,4,نجران,نجران,العان,شقة,سكني,12,18110,139.55
2025,4,نجران,حبونا,المنتشر,شقة,سكني,95,14863.51,111.14
2025,4,نجران,شرورة,الروضة الشمالي,دوبلاكس,سكني,1,16800,112
2025,4,نجران,حبونا,الوسيعة,شقة,سكني,8,14771.42,102.79
2025,4,نجران,نجران,تصلال,دور,سكني,2,15000,52.5
2025,4,نجران,نجران,البطحاء,شقة,سكني,3,11733.33,79.6
2025,4,نجران,شرورة,الملك عبدالله,استديو,سكني,1,18000,225
2025,4,نجران,نجران,عكام,محل,تجاري,9,0,0
2025,4,نجران,شرورة,الأمير مشعل ب,محل,تجاري,39,0,0
2025,4,نجران,نجران,الأثايبة,محل,تجاري,44,0,0
2025,4,نجران,حبونا,حبونا,معرض تجاري,تجاري,2,0,0
2025,4,نجران,نجران,المسماه,استديو,سكني,3,8400,241.11
2025,4,نجران,نجران,الضباط,شقة,سكني,159,14650.35,124.87
2025,4,نجران,نجران,زور ال الحارث,شقة,سكني,46,17295.23,113.85
2025,4,نجران,الحصينية,الامير سلطان,مكتب,تجاري,1,0,0
2025,4,نجران,الحصينية,الحدباء,شقة,سكني,9,16555.55,143.43
2025,4,نجران,نجران,أبا السعود,مكتب,تجاري,2,0,0
2025,4,نجران,نجران,الشبهان,دور,سكني,1,15000,150
2025,4,نجران,الحصينية,الامير سلطان,دور,سكني,1,20000,127.22
2025,4,نجران,حبونا,القابل,دور,سكني,3,9200,73.21
2025,4,نجران,نجران,الجربة,فيلا,سكني,1,18000,70.31
2025,4,نجران,بئر عسكر,عشه الساره (ساره),شقة,سكني,1,15000,100
2025,4,نجران,صله,صله,شقة,سكني,1,12000,133.33
2025,4,نجران,الحصينية,الحصينية,استديو,سكني,1,6000,85.71
2025,4,نجران,شرورة,الفيصلية أ,شقة,سكني,179,11762.76,81.73
2025,4,نجران,حبونا,القابل,شقة,سكني,97,15964.75,125.48
2025,4,نجران,حبونا,الضيقة,شقة,سكني,18,15814.28,141.74
2025,4,نجران,نجران,عويره,محل,تجاري,7,0,0
2025,4,نجران,نجران,الضباط,استديو,سكني,14,10672.72,207.55
2025,4,نجران,شرورة,المستشفى العسكري,شقة,سكني,2,15000,110
2025,4,نجران,وشيل الذيب,وشيل الذيب,شقة,سكني,4,18000,127.61
2025,4,نجران,نجران,الخرعاء,محل,تجاري,15,0,0
2025,4,نجران,نجران,أبو غبار,معرض تجاري,تجاري,1,0,0
2025,4,نجران,بصر,بصر,شقة,سكني,3,15800,88.55
2025,4,نجران,نجران,نهيقة,شقة,سكني,77,17215.94,131.32
2025,4,نجران,يدمة,الصالحية,شقة,سكني,7,17214.28,108.81
2025,4,نجران,يدمة,النهضة,شقة,سكني,1,18000,180
2025,4,نجران,نجران,زور العماري,استديو,سكني,1,16000,126.31
2025,4,نجران,شرورة,الأمير مشعل أ,محل,تجاري,54,0,0
2025,4,نجران,نجران,النهضة,شقة,سكني,147,17677.15,125.01
2025,4,نجران,نجران,الغويلا,شقة,سكني,566,16632.67,143.88
2025,4,نجران,ذات الضب,ذات الضب,شقة,سكني,2,14500,148.15
2025,4,نجران,شرورة,الأمير مشعل أ,استديو,سكني,12,11300,117
2025,4,نجران,نجران,الإسكان,شقة,سكني,22,17555,146.57
2025,4,نجران,نجران,القعصوم,دور,سكني,2,20000,105
2025,4,نجران,نجران,الخرعاء,شقة,سكني,199,17056.57,137
2025,4,نجران,شرورة,الروضة الشمالي,معرض تجاري,تجاري,1,0,0
2025,4,نجران,خيره,خيره,شقة,سكني,1,17000,56.66
2025,4,نجران,شرورة,الصناعية أ,شقة,سكني,1,26000,260
2025,4,نجران,الشدقاء,الشدقاء,شقة,سكني,3,12000,84.77
2025,4,نجران,نجران,بئر أبين,محل,تجاري,9,0,0
2025,4,نجران,الرغيب,الرغيب,شقة,سكني,1,18000,109.09
2025,4,نجران,نجران,الشرفة,شقة,سكني,587,16563.88,129.98
2025,4,نجران,نجران,رجلا,محل,تجاري,13,0,0
2025,4,نجران,نجران,الخرعاء,دور,سكني,3,14400,61.54
2025,4,نجران,العين والقرين,العين والقرين,شقة,سكني,1,6000,25
2025,4,نجران,الصفق,الصفق,شقة,سكني,2,17250,121.66
2025,4,نجران,نجران,صهبان,شقة,سكني,17,16737.5,147.78
2025,4,نجران,نجران,الفاجي,محل,تجاري,1,0,0
2025,4,نجران,نجران,الفيصلية,دور,سكني,3,17600,79
2025,4,نجران,نجد الحصان,نجد الحصان,شقة,سكني,3,17000,170
2025,4,نجران,الحصينية,الامير سلطان,محل,تجاري,22,0,0
2025,4,نجران,نجران,الصفاء,شقة,سكني,6,13533.33,136.73
2025,4,نجران,نجران,العريسة,مكتب,تجاري,5,0,0
2025,4,نجران,يدمة,الزهور,شقة,سكني,3,17333.33,143.33
2025,4,نجران,نجران,الجامعة,شقة,سكني,334,18269.08,171.22
2025,4,نجران,حبونا,السبت,شقة,سكني,3,12666.66,100
2025,4,نجران,حبونا,بطا,شقة,سكني,2,16500,140
2025,4,نجران,نجران,الضيافة,شقة,سكني,232,15733.28,123.07
2025,4,نجران,نجران,ال منجم,استديو,سكني,4,14700,322.36
2025,4,نجران,نجران,الحمر,محل,تجاري,1,0,0
2025,4,نجران,شرورة,الملك عبدالله,فيلا,سكني,1,27600,100.36
2025,4,نجران,نجران,الرويكبة,محل,تجاري,1,0,0
2025,4,نجران,نجران,ال منجم,معرض تجاري,تجاري,1,0,0
2025,4,نجران,نجران,عويره,شقة,سكني,16,16208.33,135.04
2025,4,نجران,حبونا,ابا الطحين,شقة,سكني,2,18000,86.25
2025,4,نجران,نجران,الضيافة,دور,سكني,17,21897.38,106.37
2025,4,نجران,حبونا,عصيم,شقة,سكني,4,13450,139.12
2025,4,نجران,نجران,الشرفة,محل,تجاري,90,0,0
2025,4,نجران,نجران,المخيم,محل,تجاري,31,0,0
2025,4,نجران,نجران,الشرفة,معرض تجاري,تجاري,1,0,0
2025,4,نجران,نجران,زور وادعة,شقة,سكني,39,16276.57,127.2
2025,4,نجران,هجر نجد النشم,هجر نجد النشم,شقة,سكني,1,18000,90
2025,4,نجران,ثجر,ثجر,شقة,سكني,4,14700,148.38
2025,4,نجران,شرورة,الروضة الشمالي,محل,تجاري,2,0,0
2025,4,نجران,هجر وادي الحبط العزيزيه,هجر وادي الحبط العزيزيه,شقة,سكني,1,18000,180
2025,4,نجران,شرورة,السوق,شقة,سكني,99,13122.22,113.84
2025,4,نجران,شرورة,الروضة الجنوبي,شقة,سكني,52,12958.69,95.19
2025,4,نجران,شرورة,جنوب المستشفى العسكري,محل,تجاري,1,0,0
2025,4,نجران,بئر عسكر,بئر عسكر,محل,تجاري,9,0,0
2025,4,نجران,نجران,العريسة,دور,سكني,9,24257.14,113.64
2025,4,نجران,نجران,بني كلب,دور,سكني,1,18000,80
2025,4,نجران,الغميس (الغمبيس),الغميس (الغمبيس),شقة,سكني,93,16244.04,133.95
2025,4,نجران,شرورة,الأمير مشعل أ,مكتب,تجاري,1,0,0
2025,4,نجران,اباالنخل,اباالنخل,شقة,سكني,1,10000,100
2025,4,نجران,نجران,الغيضة,شقة,سكني,7,16000,150.52
2025,4,نجران,يدمة,يدمة الاول و الثاني,شقة,سكني,265,17405.26,125.96
2025,4,نجران,نجران,برك,شقة,سكني,25,19233.33,152.22
2025,4,نجران,نجران,الخضراء,دور,سكني,1,12000,100
2025,4,نجران,الوديعه,الوديعه,مكتب,تجاري,2,0,0
2025,4,نجران,نجران,العريسة,شقة,سكني,438,17397.26,150.8
2025,4,نجران,نجران,المركب,شقة,سكني,36,17338.7,139.99
2025,4,نجران,نجران,الفيصلية,محل,تجاري,47,0,0
2025,4,نجران,شرورة,النزهة,استديو,سكني,2,9600,96
2025,4,نجران,حبونا,الجفة,شقة,سكني,13,16291.66,111.59
2025,4,نجران,شرورة,الروضة الجنوبي,محل,تجاري,7,0,0
2025,4,نجران,نجران,المركب,محل,تجاري,1,0,0
2025,4,نجران,ثجر,ثجر,دور,سكني,1,18000,140.5
2025,4,نجران,حبونا,الجفة,محل,تجاري,1,0,0
2025,4,نجران,لبو,لبو,شقة,سكني,1,16000,160
2025,4,نجران,شرورة,الأمير مشعل ب,استديو,سكني,4,10760,185.2
2025,4,نجران,شرورة,الامارة,محل,تجاري,16,0,0
2025,4,نجران,نجران,أبو غبار,محل,تجاري,14,0,0
2025,4,نجران,شرورة,الدوائر الحكومية,شقة,سكني,7,15085.71,156.73
