السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,الرياض,الدوادمي,الدرع,دوبلاكس,سكني,6,16800,83.78
2025,1,الرياض,الدوادمي,الفيصلية,شقة,سكني,68,8794.34,85.29
2025,1,الرياض,عفيف,الروضة,فيلا,سكني,3,12000,38.46
2025,1,الرياض,الرياض,التعاون,شقة,سكني,956,41242.87,354.03
2025,1,الرياض,القصب,العزيزية,شقة,سكني,3,8000,71.29
2025,1,الرياض,حوطه سدير,عشيرة سدير,محل,تجاري,12,0,0
2025,1,الرياض,الرياض,البديعة,مكتب,تجاري,14,0,0
2025,1,الرياض,الرياض,المونسية,دوبلاكس,سكني,37,161774.97,773.43
2025,1,الرياض,الرياض,الزهرة,استديو,سكني,59,17045.71,562.87
2025,1,الرياض,الزلفي,الخالدية,استديو,سكني,2,6000,192.59
2025,1,الرياض,الرياض,القادسية,مكتب,تجاري,1,0,0
2025,1,الرياض,القصب,الخالدية,شقة,سكني,1,7000,53.84
2025,1,الرياض,حوطه بنى تميم,الخزامى,شقة,سكني,3,8666.66,61.66
2025,1,الرياض,عفيف,الفاخرية,فيلا,سكني,7,11333.33,36.21
2025,1,الرياض,الرياض,غرناطة,استديو,سكني,13,23248.75,580.05
2025,1,الرياض,الرياض,المصفاة,شقة,سكني,226,26363.67,232.08
2025,1,الرياض,حوطه بنى تميم,السعودية,استديو,سكني,1,5000,71.42
2025,1,الرياض,الرياض,السرحية,شقة,سكني,1,23000,153.33
2025,1,الرياض,الرياض,العاصمة,دور,سكني,36,43620.68,191.39
2025,1,الرياض,وادي الدواسر,المستشفى,شقة,سكني,1,16800,112
2025,1,الرياض,الرياض,المرقب,محل,تجاري,446,0,0
2025,1,الرياض,الرياض,الرماية,فيلا,سكني,1,75000,250
2025,1,الرياض,لجعه,لجعه,دور,سكني,1,18000,141.3
2025,1,الرياض,الخرج,المدينة الصناعية بالخرج,محل,تجاري,12,0,0
2025,1,الرياض,داحس,داحس,شقة,سكني,1,12000,94.2
2025,1,الرياض,الرياض,العليا,استديو,سكني,139,35436.21,693.54
2025,1,الرياض,حوطه سدير,الشفاء,دور,سكني,6,8400,38.4
2025,1,الرياض,الهياثم,العسيلة,محل,تجاري,9,0,0
2025,1,الرياض,رماح,حي مخطط  الاراضي الحكوميه,دور,سكني,3,16666.66,43.09
2025,1,الرياض,الرياض,العاصمة,فيلا,سكني,24,154078.94,619.11
2025,1,الرياض,رماح,المنار,شقة,سكني,20,12000,77.71
2025,1,الرياض,الجمش,مطربه,شقة,سكني,3,13166.66,108.57
2025,1,الرياض,الدلم,السليمانية,فيلا,سكني,1,18000,72
2025,1,الرياض,الرياض,الملك عبدالله,دوبلاكس,سكني,5,83000,444.43
2025,1,الرياض,الحريق - الحريق,المدينة الجديدة,دور,سكني,12,13800,51.15
2025,1,الرياض,الرياض,الخالدية,شقة,سكني,977,20265.03,179.31
2025,1,الرياض,الرياض,صياح,شقة,سكني,54,15976.42,167.85
2025,1,الرياض,الرياض,الدار البيضاء,مكتب,تجاري,25,0,0
2025,1,الرياض,الهياثم,مشرفة,شقة,سكني,45,19676.38,179.83
2025,1,الرياض,الرياض,المهدية,مكتب,تجاري,37,0,0
2025,1,الرياض,الأرطاوية,الورود,محل,تجاري,1,0,0
2025,1,الرياض,الرياض,سدرة,دوبلاكس,سكني,1,80000,400
