السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,الرياض,الغاط,النخيل,محل,تجاري,7,0,0
2025,2,الرياض,الزلفي,الملك سلمان,محل,تجاري,5,0,0
2025,2,الرياض,ابوسدره والمعطف,ابوسدره والمعطف,شقة,سكني,1,18000,90
2025,2,الرياض,الدلم,النهضة,شقة,سكني,29,12513.63,80.69
2025,2,الرياض,المغرة,المغرة,شقة,سكني,1,8000,44.44
2025,2,الرياض,الرياض,الريان,شقة,سكني,749,38194.97,318.48
2025,2,الرياض,القصير الشمالى,القصير الشمالى,محل,تجاري,1,0,0
2025,2,الرياض,الرياض,الريان,دوبلاكس,سكني,13,63750,266.88
2025,2,الرياض,الرياض,العريجاء الغربي,دور,سكني,257,27726.53,118.15
2025,2,الرياض,حوطه سدير,عوده سدير,دور,سكني,1,12000,66.66
2025,2,الرياض,الأفلاج,الورود,دور,سكني,2,10500,46.27
2025,2,الرياض,الرياض,أم سليم,شقة,سكني,606,18189.16,197.08
2025,2,الرياض,شقراء,الروضة,دور,سكني,20,9861.53,53.09
2025,2,الرياض,المجمعة - تمير,الملك سعود,دور,سكني,1,8000,32
2025,2,الرياض,الرياض,القادسية,فيلا,سكني,52,72867.64,233.78
2025,2,الرياض,ساجر,النخيل,مكتب,تجاري,1,0,0
2025,2,الرياض,الرياض,الزهرة,دور,سكني,207,27409.36,119.05
2025,2,الرياض,الرياض,الشرفية,استديو,سكني,17,14120,647.16
2025,2,الرياض,الرياض,ظهره العودة غرب,دور,سكني,4,30700,196.34
2025,2,الرياض,الدوادمي,السلام,دور,سكني,10,16250,86.45
2025,2,الرياض,الرياض,الوشام,معرض تجاري,تجاري,16,0,0
2025,2,الرياض,ثادق,الخالدية,محل,تجاري,8,0,0
2025,2,الرياض,عفيف,مشرفة الضليعي,شقة,سكني,1,8000,53.33
2025,2,الرياض,أوثيلان,أوثيلان,شقة,سكني,23,11823,86.04
2025,2,الرياض,الزلفي,الريان,محل,تجاري,3,0,0
2025,2,الرياض,حريملاء,القرينة الجديدة,محل,تجاري,2,0,0
2025,2,الرياض,الحريق - الحريق,نعام,دور,سكني,1,6000,60
2025,2,الرياض,الأفلاج,الملك عبدالله,دور,سكني,2,9500,29.95
2025,2,الرياض,الرياض,النور,دور,سكني,25,35415.38,107.36
2025,2,الرياض,الرياض,حطين,دوبلاكس,سكني,13,112084.44,446.19
2025,2,الرياض,الرياض,الملك سلمان,محل,تجاري,33,0,0
2025,2,الرياض,حوطه سدير,الشبيلية2,دوبلاكس,سكني,1,15500,121.09
2025,2,الرياض,حوطه بنى تميم,النهضة,محل,تجاري,17,0,0
2025,2,الرياض,الرياض,الوشام,استديو,سكني,85,20500,353.83
2025,2,الرياض,الخرج,البساتين,شقة,سكني,8,25600,365.71
2025,2,الرياض,الرياض,الشميسي,معرض تجاري,تجاري,2,0,0
2025,2,الرياض,مزرعة البكر ودواجن الأخوين,منطقة مفتوحة تابعة لبلدية السلي,محل,تجاري,1,0,0
2025,2,الرياض,الرياض,الملك فيصل,دور,سكني,101,43605.09,184.01
2025,2,الرياض,عفيف,ام سرحه,شقة,سكني,3,8666.66,44.02
2025,2,الرياض,الرياض,الندوة,دوبلاكس,سكني,1,24000,127.56
2025,2,الرياض,الدوادمي,الريان,محل,تجاري,21,0,0
2025,2,الرياض,الخرج,الفيصلية,دور,سكني,38,19488,70.46
