السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,3,الرياض,الرياض,المؤتمرات,معرض تجاري,تجاري,4,0,0
2025,3,الرياض,وادي الدواسر,الخماسين الجنوبي,مكتب,تجاري,1,0,0
2025,3,الرياض,حوطه سدير,بدر,شقة,سكني,55,11476.19,98.48
2025,3,الرياض,الزلفي,سمنان,شقة,سكني,66,11963.15,103.82
2025,3,الرياض,الرياض,غرناطة,استديو,سكني,50,25070,754.53
2025,3,الرياض,وادي الدواسر,العزيزية,شقة,سكني,1,18000,90
2025,3,الرياض,الرياض,الناصرية,مكتب,تجاري,1,0,0
2025,3,الرياض,الخرج,الخالدية,معرض تجاري,تجاري,8,0,0
2025,3,الرياض,الخرج,السيح,معرض تجاري,تجاري,2,0,0
2025,3,الرياض,الرياض,النسيم الغربي,معرض تجاري,تجاري,45,0,0
2025,3,الرياض,المزاحمية,طويق,محل,تجاري,23,0,0
2025,3,الرياض,الرياض,النموذجية,فيلا,سكني,5,62500,209.16
2025,3,الرياض,عفيف,الربوة,شقة,سكني,28,10593,68.57
2025,3,الرياض,فيضة منيه,فيضة منيه,شقة,سكني,2,12000,40
2025,3,الرياض,الخرج,السيح,استديو,سكني,110,13015.38,381.53
2025,3,الرياض,الجبيلة,الواحة,دور,سكني,2,25000,91.33
2025,3,الرياض,المجمعة,الجامعيين,شقة,سكني,278,16631.55,162.25
2025,3,الرياض,الرياض,جبرة,معرض تجاري,تجاري,2,0,0
2025,3,الرياض,الرياض,الدوبية,فيلا,سكني,1,11000,22
2025,3,الرياض,حوطه بنى تميم,المصيف,شقة,سكني,3,8666.66,60.65
2025,3,الرياض,الرياض,السلام,معرض تجاري,تجاري,26,0,0
2025,3,الرياض,القويعية,مخطط رقم 995,دور,سكني,14,17460,90.09
2025,3,الرياض,الرياض,غرناطة,فيلا,سكني,63,148043.47,597.96
2025,3,الرياض,الرياض,المؤتمرات,دوبلاكس,سكني,5,98333.33,536.28
2025,3,الرياض,الرياض,ديراب,محل,تجاري,90,0,0
2025,3,الرياض,الرياض,الوشام,دور,سكني,24,28666.66,160.65
2025,3,الرياض,الرياض,الدوبية,استديو,سكني,4,29766.66,850.47
2025,3,الرياض,الرياض,الرمال,دوبلاكس,سكني,21,39066.66,208.37
2025,3,الرياض,حوطه سدير,الخطامه,دور,سكني,1,25000,143.88
2025,3,الرياض,الدوادمي - البجادية,البلد,دور,سكني,4,16000,88.57
2025,3,الرياض,الرياض,النسيم الغربي,دور,سكني,410,32436.31,171.51
2025,3,الرياض,الرياض,العوالي,شقة,سكني,1179,24614.04,197.96
2025,3,الرياض,القويعية,البساتين,محل,تجاري,4,0,0
2025,3,الرياض,حوطه بنى تميم,الورود,شقة,سكني,31,10468.75,98.02
2025,3,الرياض,الرياض,الرفيعة,شقة,سكني,215,32126.92,233.35
2025,3,الرياض,الرياض,الندوة,محل,تجاري,171,0,0
2025,3,الرياض,الرياض,النظيم,محل,تجاري,506,0,0
2025,3,الرياض,شقراء,القارة,شقة,سكني,85,11135.71,105.72
2025,3,الرياض,ثادق,الجنادرية,دور,سكني,4,11666.66,42.76
2025,3,الرياض,وادي الدواسر,الورود,محل,تجاري,4,0,0
2025,3,الرياض,حوطه سدير,العطار,دور,سكني,1,8000,40
2025,3,الرياض,الرياض,القدس,معرض تجاري,تجاري,43,0,0
2025,3,الرياض,الرياض,طويق,دور,سكني,695,32377.11,129.32
2025,3,الرياض,الرياض,الدريهمية,دور,سكني,40,31535.71,137.49
2025,3,الرياض,الرياض,المعذر,محل,تجاري,35,0,0
2025,3,الرياض,الأرطاوية,الخليج,محل,تجاري,22,0,0
2025,3,الرياض,ثادق,مخطط 87,محل,تجاري,1,0,0
2025,3,الرياض,نفى,الخزان,شقة,سكني,3,18000,110.58
2025,3,الرياض,مزارع غرب وشرق عسيله,مزارع غرب وشرق عسيله,شقة,سكني,2,12000,83.06
2025,3,الرياض,حوطه بنى تميم,النهضة,شقة,سكني,2,7500,75
2025,3,الرياض,مزارع البطين ومزرعه دواجن,قصور ال مقبل,محل,تجاري,4,0,0
2025,3,الرياض,الهدار,ال وحيد,شقة,سكني,1,18000,60
2025,3,الرياض,الرياض,العود,محل,تجاري,144,0,0
2025,3,الرياض,الرياض,الملك فيصل,محل,تجاري,282,0,0
2025,3,الرياض,حريملاء,حي ج5,استديو,سكني,1,10000,100
2025,3,الرياض,حريملاء,الروضة,محل,تجاري,2,0,0
2025,3,الرياض,الرياض,النسيم الغربي,مكتب,تجاري,28,0,0
2025,3,الرياض,الرياض,الإزدهار,استديو,سكني,37,25714.28,414.58
2025,3,الرياض,الزلفي,عريعرة,محل,تجاري,1,0,0
2025,3,الرياض,المزاحمية,الورود,دوبلاكس,سكني,1,24000,120
2025,3,الرياض,الخرج,فرزان,محل,تجاري,13,0,0
2025,3,الرياض,الزلفي,الفردوس,شقة,سكني,1,5000,50
2025,3,الرياض,وادي الدواسر,الشرافا,دور,سكني,1,16000,54.13
2025,3,الرياض,ضرما,البديع الشرقى,شقة,سكني,20,14485.71,82.45
2025,3,الرياض,مرات,الصحن,محل,تجاري,1,0,0
2025,3,الرياض,رماح,النرجس,شقة,سكني,1,7875,43.75
2025,3,الرياض,المجمعة,الأمير سلطان بن عبدالعزيز,محل,تجاري,56,0,0
2025,3,الرياض,الرياض,مطار الملك خالد الدولي,دور,سكني,5,68750,435.35
2025,3,الرياض,الدوادمي,حطين,دوبلاكس,سكني,1,10800,37.5
2025,3,الرياض,الرياض,النفل,دوبلاكس,سكني,1,75000,375
2025,3,الرياض,الزلفي,الروضة,شقة,سكني,7,9400,75.62
2025,3,الرياض,الرياض,النهضة,مكتب,تجاري,33,0,0
2025,3,الرياض,الرياض,البشائر,دور,سكني,1,40000,160
2025,3,الرياض,الدلم,السليمانية,دور,سكني,1,18000,90
2025,3,الرياض,الهدار,الطرف,شقة,سكني,2,27500,137.5
2025,3,الرياض,الزلفي,الخالدية,شقة,سكني,67,11756.15,128.88
2025,3,الرياض,الدلم,الصحنة,محل,تجاري,44,0,0
2025,3,الرياض,الرياض,الهدا,دور,سكني,1,110000,481.48
2025,3,الرياض,الرياض,أم الحمام الغربي,دور,سكني,153,38741.64,249.96
2025,3,الرياض,الرياض,السويدي الغربي,دوبلاكس,سكني,2,22500,77.44
