السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,4,الرياض,حوطه بنى تميم,السعودية,استديو,سكني,1,5200,65
2025,4,الرياض,الرياض,الناصرية,استديو,سكني,12,16436.8,754.59
2025,4,الرياض,الرياض,الخزامى,شقة,سكني,68,74975.53,674.89
2025,4,الرياض,مرات,الدار البيضاء,شقة,سكني,1,7500,62.5
2025,4,الرياض,الحميسيه,الحميسيه,دور,سكني,1,12000,48
2025,4,الرياض,القويعية,عشيران ومزارعها,دور,سكني,1,5000,16.66
2025,4,الرياض,الرياض,الخليج,استديو,سكني,122,19095.97,363.6
2025,4,الرياض,عفيف,الريان,فيلا,سكني,3,10666.66,41.93
2025,4,الرياض,حوطه بنى تميم,السلام,دور,سكني,4,12125,43.82
2025,4,الرياض,الرياض,البشائر,شقة,سكني,1,30000,250
2025,4,الرياض,الرياض,جامعة الملك سعود,فيلا,سكني,9,73333,202.55
2025,4,الرياض,عرجاء,عرجاء,فيلا,سكني,1,34000,121.42
2025,4,الرياض,الرياض,الملك عبدالعزيز,مكتب,تجاري,232,0,0
2025,4,الرياض,الرياض,الربيع,مكتب,تجاري,245,0,0
2025,4,الرياض,الخرج,النهضة,فيلا,سكني,11,26555.55,89.32
2025,4,الرياض,الرياض,النرجس,دور,سكني,468,63492.14,327.75
2025,4,الرياض,الرياض,الخير,فيلا,سكني,1,75000,187.5
2025,4,الرياض,المجمعة,الملك عبدالعزيز,محل,تجاري,62,0,0
2025,4,الرياض,الرياض,ضاحية نمار,معرض تجاري,تجاري,1,0,0
2025,4,الرياض,رماح,المنار,شقة,سكني,46,10350,91.79
2025,4,الرياض,شقراء,الرحبة,محل,تجاري,6,0,0
2025,4,الرياض,الرياض,العاصمة,شقة,سكني,199,40796.58,313.36
2025,4,الرياض,الرياض,الجزيرة,مكتب,تجاري,38,0,0
2025,4,الرياض,حريملاء,الديرة,شقة,سكني,1,10000,125
2025,4,الرياض,الرياض,الدوبية,محل,تجاري,24,0,0
2025,4,الرياض,المزاحمية,العليا,استديو,سكني,22,12883.33,248.62
2025,4,الرياض,الأفلاج,العزيزية,شقة,سكني,14,9954.54,67.55
2025,4,الرياض,عفيف - ابرقيه,ابرقيه,شقة,سكني,2,10000,125
2025,4,الرياض,الرياض,النسيم الغربي,مكتب,تجاري,40,0,0
2025,4,الرياض,حوطه سدير,الحلة الطالعية,استديو,سكني,1,10400,130
2025,4,الرياض,السليل,الشفاء,فيلا,سكني,1,12000,26.08
2025,4,الرياض,الرياض,الصالحية,استديو,سكني,34,11830,561.15
2025,4,الرياض,حوطه بنى تميم,الروابي,محل,تجاري,3,0,0
2025,4,الرياض,الرياض,ظهره العودة غرب,محل,تجاري,14,0,0
2025,4,الرياض,القويعية,الربوة,شقة,سكني,71,13404.34,114.24
2025,4,الرياض,عفيف,الشلال,فيلا,سكني,7,8425,23.84
2025,4,الرياض,حوطه بنى تميم,المنار,دور,سكني,4,12000,38.33
2025,4,الرياض,المزاحمية,وسيلة,شقة,سكني,8,14650,107.81
2025,4,الرياض,ثادق,الوادي,دور,سكني,1,11000,55
2025,4,الرياض,الخرج,الخالدية,فيلا,سكني,8,19357.14,55.23
2025,4,الرياض,الخرج,العالية,محل,تجاري,636,0,0
2025,4,الرياض,الجمش,الجمش,دور,سكني,1,19000,126.66
2025,4,الرياض,الرياض,معكال,مكتب,تجاري,24,0,0
2025,4,الرياض,الخرج,السهباء,استديو,سكني,33,11280,266.66
2025,4,الرياض,الرياض,خشم العان,محل,تجاري,4,0,0
2025,4,الرياض,الرقة الجنوبية,الرقة الجنوبية,شقة,سكني,1,8000,57.14
2025,4,الرياض,أشيقر,مخطط رقم 571 - مخطط رقم 928,شقة,سكني,1,6000,60
2025,4,الرياض,الرياض,الثليما,فيلا,سكني,1,180000,783.49
2025,4,الرياض,المزاحمية,الراشدية,شقة,سكني,4,20250,141.39
2025,4,الرياض,الرين,الهفوف,شقة,سكني,1,18000,100
2025,4,الرياض,القويعية,العواش,شقة,سكني,1,18000,132.18
