السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,1,تبوك,حقل,السبخة,دور,سكني,2,22800,178.99
2025,1,تبوك,تبوك,الفيصلية الجنوبية,معرض تجاري,تجاري,18,0,0
2025,1,تبوك,الوجه,البلد,شقة,سكني,9,18000,125.04
2025,1,تبوك,تبوك,القادسية الثانى,شقة,سكني,411,17128.66,127.6
2025,1,تبوك,العرجاء,العرجاء,شقة,سكني,1,24000,160
2025,1,تبوك,تبوك,المصيف,شقة,سكني,661,18476.29,135.62
2025,1,تبوك,ضباء,غرناطة,شقة,سكني,1,18000,180
2025,1,تبوك,حالة عمار,المنطقة السكنية,محل,تجاري,1,0,0
2025,1,تبوك,الوجه,العزيزية,شقة,سكني,68,43376.47,221.02
2025,1,تبوك,ضباء,المقيطع,مكتب,تجاري,1,0,0
2025,1,تبوك,تبوك,الريان,استديو,سكني,16,9240,145.24
2025,1,تبوك,تيماء,الشفاء,شقة,سكني,57,11708.33,85.67
2025,1,تبوك,تبوك,اليرموك,استديو,سكني,4,15200,354.66
2025,1,تبوك,الاخضر,الاخضر,شقة,سكني,1,17500,58.33
2025,1,تبوك,الوجه,حي الضاحية,شقة,سكني,3,10800,78.81
2025,1,تبوك,تبوك,الروضة,شقة,سكني,903,14475.13,112.53
2025,1,تبوك,تبوك,التعاون,فيلا,سكني,1,43200,216
2025,1,تبوك,ضباء,البلد,محل,تجاري,29,0,0
2025,1,تبوك,ضباء,شمال ارامكو,دور,سكني,2,100000,400
2025,1,تبوك,تبوك,النهضة,شقة,سكني,429,14242.58,111.84
2025,1,تبوك,الوجه,الخالدية,محل,تجاري,8,0,0
2025,1,تبوك,العمود,العمود,محل,تجاري,1,0,0
2025,1,تبوك,تبوك,الحزم,محل,تجاري,6,0,0
2025,1,تبوك,تبوك,الراجحي,شقة,سكني,101,17255.11,134.47
2025,1,تبوك,حقل,الحميضة,محل,تجاري,29,0,0
2025,1,تبوك,بداء,بداء,شقة,سكني,19,16896.66,136.07
2025,1,تبوك,الزيته,الزيته,شقة,سكني,2,17750,117.5
2025,1,تبوك,حقل,الريان,شقة,سكني,8,14328.57,114.7
2025,1,تبوك,أملج,حي ج17,شقة,سكني,4,18000,161.19
2025,1,تبوك,الديسه,الديسه,شقة,سكني,5,14680,96.67
2025,1,تبوك,تيماء,الروضة,شقة,سكني,48,13117.31,95.27
2025,1,تبوك,ضباء,الضاحية,شقة,سكني,38,26554.16,171.4
2025,1,تبوك,ابو راكه,ابو راكه,شقة,سكني,2,15000,132.85
2025,1,تبوك,أملج,حي ج2,دور,سكني,3,233333,1831.78
2025,1,تبوك,تبوك,سلطانة,استديو,سكني,32,10980,156.26
2025,1,تبوك,تيماء,قريان,دور,سكني,1,6000,30
2025,1,تبوك,تبوك,الدوائر الحكومية,محل,تجاري,3,0,0
2025,1,تبوك,الوجه,المنتزة,فيلا,سكني,16,62727.27,156.7
2025,1,تبوك,تيماء,الفاو,شقة,سكني,22,12225.33,117.7
2025,1,تبوك,تبوك,المروج,محل,تجاري,166,0,0
2025,1,تبوك,تبوك,الشفاء,استديو,سكني,2,13800,348
2025,1,تبوك,الجهراء القديمه,الجهراء القديمه,شقة,سكني,2,18000,120
2025,1,تبوك,أملج,النخيل,شقة,سكني,1,18000,183.67
2025,1,تبوك,تبوك,الصفاء,دور,سكني,8,29925,154.93
2025,1,تبوك,أملج,الشعب,شقة,سكني,9,17062.5,154.28
2025,1,تبوك,تبوك,البلدة القديمة,معرض تجاري,تجاري,69,0,0
