السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار ,متوسط الايجار لكل متر مربع 
2025,2,تبوك,الوجه,حي الورود,محل,تجاري,1,0,0
2025,2,تبوك,تبوك,الراجحي,معرض تجاري,تجاري,2,0,0
2025,2,تبوك,بئر بن هرماس,الربوة,شقة,سكني,50,15222.95,112.48
2025,2,تبوك,تيماء,النسيم,محل,تجاري,23,0,0
2025,2,تبوك,بداء,بداء,محل,تجاري,5,0,0
2025,2,تبوك,تبوك,الريان,شقة,سكني,316,18448.81,129.66
2025,2,تبوك,تبوك,الريان,معرض تجاري,تجاري,4,0,0
2025,2,تبوك,الوجه,حي اليرموك,شقة,سكني,1,18000,180
2025,2,تبوك,ضباء,البلد,محل,تجاري,24,0,0
2025,2,تبوك,تبوك,الراية,معرض تجاري,تجاري,1,0,0
2025,2,تبوك,تبوك,الزهراء,شقة,سكني,72,17131.91,140.24
2025,2,تبوك,تبوك,القادسية الثانى,شقة,سكني,362,15899.05,120.46
2025,2,تبوك,تبوك,المروج,استديو,سكني,53,14296.77,304.51
2025,2,تبوك,الرمضه,الرمضه,شقة,سكني,1,18000,100
2025,2,تبوك,تيماء,قريان,محل,تجاري,6,0,0
2025,2,تبوك,تبوك,الحزم,شقة,سكني,9,17200,206
2025,2,تبوك,تبوك,القدس,شقة,سكني,41,18467.85,114.04
2025,2,تبوك,الباطن,الباطن,شقة,سكني,1,18000,180
2025,2,تبوك,تبوك,سلطانة,فيلا,سكني,1,30000,166.66
2025,2,تبوك,الوجه,النهضة,دور,سكني,11,38999.6,212.02
2025,2,تبوك,أملج,حي ج1,محل,تجاري,9,0,0
2025,2,تبوك,تبوك,الفيصلية الجنوبية,مكتب,تجاري,14,0,0
2025,2,تبوك,تبوك,القدس,دور,سكني,1,30000,100
2025,2,تبوك,تبوك,منطقة خاصة,شقة,سكني,1,18000,100
2025,2,تبوك,تبوك,الصفوة,معرض تجاري,تجاري,5,0,0
2025,2,تبوك,الوجه,حي الورود,دور,سكني,7,249333,1525.36
2025,2,تبوك,تيماء,الرحمانية,دور,سكني,5,19650,83.8
2025,2,تبوك,أملج,النصبة,دور,سكني,1,60000,750
2025,2,تبوك,أملج,البلد,محل,تجاري,11,0,0
2025,2,تبوك,تبوك,النظيم,استديو,سكني,9,18000,234
2025,2,تبوك,ضباء,ضحكان 1,محل,تجاري,9,0,0
2025,2,تبوك,تبوك,النهضة,دور,سكني,15,19600,128.41
2025,2,تبوك,تبوك,الشروق,دور,سكني,1,20000,57.14
2025,2,تبوك,تبوك,الفردوس,استديو,سكني,1,10800,240
2025,2,تبوك,الوجه,المنتزة,استديو,سكني,4,10500,81.25
2025,2,تبوك,أملج,الشعب,شقة,سكني,10,22449.75,263.7
2025,2,تبوك,أملج,الصيادلة,شقة,سكني,8,12000,88.3
2025,2,تبوك,تيماء,القاع,محل,تجاري,7,0,0
2025,2,تبوك,تيماء,الشرف,شقة,سكني,6,16000,146.66
2025,2,تبوك,حقل,غرب الظهرة,شقة,سكني,2,17500,124.74
2025,2,تبوك,تبوك,النظيم,محل,تجاري,43,0,0
2025,2,تبوك,تيماء,الخبراء,محل,تجاري,1,0,0
2025,2,تبوك,الوجه,العزيزية,شقة,سكني,85,15770.58,112.65
2025,2,تبوك,حقل,حي ج1,شقة,سكني,2,17620,85.69
2025,2,تبوك,تبوك,العين,شقة,سكني,1,22200,158.57
2025,2,تبوك,تبوك,المصيف,دور,سكني,6,26700,149.13
2025,2,تبوك,ابا العجاج,ابا العجاج,شقة,سكني,1,15000,117.75
2025,2,تبوك,ضباء,ضحكان 1,مكتب,تجاري,3,0,0
2025,2,تبوك,العويند,العويند,شقة,سكني,3,15500,150
2025,2,تبوك,أملج,حي ج2,فيلا,سكني,1,70000,318.18
2025,2,تبوك,تبوك,المروج,مكتب,تجاري,1,0,0
2025,2,تبوك,الوجه,حي المصيف,شقة,سكني,47,22909.09,147.25
2025,2,تبوك,تبوك,الصفاء,استديو,سكني,4,20733.33,386.88
