السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,3,تبوك,تيماء,الرحمانية,معرض تجاري,تجاري,1,0,0
2025,3,تبوك,تيماء,الفاو,شقة,سكني,10,10714.28,108.93
2025,3,تبوك,تيماء,الشفاء,شقة,سكني,111,9894.64,80.73
2025,3,تبوك,ضباء,عيانة 1,شقة,سكني,1,54000,270
2025,3,تبوك,الوجه,حي المصيف,محل,تجاري,1,0,0
2025,3,تبوك,العمود,العمود,شقة,سكني,2,18000,225
2025,3,تبوك,تبوك,الفيصلية الجنوبية,معرض تجاري,تجاري,59,0,0
2025,3,تبوك,تبوك,سلطانة,مكتب,تجاري,1,0,0
2025,3,تبوك,الوجه,ج1,محل,تجاري,1,0,0
2025,3,تبوك,تبوك,القدس,محل,تجاري,10,0,0
2025,3,تبوك,تبوك,الفيصلية الجنوبية,دور,سكني,7,26250,98.12
2025,3,تبوك,الوجه,حي الورود,محل,تجاري,3,0,0
2025,3,تبوك,تبوك,النظيم,شقة,سكني,204,15757.47,114.48
2025,3,تبوك,أملج,حي ج2,دور,سكني,2,25000,65.78
2025,3,تبوك,الوجه,البلد,شقة,سكني,8,16800,197.64
2025,3,تبوك,شغب,شغب,شقة,سكني,6,18000,87.5
2025,3,تبوك,تبوك,النهضة,محل,تجاري,99,0,0
2025,3,تبوك,تبوك,المصيف,مكتب,تجاري,3,0,0
2025,3,تبوك,شرماء,شرماء,محل,تجاري,7,0,0
2025,3,تبوك,قرية المثلث,قرية المثلث,شقة,سكني,2,6000,53.45
2025,3,تبوك,أملج,النسيم,محل,تجاري,2,0,0
2025,3,تبوك,أملج,الشعب,محل,تجاري,1,0,0
2025,3,تبوك,تبوك,النخيل,فيلا,سكني,1,66000,104.76
2025,3,تبوك,تبوك,الفيصلية الجنوبية,محل,تجاري,190,0,0
2025,3,تبوك,تبوك,الشروق,فيلا,سكني,2,33000,55.07
2025,3,تبوك,البدع - البدع,الزهور,شقة,سكني,12,15750,100.57
2025,3,تبوك,تبوك,القادسية الاول,استديو,سكني,1,15600,130
2025,3,تبوك,تبوك,النهضة,شقة,سكني,387,13563.38,106.28
2025,3,تبوك,تبوك,المصيف,محل,تجاري,109,0,0
