السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2025,4,تبوك,الوجه,العزيزية,شقة,سكني,91,21767.27,121.09
2025,4,تبوك,تيماء,عكاظ,محل,تجاري,32,0,0
2025,4,تبوك,تبوك,الراجحي,معرض تجاري,تجاري,6,0,0
2025,4,تبوك,أملج,البلد,شقة,سكني,36,17450,119.14
2025,4,تبوك,اشواق,اشواق,محل,تجاري,19,0,0
2025,4,تبوك,تبوك,الياسمين,معرض تجاري,تجاري,1,0,0
2025,4,تبوك,تبوك,الفنار,محل,تجاري,9,0,0
2025,4,تبوك,تبوك,الاحياء الجنوبية,محل,تجاري,52,0,0
2025,4,تبوك,أملج,التحلية,شقة,سكني,37,18532,97.18
2025,4,تبوك,أملج,المروج,شقة,سكني,3,18800,126.79
2025,4,تبوك,تيماء,الأندلس,شقة,سكني,6,16716.66,126.44
2025,4,تبوك,تبوك,النخيل,فيلا,سكني,1,36000,120
2025,4,تبوك,تبوك,الزهراء,محل,تجاري,9,0,0
2025,4,تبوك,شقرى الجديده,شقرى الجديده,شقة,سكني,3,16000,97.64
2025,4,تبوك,أملج,المريحل,شقة,سكني,6,24000,96
2025,4,تبوك,ضباء,الورود,شقة,سكني,4,31775,158.87
2025,4,تبوك,أملج,حي ج1,شقة,سكني,2,18000,72
2025,4,تبوك,ام رتب (سيح العقيبيه),ام رتب (سيح العقيبيه),شقة,سكني,1,18000,90
2025,4,تبوك,تبوك,البوادي,معرض تجاري,تجاري,11,0,0
2025,4,تبوك,حقل,السلطانيه,شقة,سكني,2,15350,113.33
2025,4,تبوك,تيماء,الروضة,دور,سكني,1,12000,80
2025,4,تبوك,الوجه,الفريعة,شقة,سكني,44,19441.66,162.47
2025,4,تبوك,تبوك,البلدة القديمة,معرض تجاري,تجاري,2,0,0
2025,4,تبوك,حقل,الظهرة,شقة,سكني,216,15716.68,104.48
2025,4,تبوك,أملج,الاندلس,شقة,سكني,14,17236.36,137.92
2025,4,تبوك,أملج,القرص,محل,تجاري,6,0,0
2025,4,تبوك,تبوك,الحمراء,مكتب,تجاري,1,0,0
2025,4,تبوك,أملج,الصفاء,محل,تجاري,15,0,0
2025,4,تبوك,الوجه,ج1,محل,تجاري,2,0,0
2025,4,تبوك,تبوك,القادسية الثانى,دوبلاكس,سكني,1,12000,48
2025,4,تبوك,تبوك,الإسكان,فيلا,سكني,5,21600,66.46
2025,4,تبوك,تبوك,الروضة,معرض تجاري,تجاري,6,0,0
2025,4,تبوك,تيماء,المنتزة,فيلا,سكني,1,27000,67.5
2025,4,تبوك,تبوك,الإسكان,معرض تجاري,تجاري,2,0,0
2025,4,تبوك,المحاش,المحاش,شقة,سكني,1,18000,60
2025,4,تبوك,ضباء,ضحكان 1,استديو,سكني,1,15600,156
2025,4,تبوك,ضباء,عيانة 1,شقة,سكني,1,12000,120
2025,4,تبوك,تبوك,المصيف,معرض تجاري,تجاري,4,0,0
2025,4,تبوك,الوجه,المنتزة,فيلا,سكني,2,55000,238.09
2025,4,تبوك,أملج,السلام,معرض تجاري,تجاري,1,0,0
2025,4,تبوك,تبوك,الحمراء,دوبلاكس,سكني,1,14400,112.41
2025,4,تبوك,تبوك,الأخضر,فيلا,سكني,10,34000,140.1
2025,4,تبوك,الوجه,النهضة,دور,سكني,23,99500,454.38
2025,4,تبوك,تبوك,الورود,فيلا,سكني,6,33800,167.46
2025,4,تبوك,حقل,الريان,دور,سكني,1,17000,113.33
2025,4,تبوك,تبوك,سلطانة,معرض تجاري,تجاري,2,0,0
2025,4,تبوك,تبوك,المنطقة الصناعية,شقة,سكني,4,15500,118.32
2025,4,تبوك,حقل,النهضة,محل,تجاري,1,0,0
2025,4,تبوك,تبوك,الإزدهار,محل,تجاري,1,0,0
2025,4,تبوك,الوجه,الربوة,استديو,سكني,1,8200,82
2025,4,تبوك,تبوك,الزهراء,معرض تجاري,تجاري,1,0,0
2025,4,تبوك,أملج,التحلية,فيلا,سكني,10,22644,64.69
2025,4,تبوك,تبوك,البوادي,شقة,سكني,647,18034.3,148.31
2025,4,تبوك,تبوك,الفيصلية الجنوبية,معرض تجاري,تجاري,27,0,0
2025,4,تبوك,تبوك,الياسمين,دور,سكني,1,14400,120
2025,4,تبوك,تبوك,القادسية الثانى,استديو,سكني,5,16200,286.14
2025,4,تبوك,ضباء,عيانة 2,فيلا,سكني,1,64000,213.33
2025,4,تبوك,الوجه,البلد,شقة,سكني,11,41025,409.51
2025,4,تبوك,تبوك,الصفوة,استديو,سكني,1,15600,195
2025,4,تبوك,ابيط,ابيط,شقة,سكني,1,14400,92.9
2025,4,تبوك,تبوك,الراجحي,محل,تجاري,77,0,0
2025,4,تبوك,تبوك,الأخضر,محل,تجاري,70,0,0
2025,4,تبوك,تبوك,البلدة القديمة,استديو,سكني,15,6900,201.84
2025,4,تبوك,ضباء,المروج,محل,تجاري,11,0,0
2025,4,تبوك,بئر بن هرماس,البلدة القديمة,شقة,سكني,42,17105.88,93.9
2025,4,تبوك,تبوك,الشفاء,فيلا,سكني,10,31983.33,134.9
2025,4,تبوك,تبوك,النهضة,استديو,سكني,5,8100,171.25
2025,4,تبوك,تبوك,الفيصلية الجنوبية,استديو,سكني,72,10499.57,179.02
2025,4,تبوك,أملج,حي ج2,محل,تجاري,2,0,0
2025,4,تبوك,حقل,حي ج1,شقة,سكني,13,16675.38,78.36
2025,4,تبوك,أملج,حي ج1,محل,تجاري,3,0,0
2025,4,تبوك,تبوك,الإسكان,شقة,سكني,20,16684.21,110.53
2025,4,تبوك,تبوك,القادسية الثانى,محل,تجاري,56,0,0
2025,4,تبوك,تبوك,غرناطة,محل,تجاري,13,0,0
2025,4,تبوك,تبوك,البلدة القديمة,شقة,سكني,302,14413.52,117.37
2025,4,تبوك,العويند,العويند,شقة,سكني,1,18000,100
2025,4,تبوك,تبوك,الفنار,فيلا,سكني,13,160000,800
2025,4,تبوك,تبوك,البساتين,استديو,سكني,2,10200,252
2025,4,تبوك,أملج,الشفا,محل,تجاري,2,0,0
2025,4,تبوك,تيماء,الشفاء,محل,تجاري,15,0,0
2025,4,تبوك,ضباء,المقيطع,مكتب,تجاري,4,0,0
2025,4,تبوك,تبوك,البلدة القديمة,فيلا,سكني,5,28133.33,114.65
2025,4,تبوك,أملج,النسيم,محل,تجاري,1,0,0
2025,4,تبوك,تبوك,القادسية الثانى,معرض تجاري,تجاري,5,0,0
2025,4,تبوك,أملج,الكورنيش,محل,تجاري,3,0,0
2025,4,تبوك,تبوك,طيبة,دور,سكني,1,18000,90
2025,4,تبوك,تبوك,الفنار,استديو,سكني,7,9666.66,306.25
2025,4,تبوك,ضباء,المقيطع,دور,سكني,34,60568.75,172.83
2025,4,تبوك,بئر بن هرماس,الربوة,شقة,سكني,92,16774.84,102.82
2025,4,تبوك,الوجه,النهضة,محل,تجاري,29,0,0
2025,4,تبوك,ضباء,البلد,شقة,سكني,132,19995.55,144.42
2025,4,تبوك,تبوك,الفيصلية الشمالية,دوبلاكس,سكني,2,7200,48
2025,4,تبوك,حقل,الحميضة,محل,تجاري,2,0,0
2025,4,تبوك,تيماء,النسيم,محل,تجاري,6,0,0
2025,4,تبوك,تبوك,المدينة الجامعية,شقة,سكني,3,18000,119.25
2025,4,تبوك,تبوك,الروضة,استديو,سكني,14,10620,230.72
2025,4,تبوك,البدع - البدع,المروج,شقة,سكني,3,16000,121.88
2025,4,تبوك,تبوك,الفنار,دوبلاكس,سكني,1,24000,120
2025,4,تبوك,تبوك,الورود,معرض تجاري,تجاري,19,0,0
2025,4,تبوك,تبوك,البلدة القديمة,محل,تجاري,266,0,0
2025,4,تبوك,تبوك,النخيل,دور,سكني,6,34433.33,163.36
2025,4,تبوك,تبوك,الروضة,محل,تجاري,216,0,0
2025,4,تبوك,أملج,السلام,مكتب,تجاري,1,0,0
2025,4,تبوك,تيماء,الحى التجارى,شقة,سكني,5,13100,108.55
2025,4,تبوك,تبوك,الدوائر الحكومية,محل,تجاري,10,0,0
2025,4,تبوك,تبوك,الروضة,مكتب,تجاري,1,0,0
2025,4,تبوك,أملج,المريحل,دور,سكني,8,6616,44.1
2025,4,تبوك,تبوك,الروضة,شقة,سكني,1060,14426.98,110.65
2025,4,تبوك,أملج,التحلية,دور,سكني,1,12500,41.66
2025,4,تبوك,حقل,غرب الظهرة,شقة,سكني,11,19500,209.48
2025,4,تبوك,حقل,حي ج1,فيلا,سكني,15,23675.71,67.64
2025,4,تبوك,ضباء,القادسية,شقة,سكني,68,15700,117
2025,4,تبوك,تيماء,الربوة,دور,سكني,7,14400,66.36
2025,4,تبوك,ضباء,المقيطع,محل,تجاري,61,0,0
2025,4,تبوك,تبوك,الفيصلية الشمالية,مكتب,تجاري,17,0,0
2025,4,تبوك,الوجه,المنتزة,دور,سكني,3,53000,424
2025,4,تبوك,ضباء,عيانة 2,محل,تجاري,1,0,0
2025,4,تبوك,تبوك,الحزم,شقة,سكني,19,20426.66,199.59
2025,4,تبوك,خرباء,خرباء,دور,سكني,2,13800,34.5
2025,4,تبوك,الوجه,العزيزية,محل,تجاري,49,0,0
2025,4,تبوك,أملج,البلد,محل,تجاري,17,0,0
2025,4,تبوك,تبوك,العين,شقة,سكني,2,20400,115
2025,4,تبوك,الشبيكه,الشبيكه,شقة,سكني,1,18000,180
2025,4,تبوك,أملج,أبو شجره,استديو,سكني,1,15600,624
2025,4,تبوك,تبوك,الريان,شقة,سكني,458,19492.13,141.44
2025,4,تبوك,تبوك,الإسكان,محل,تجاري,2,0,0
2025,4,تبوك,حقل,المروج 1,شقة,سكني,2,18000,138.17
2025,4,تبوك,شرماء,شرماء,محل,تجاري,3,0,0
2025,4,تبوك,أملج,الضويحي,محل,تجاري,1,0,0
2025,4,تبوك,ضباء,المروج,شقة,سكني,67,27313.79,159.93
2025,4,تبوك,تبوك,الشفاء,محل,تجاري,12,0,0
2025,4,تبوك,أملج,المروج,محل,تجاري,1,0,0
2025,4,تبوك,تبوك,الزهراء,دور,سكني,2,18000,127.94
2025,4,تبوك,بداء,بداء,شقة,سكني,16,20395.35,82.6
2025,4,تبوك,خشم الظبيبه,خشم الظبيبه,شقة,سكني,1,18000,60
2025,4,تبوك,تبوك,القدس,معرض تجاري,تجاري,4,0,0
2025,4,تبوك,تبوك,البوادي,دور,سكني,19,23469.23,119.17
2025,4,تبوك,تبوك,غرناطة,شقة,سكني,31,17923.07,126.56
2025,4,تبوك,ضباء,المقيطع,معرض تجاري,تجاري,1,0,0
2025,4,تبوك,حقل,الظهرة,مكتب,تجاري,1,0,0
2025,4,تبوك,أملج,المرجان,محل,تجاري,7,0,0
2025,4,تبوك,تبوك,المصيف,محل,تجاري,93,0,0
2025,4,تبوك,حقل,السلطانيه,استديو,سكني,1,15600,260
2025,4,تبوك,تبوك,السعادة,معرض تجاري,تجاري,2,0,0
2025,4,تبوك,بداء,بداء,محل,تجاري,8,0,0
2025,4,تبوك,تبوك,الفردوس,استديو,سكني,1,12000,150
2025,4,تبوك,تبوك,الراية,محل,تجاري,10,0,0
2025,4,تبوك,حقل,القادسية,شقة,سكني,16,16080,80.42
2025,4,تبوك,الوجه,ج2,شقة,سكني,2,26767.5,178.45
2025,4,تبوك,تبوك,الصفوة,محل,تجاري,1,0,0
2025,4,تبوك,أملج,النسيم,شقة,سكني,10,19300,113.88
2025,4,تبوك,الوجه,المنتزة,شقة,سكني,147,21976.88,146.87
2025,4,تبوك,تبوك,طيبة,محل,تجاري,19,0,0
2025,4,تبوك,تبوك,الراجحي,شقة,سكني,141,17813.44,131.82
2025,4,تبوك,تبوك,سلطانة,مكتب,تجاري,13,0,0
2025,4,تبوك,الوجه,حي الورود,فيلا,سكني,1,200000,503.77
2025,4,تبوك,ضباء,القادسية,فيلا,سكني,1,30000,43.54
2025,4,تبوك,تبوك,الورود,مكتب,تجاري,37,0,0
2025,4,تبوك,أملج,أبو شجره,محل,تجاري,31,0,0
2025,4,تبوك,أملج,الكورنيش,شقة,سكني,21,19542.85,184.59
2025,4,تبوك,مثلث شواق,مثلث شواق,شقة,سكني,1,18000,180
2025,4,تبوك,علقان,علقان,شقة,سكني,1,18000,120
2025,4,تبوك,تبوك,النظيم,محل,تجاري,84,0,0
2025,4,تبوك,تبوك,المدينة الجامعية,محل,تجاري,3,0,0
2025,4,تبوك,الوجه,حي الروضة,شقة,سكني,2,16267.5,104.74
2025,4,تبوك,العسافيه,العسافيه,شقة,سكني,9,17250,138.12
2025,4,تبوك,الوجه,حي المصيف,محل,تجاري,4,0,0
2025,4,تبوك,تبوك,الحزم,استديو,سكني,2,18000,327.27
2025,4,تبوك,تيماء,الروضة,شقة,سكني,44,11337.14,91.16
2025,4,تبوك,تبوك,الدفاع,شقة,سكني,1,19200,202.1
2025,4,تبوك,ضباء,ضحكان 1,شقة,سكني,3,19800,102
2025,4,تبوك,تبوك,سلطانة,شقة,سكني,698,16282.2,131.77
2025,4,تبوك,تبوك,الروضة,فيلا,سكني,1,24000,120
2025,4,تبوك,ضباء,شمال ارامكو,شقة,سكني,11,41640,265.22
2025,4,تبوك,تبوك,المصيف,فيلا,سكني,26,42370,157.74
2025,4,تبوك,الوجه,حي الورود,شقة,سكني,81,23035,193.97
2025,4,تبوك,تبوك,الفيصلية الشمالية,معرض تجاري,تجاري,29,0,0
2025,4,تبوك,مرخ,مرخ,شقة,سكني,1,16000,160
2025,4,تبوك,تبوك,النهضة,محل,تجاري,115,0,0
2025,4,تبوك,بئر بن هرماس,البلدة القديمة,محل,تجاري,15,0,0
2025,4,تبوك,أملج,السلام,محل,تجاري,36,0,0
2025,4,تبوك,تبوك,الفيصلية الشمالية,دور,سكني,13,17025,96.57
2025,4,تبوك,الوجه,حي الورود,دور,سكني,5,90000,674.15
2025,4,تبوك,تبوك,الدوائر الحكومية,شقة,سكني,5,14640,150.99
2025,4,تبوك,تبوك,السعادة,محل,تجاري,84,0,0
2025,4,تبوك,تبوك,القادسية الاول,محل,تجاري,92,0,0
2025,4,تبوك,قرية المثلث,قرية المثلث,دور,سكني,1,6000,30
2025,4,تبوك,تبوك,الشفاء,دور,سكني,4,31950,182.88
2025,4,تبوك,الجهراء القديمه,الجهراء القديمه,محل,تجاري,1,0,0
2025,4,تبوك,تبوك,الحزم,محل,تجاري,2,0,0
2025,4,تبوك,أملج,أبو شجره,شقة,سكني,73,29282.22,161.5
2025,4,تبوك,ضباء,ضحكان 1,معرض تجاري,تجاري,3,0,0
2025,4,تبوك,تبوك,الراجحي,مكتب,تجاري,2,0,0
2025,4,تبوك,أملج,الدقم,شقة,سكني,82,42425,336.48
2025,4,تبوك,تبوك,النظيم,استديو,سكني,7,9600,248
2025,4,تبوك,تبوك,الفيصلية الشمالية,شقة,سكني,518,14736.51,124.73
2025,4,تبوك,تبوك,البوادي,محل,تجاري,100,0,0
2025,4,تبوك,تبوك,الاحياء الجنوبية,شقة,سكني,212,16231.31,117.34
2025,4,تبوك,تبوك,المروج,محل,تجاري,233,0,0
2025,4,تبوك,اسكان حاله عمار,اسكان حاله عمار,شقة,سكني,3,17666.66,91.11
2025,4,تبوك,تبوك,غرناطة,معرض تجاري,تجاري,1,0,0
2025,4,تبوك,تبوك,الحزم,دور,سكني,2,30000,103.44
2025,4,تبوك,أملج,وادي الدغيدج,محل,تجاري,3,0,0
2025,4,تبوك,أملج,المرجان,شقة,سكني,16,17025,119.33
2025,4,تبوك,حقل,الحميضة,شقة,سكني,24,13028.57,93.52
2025,4,تبوك,تبوك,النظيم,دور,سكني,7,17485.71,73.18
2025,4,تبوك,تبوك,السعادة,مكتب,تجاري,16,0,0
2025,4,تبوك,تيماء,الفاو,محل,تجاري,2,0,0
2025,4,تبوك,تبوك,الورود,محل,تجاري,252,0,0
2025,4,تبوك,أملج,أبو شجره,فيلا,سكني,1,120000,480
2025,4,تبوك,تبوك,الصفاء,استديو,سكني,9,12240,201.37
2025,4,تبوك,ضباء,المقيطع,فيلا,سكني,10,22000,65
2025,4,تبوك,تبوك,النهضة,دور,سكني,30,18861.53,132.26
2025,4,تبوك,تبوك,واحة الشمال,محل,تجاري,3,0,0
2025,4,تبوك,تبوك,الراية,شقة,سكني,39,52337,606.8
2025,4,تبوك,أملج,الربيع,شقة,سكني,36,28862.5,198.99
2025,4,تبوك,تبوك,القادسية الثانى,دور,سكني,9,36800,157
2025,4,تبوك,حقل,غرب الظهرة,محل,تجاري,2,0,0
2025,4,تبوك,ضباء,شمال ارامكو,دور,سكني,3,31200,89.14
2025,4,تبوك,ضباء,عيانة 2,دور,سكني,5,106333.33,921.11
2025,4,تبوك,شغب,شغب,محل,تجاري,1,0,0
2025,4,تبوك,تيماء,الشرف,محل,تجاري,1,0,0
2025,4,تبوك,حقل,جنوب الحميضه,شقة,سكني,2,16800,155
2025,4,تبوك,الوجه,الخالدية,شقة,سكني,85,27930.27,176.76
2025,4,تبوك,ضباء,ضحكان 1,محل,تجاري,13,0,0
2025,4,تبوك,تبوك,سلطانة,دور,سكني,19,14233.33,117.6
2025,4,تبوك,حقل,الظهرة,استديو,سكني,1,6000,89.39
2025,4,تبوك,تبوك,القادسية الاول,دور,سكني,6,18920,119.14
2025,4,تبوك,تبوك,الياسمين,شقة,سكني,16,18342.85,151.4
