السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,الباحة,المخواة,أرض,سكني,45,4444316.3,27458.28,83.47515662,200,21.38
2026,1,الباحة,العقيق,دوبلكس,سكني,4,2673000,1008.04,NULL,NULL,NULL
2026,1,الباحة,بلجرشي,أرض,سكني,22,9011230.4,17517.15,285.4348296,599.53,93.02
2026,1,الباحة,الباحة,أرض,سكني,54,45864043.79,56958.29,434.9979843,727.27,163.25
2026,1,الباحة,المخواة,شقة,سكني,2,800000,288.48,NULL,NULL,NULL
2026,1,الباحة,العقيق,أرض,سكني,38,15992515,47961.5,265.2280166,592.59,18.18
2026,1,الباحة,العقيق,شقة,سكني,3,1478019,505.14,NULL,NULL,NULL
2026,1,الباحة,المندق,أرض,سكني,5,2423130,13774,NULL,NULL,NULL
2026,1,الباحة,بلجرشي,شقة,سكني,12,7090000,2428.91,2717.487051,2749.58,2677.67
2026,1,الباحة,المخواة,دوبلكس,سكني,1,800000,366.6,NULL,NULL,NULL
2026,1,الباحة,القرى,أرض,سكني,6,4371400,8660.29,171.6738197,178.57,165.29
2026,1,الباحة,الحجرة,أرض,سكني,3,97000,2194.93,NULL,NULL,NULL
2026,1,الباحة,الباحة,شقة,سكني,3,2184390,861.68,NULL,NULL,NULL
2026,1,الباحة,قلوة,أرض,سكني,6,1876194,6083.73,253.1337871,730.55,72.87
2026,1,الباحة,المخواة,دور,سكني,1,600000,238,NULL,NULL,NULL
