السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,2,الجوف,القريات,أرض,سكني,181,54946353.4,374552.029,252.4082662,800,72.21
2025,2,الجوف,سكاكا,فيلا,سكني,4,2544246,1502.1,NULL,NULL,NULL
2025,2,الجوف,سكاكا,دوبلكس,سكني,2,1667456,664.55,NULL,NULL,NULL
2025,2,الجوف,طبرجل,أرض,سكني,106,15774635.71,76911.32,168.0001395,416,84.73
2025,2,الجوف,سكاكا,شقة,سكني,14,3198700,1964.55,999.000999,999.04,998.96
2025,2,الجوف,دومة الجندل,أرض,سكني,98,7698353,61217.36,50.37983526,166.32,8.33
2025,2,الجوف,دومة الجندل,فيلا,سكني,1,10000,522.06,NULL,NULL,NULL
2025,2,الجوف,سكاكا,أرض,سكني,343,82071469.45,291826.975,302.8975572,1683.69,24.22
2025,2,الجوف,القريات,فيلا,سكني,4,1442000,2312.37,NULL,NULL,NULL
2025,2,الجوف,سكاكا,دور,سكني,2,1201843,621.2,NULL,NULL,NULL
