السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,الجوف,دومة الجندل,أرض,سكني,116,20066397.97,880698.01,13.4580197,109.66,0.25
2025,4,الجوف,سكاكا,شقة,سكني,18,6008564,2732.32,2220.231139,3055.27,1613.63
2025,4,الجوف,سكاكا,فيلا,سكني,6,5837000,2541.12,NULL,NULL,NULL
2025,4,الجوف,القريات,أرض,سكني,231,59832241.88,136505.77,325.6627765,1091.26,55.57
2025,4,الجوف,سكاكا,دور,سكني,2,777000,753.23,NULL,NULL,NULL
2025,4,الجوف,سكاكا,دوبلكس,سكني,5,3502500,1599.75,NULL,NULL,NULL
2025,4,الجوف,القريات,فيلا,سكني,4,2700000,2670.57,NULL,NULL,NULL
2025,4,الجوف,دومة الجندل,شقة,سكني,1,10000,155.78,NULL,NULL,NULL
2025,4,الجوف,طبرجل,أرض,سكني,63,19986296.13,52604.5,274.5267364,700.79,80
2025,4,الجوف,سكاكا,أرض,سكني,363,100370194.1,241732.075,219.53692,1052.06,0.11
