السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,الجوف,القريات,أرض,سكني,179,63107490.33,108401.36,385.93926,1250.46,36.23
2026,1,الجوف,سكاكا,دور,سكني,2,701000,628.75,NULL,NULL,NULL
2026,1,الجوف,طبرجل,فيلا,سكني,1,15000,757.77,NULL,NULL,NULL
2026,1,الجوف,دومة الجندل,فيلا,سكني,1,300000,625.76,NULL,NULL,NULL
2026,1,الجوف,سكاكا,دوبلكس,سكني,7,3607542,1943.84,NULL,NULL,NULL
2026,1,الجوف,سكاكا,فيلا,سكني,7,5216388,3287.84,NULL,NULL,NULL
2026,1,الجوف,سكاكا,شقة,سكني,10,2998062,1739.76,NULL,NULL,NULL
2026,1,الجوف,القريات,فيلا,سكني,2,900000,941.02,NULL,NULL,NULL
2026,1,الجوف,سكاكا,أرض,سكني,270,77623726.65,447306.22,274.9160615,1163.45,2.17
2026,1,الجوف,طبرجل,أرض,سكني,91,26902628.77,137258.9,221.3427677,700.7,71.43
2026,1,الجوف,دومة الجندل,أرض,سكني,123,8339535.5,88103.08,45.31878733,116.67,11.49
