السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,1,القصيم,رياض الخبراء,فيلا,سكني,4,1080000,2520,NULL,NULL,NULL
2025,1,القصيم,ضرية,فيلا,سكني,1,589571,500,NULL,NULL,NULL
2025,1,القصيم,بريدة,دوبلكس,سكني,43,31378224.59,14472.02,2056.965854,2056.97,2056.97
2025,1,القصيم,الرس,أرض,سكني,364,93912669.8,185497.855,363.8386531,654.55,179.9
2025,1,القصيم,رياض الخبراء,أرض,سكني,348,35075867.89,250622.13,98.91938963,210.53,37.5
2025,1,القصيم,عنيزة,فيلا,سكني,16,8021400,7653.02,NULL,NULL,NULL
2025,1,القصيم,البدائع,أرض,سكني,299,49141010.54,188617.197,161.1578445,300.35,83.33
2025,1,القصيم,عقلة الصقور,أرض,سكني,30,2816231.5,20023.43,53.79743285,82.76,22.68
2025,1,القصيم,بريدة,شقة,سكني,303,105170315,51363.9,2091.398446,3836.38,540.3
2025,1,القصيم,الشماسية,فيلا,سكني,1,60000,287,NULL,NULL,NULL
2025,1,القصيم,المذنب,دور,سكني,2,567000,358.5,NULL,NULL,NULL
2025,1,القصيم,عنيزة,شقة,سكني,67,23627776.71,11335.09,2287.971695,2545.81,1477.83
2025,1,القصيم,البدائع,شقة,سكني,1,138375,62.4,NULL,NULL,NULL
2025,1,القصيم,الرس,فيلا,سكني,10,5383367,5880.71,784.3655385,1250,550.44
2025,1,القصيم,عنيزة,أرض,سكني,584,208858736.1,562878.64,571.996847,3050.26,155.27
2025,1,القصيم,البكيرية,أرض,سكني,207,46388265.27,128703.74,196.2055914,368.42,61.54
2025,1,القصيم,بريدة,أرض,سكني,3352,1205680874,10376235.81,468.2184421,3781.82,2
2025,1,القصيم,البكيرية,دوبلكس,سكني,4,2190000,1366.94,NULL,NULL,NULL
2025,1,القصيم,الرس,دوبلكس,سكني,3,1410000,781.62,NULL,NULL,NULL
2025,1,القصيم,الشماسية,أرض,سكني,67,6196096.67,39907.9,75.25357226,134.62,42.31
2025,1,القصيم,بريدة,دور,سكني,81,55868849.55,19930.43,2850.560133,3932.51,1916.95
2025,1,القصيم,رياض الخبراء,شقة,سكني,1,459029,246.71,NULL,NULL,NULL
2025,1,القصيم,عيون الجواء,أرض,سكني,49,13089332.5,29112.44,193.1932823,520.6,85.71
2025,1,القصيم,المذنب,فيلا,سكني,2,332400,1249.33,NULL,NULL,NULL
2025,1,القصيم,الاسياح,أرض,سكني,112,9019501.51,112340.38,56.01815947,83.93,18.75
2025,1,القصيم,ضرية,أرض,سكني,30,2434375.4,70591.76,10.24884506,25,5
2025,1,القصيم,عنيزة,دوبلكس,سكني,15,11365401,4942.54,2465.04933,2522.76,2326.39
2025,1,القصيم,النبهانية,فيلا,سكني,2,32000,1039.54,NULL,NULL,NULL
2025,1,القصيم,البدائع,دور,سكني,1,558366,194.87,NULL,NULL,NULL
2025,1,القصيم,الرس,شقة,سكني,15,1964000,1356.42,1710.592047,2007.06,1123.96
2025,1,القصيم,عقلة الصقور,فيلا,سكني,1,40000,442,NULL,NULL,NULL
2025,1,القصيم,المذنب,أرض,سكني,364,28238255.09,249499.48,64.38363774,204.34,1.56
2025,1,القصيم,الرس,دور,سكني,3,1750000,710.94,NULL,NULL,NULL
2025,1,القصيم,البكيرية,فيلا,سكني,6,2762839,3212.05,629.3902782,1031.446541,286.9565217
2025,1,القصيم,بريدة,فيلا,سكني,86,57487723.2,37411.83,1247.809169,2666.666667,312.03
2025,1,القصيم,البدائع,فيلا,سكني,5,1475000,2792.72,NULL,NULL,NULL
2025,1,القصيم,عنيزة,دور,سكني,15,7622024,2937.59,NULL,NULL,NULL
2025,1,القصيم,النبهانية,أرض,سكني,163,11627267.89,135423.49,70.78791584,100,38.96
2025,1,القصيم,عيون الجواء,دور,سكني,1,170000,178.33,NULL,NULL,NULL
