السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,2,القصيم,النبهانية,أرض,سكني,124,6996950,102595.421,74.96760423,113.64,47.62
2025,2,القصيم,البدائع,دور,سكني,1,540000,502.109,NULL,NULL,NULL
2025,2,القصيم,الاسياح,أرض,سكني,76,5275800,59945.78,47.89283185,87.06,8.87
2025,2,القصيم,بريدة,دوبلكس,سكني,55,30833924,14516.355,2019.068298,3080,1286.9
2025,2,القصيم,البدائع,فيلا,سكني,20,7190963,9842.2,682.1151373,1152.5,243.5064935
2025,2,القصيم,البدائع,أرض,سكني,194,33698649.79,125378.343,167.729063,298.8,80
2025,2,القصيم,عيون الجواء,فيلا,سكني,2,130000,548.66,NULL,NULL,NULL
2025,2,القصيم,بريدة,شقة,سكني,188,66847636.4,32343.416,2223.922446,3380.54,1136.45
2025,2,القصيم,ضرية,أرض,سكني,22,7461416,235967.84,5.02349237,942.09,1.33
2025,2,القصيم,عنيزة,فيلا,سكني,37,22039766.2,16820.205,NULL,NULL,NULL
2025,2,القصيم,عنيزة,دور,سكني,13,6514250,2610.71,2697.324282,3495,1966.27
2025,2,القصيم,الرس,دور,سكني,1,490000,189.09,NULL,NULL,NULL
2025,2,القصيم,بريدة,فيلا,سكني,133,92900803.02,58313.725,1829.477734,3466.067982,523.6698785
2025,2,القصيم,بريدة,دور,سكني,97,51832973.87,20458.73,2834.957804,3995.94,2174.82225
2025,2,القصيم,رياض الخبراء,أرض,سكني,171,22341299.74,124826.21,115.0293375,219.6969697,48.31
2025,2,القصيم,رياض الخبراء,فيلا,سكني,20,8073151.74,10859.45,420.9790908,1100,90.90909091
2025,2,القصيم,عيون الجواء,أرض,سكني,44,6785090,35916.34,136.9548024,556.52,46.84
2025,2,القصيم,الرس,دوبلكس,سكني,3,1898000,857.24,NULL,NULL,NULL
2025,2,القصيم,الشماسية,أرض,سكني,59,4942320,38527.13,112.0972307,152.78,62.22
2025,2,القصيم,المذنب,أرض,سكني,293,23382436.01,122500.43,41.60069263,139.68,1.58
2025,2,القصيم,بريدة,أرض,سكني,1796,548282563.7,6312485.405,371.8576612,3636.36,34.48
2025,2,القصيم,الرس,شقة,سكني,8,2352123.89,1146.07,1916.822694,2472.073822,1208.45
2025,2,القصيم,البكيرية,أرض,سكني,159,24354840.03,89000.36,208.9639128,371.43,93.75
2025,2,القصيم,عنيزة,أرض,سكني,359,125208020.7,596572.607,492.1322417,3143.37,2.16
2025,2,القصيم,الرس,فيلا,سكني,23,17074800,9066.99,2096.526363,2386.133333,1840.087623
2025,2,القصيم,النبهانية,فيلا,سكني,3,75200,1362.54,NULL,NULL,NULL
2025,2,القصيم,البكيرية,شقة,سكني,1,200000,129.68,NULL,NULL,NULL
2025,2,القصيم,البكيرية,دوبلكس,سكني,2,1560000,902.61,NULL,NULL,NULL
2025,2,القصيم,عقلة الصقور,فيلا,سكني,2,75000,904,NULL,NULL,NULL
2025,2,القصيم,عنيزة,شقة,سكني,46,18052123,7908.24,2395.774358,3000,1428.57
2025,2,القصيم,رياض الخبراء,دور,سكني,5,1624536,1216.66,NULL,NULL,NULL
2025,2,القصيم,عنيزة,دوبلكس,سكني,4,2480000,1289.02,NULL,NULL,NULL
2025,2,القصيم,المذنب,فيلا,سكني,4,235000,1736.6,NULL,NULL,NULL
2025,2,القصيم,البكيرية,فيلا,سكني,12,8217000,5020.25,1859.090476,2083.333333,1655.961461
2025,2,القصيم,عقلة الصقور,أرض,سكني,52,2637668,43909.46,79.14553288,116.75,50
2025,2,القصيم,الرس,أرض,سكني,161,54495324.72,101369.545,404.5621408,709.64,181.16
