السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,3,القصيم,البدائع,فيلا,سكني,12,5175954.59,6042.6,769.1226343,1206.896552,427.8074866
2025,3,القصيم,البكيرية,فيلا,سكني,13,4944334.92,6489.25,922.4375807,1739.130435,290.9090909
2025,3,القصيم,عنيزة,دوبلكس,سكني,7,4475250.64,1824.26,NULL,NULL,NULL
2025,3,القصيم,عقلة الصقور,فيلا,سكني,2,48500,1433.43,NULL,NULL,NULL
2025,3,القصيم,رياض الخبراء,أرض,سكني,194,21607994,124946.27,105.2896904,222.22,39.31
2025,3,القصيم,عنيزة,دور,سكني,16,7584650,3230.73,NULL,NULL,NULL
2025,3,القصيم,عيون الجواء,أرض,سكني,52,5731012,26783.71,114.6478225,230.28,16.81
2025,3,القصيم,الرس,فيلا,سكني,20,14747182.2,8356.36,2112.391108,2495.974235,1700
2025,3,القصيم,البكيرية,أرض,سكني,168,31539494.56,101162.7,241.1349017,320,112.5
2025,3,القصيم,رياض الخبراء,فيلا,سكني,11,5616000,5926.48,766.736722,1302.211302,303.030303
2025,3,القصيم,بريدة,دور,سكني,86,39592201.35,16946.4,2612.383447,3398.337429,1308.82
2025,3,القصيم,النبهانية,فيلا,سكني,1,10000,323,NULL,NULL,NULL
2025,3,القصيم,عنيزة,فيلا,سكني,41,22226377.42,18699.44,1346.144909,1556.51485,1218.026797
2025,3,القصيم,البدائع,شقة,سكني,1,400000,138.46,NULL,NULL,NULL
2025,3,القصيم,ضرية,دور,سكني,1,454000,94.24,NULL,NULL,NULL
2025,3,القصيم,النبهانية,أرض,سكني,135,7396125,103481.694,69.59985271,113.64,15.25
2025,3,القصيم,عقلة الصقور,دور,سكني,1,4000000,4576.8,NULL,NULL,NULL
2025,3,القصيم,بريدة,شقة,سكني,225,76750322.48,36598.438,2119.325354,3437.189007,156.72
2025,3,القصيم,الرس,دور,سكني,2,813108.89,343.46,NULL,NULL,NULL
2025,3,القصيم,البكيرية,دوبلكس,سكني,2,820000,693.77,NULL,NULL,NULL
2025,3,القصيم,الرس,شقة,سكني,11,2424800,1577.52,1864.348922,2197.27,1424.5
2025,3,القصيم,رياض الخبراء,دور,سكني,2,561000,870.6,NULL,NULL,NULL
2025,3,القصيم,الاسياح,أرض,سكني,93,3423521.62,79405.87,32.96455624,84.06,6.63
2025,3,القصيم,بريدة,دوبلكس,سكني,62,45011754,18405.985,2449.243255,3180,2020
2025,3,القصيم,بريدة,أرض,سكني,1836,479118437.9,2218027.259,349.5668638,3260.25,1.96
2025,3,القصيم,ضرية,أرض,سكني,25,1424025,14851.28,10.02353526,26.67,2.5
2025,3,القصيم,عنيزة,شقة,سكني,37,13519040.1,6158.65,2328.333208,2987.633875,1268.667537
2025,3,القصيم,الشماسية,أرض,سكني,89,5546390,57695.328,64.9947206,126.98,36.19
2025,3,القصيم,البدائع,دور,سكني,1,50000,460.5,NULL,NULL,NULL
2025,3,القصيم,المذنب,أرض,سكني,443,33610529.31,177784.11,60.95404291,227.27,1.75
2025,3,القصيم,المذنب,فيلا,سكني,1,80000,302.66,NULL,NULL,NULL
2025,3,القصيم,عنيزة,أرض,سكني,370,133871980,418170.089,606.7528071,3561.942793,35.5
2025,3,القصيم,البدائع,أرض,سكني,288,34328443.76,152906.92,146.8160097,301.4318011,67.27
2025,3,القصيم,بريدة,فيلا,سكني,156,102771953.5,68045.398,1484.113734,3466.666667,314.2384202
2025,3,القصيم,عقلة الصقور,أرض,سكني,26,1160150,40799.62,61.53139028,80,40
2025,3,القصيم,الشماسية,فيلا,سكني,1,220000,305.48,NULL,NULL,NULL
2025,3,القصيم,عيون الجواء,دور,سكني,1,163000,178.33,NULL,NULL,NULL
