السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,القصيم,الشماسية,فيلا,سكني,1,70000,300.61,NULL,NULL,NULL
2025,4,القصيم,عقلة الصقور,أرض,سكني,36,1763900,24811.17,32.45530109,114.79,1.59
2025,4,القصيم,بريدة,أرض,سكني,1619,456263198.4,2588103.957,248.6402431,3373.33,10.65
2025,4,القصيم,المذنب,شقة,سكني,2,230000,200.03,NULL,NULL,NULL
2025,4,القصيم,ضرية,أرض,سكني,10,2641008.36,9373.7,73.73974237,454.07,1.73
2025,4,القصيم,رياض الخبراء,دور,سكني,1,50000,210.6,NULL,NULL,NULL
2025,4,القصيم,البدائع,فيلا,سكني,9,3474858.43,4682.69,768.412168,1163.874874,383.3333333
2025,4,القصيم,البدائع,أرض,سكني,263,25204585.92,137979.708,114.3724477,193.9393939,50
2025,4,القصيم,الرس,فيلا,سكني,26,19788612.68,11342.84,1690.562841,2338.523474,833.2083521
2025,4,القصيم,الرس,شقة,سكني,4,1200335,572.15,NULL,NULL,NULL
2025,4,القصيم,الرس,أرض,سكني,191,49571925.02,110811.64,328.6188828,623.38,100
2025,4,القصيم,رياض الخبراء,أرض,سكني,142,15242574.09,132176.7,105.1113084,220,37.5
2025,4,القصيم,الشماسية,أرض,سكني,45,2137624,27343.28,74.53832566,128.57,46.98
2025,4,القصيم,رياض الخبراء,شقة,سكني,1,70000,180.62,NULL,NULL,NULL
2025,4,القصيم,عنيزة,أرض,سكني,311,126103840.6,353285.975,471.4701618,3712.124727,120
2025,4,القصيم,عنيزة,دور,سكني,19,8507000,3972.48,NULL,NULL,NULL
2025,4,القصيم,بريدة,دور,سكني,105,50352638.37,21039.96,2680.64838,3632.4,1838.64
2025,4,القصيم,البكيرية,أرض,سكني,161,32785025.17,92996.23,215.2275216,386.9,78.69
2025,4,القصيم,المذنب,فيلا,سكني,3,1140385.11,1157.41,NULL,NULL,NULL
2025,4,القصيم,الرس,دور,سكني,1,95350,490.01,NULL,NULL,NULL
2025,4,القصيم,رياض الخبراء,فيلا,سكني,11,3135000,6167.61,552.1701139,1247.947455,368.6635945
2025,4,القصيم,البدائع,دور,سكني,1,181900,800,NULL,NULL,NULL
2025,4,القصيم,عنيزة,شقة,سكني,46,17678943.76,8615.63,2432.444897,3137.828458,1751.39
2025,4,القصيم,المذنب,أرض,سكني,334,29271718.92,130910.06,117.2163457,268,2.22
2025,4,القصيم,النبهانية,أرض,سكني,140,11154438.04,179018.6637,47.93768953,118.56,12.5
2025,4,القصيم,بريدة,فيلا,سكني,131,81893197.29,57980.345,1160.399578,2575.757576,136.97
2025,4,القصيم,النبهانية,فيلا,سكني,4,94500,3024.18,NULL,NULL,NULL
2025,4,القصيم,عنيزة,دوبلكس,سكني,10,9781676,2622.93,NULL,NULL,NULL
2025,4,القصيم,البكيرية,فيلا,سكني,17,8178495,8282.66,843.8645995,1612.903226,350.94
2025,4,القصيم,البدائع,شقة,سكني,2,503000,267.15,NULL,NULL,NULL
2025,4,القصيم,عيون الجواء,أرض,سكني,45,8081040.37,27042.34,123.9998293,476.19,2.86
2025,4,القصيم,بريدة,شقة,سكني,190,67532953.25,32598.21,2322.191018,3625.925366,1512.096774
2025,4,القصيم,بريدة,دوبلكس,سكني,69,46451656.66,19230.51,2198.586967,2600,1724.73
2025,4,القصيم,الاسياح,أرض,سكني,69,3653699.27,45901.73,34.00833164,80,6.63
2025,4,القصيم,عنيزة,فيلا,سكني,43,26670891.88,21064.239,NULL,NULL,NULL
