السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,1,عسير,النماص,شقة,سكني,1,487408,189.56,NULL,NULL,NULL
2025,1,عسير,المجاردة,شقة,سكني,1,400000,190.82,NULL,NULL,NULL
2025,1,عسير,محايل,دور,سكني,2,1237561,508.07,NULL,NULL,NULL
2025,1,عسير,خميس مشيط,فيلا,سكني,9,5771259.15,3944.98,977.3887674,984.51,971.09
2025,1,عسير,محايل,دوبلكس,سكني,7,6110000,2832.99,2149.088227,2186.66,2116.04
2025,1,عسير,ظهران الجنوب,أرض,سكني,33,3685124,20983.82,44.54409369,116.67,6.25
2025,1,عسير,ابها,أرض,سكني,568,620676830.1,1104620.009,401.3663151,4000,200
2025,1,عسير,خميس مشيط,أرض,سكني,675,427327812.7,425177.187,888.7746466,5009.32,77.73
2025,1,عسير,بلقرن,أرض,سكني,45,15754172.71,33365.854,187.6392021,500,25.16
2025,1,عسير,البرك,أرض,سكني,63,8282273,84115.9,148.2695536,227.27,74.07
2025,1,عسير,احد رفيده,شقة,سكني,82,52865733.83,20258.54,2710.91631,3129.51,2253.95
2025,1,عسير,خميس مشيط,دور,سكني,63,46403285.94,18118.59,2568.96369,3452.37,540.66
2025,1,عسير,الحرجه,أرض,سكني,16,2675023,11279.65,28.95296983,138.86,1.39
2025,1,عسير,بيشة,دوبلكس,سكني,1,100000,410.46,NULL,NULL,NULL
2025,1,عسير,النماص,أرض,سكني,10,3195450.3,7750.526,290.9674635,1482.95,21.67
2025,1,عسير,احد رفيده,أرض,سكني,141,69627817.98,84413.11,556.3917174,1075.66,285.71
2025,1,عسير,النماص,دور,سكني,1,400000,246.77,NULL,NULL,NULL
2025,1,عسير,بيشة,شقة,سكني,12,4926000,2432.36,2452.780693,2567.26,2313.97
2025,1,عسير,سراة عبيدة,شقة,سكني,3,300000,414.96,NULL,NULL,NULL
2025,1,عسير,خميس مشيط,دوبلكس,سكني,18,15380962,6636.73,1701.50183,1789.37,1435.41
2025,1,عسير,الحرجه,دور,سكني,1,610000,270.36,NULL,NULL,NULL
2025,1,عسير,سراة عبيدة,أرض,سكني,38,8214028,22025.01,177.7759821,333.33,74.33
2025,1,عسير,بيشة,دور,سكني,2,937500,501.66,NULL,NULL,NULL
2025,1,عسير,تثليث,شقة,سكني,2,735000,355.91,NULL,NULL,NULL
2025,1,عسير,رجال المع,أرض,سكني,38,3495284,25120.5,95.93952634,171.67,33.33
2025,1,عسير,بارق,أرض,سكني,40,6348730.38,109257.65,173.716074,270.9,87.5
2025,1,عسير,محايل,فيلا,سكني,7,6029990,2793.52,1931.777336,2535.14,1581.67
2025,1,عسير,طريب,أرض,سكني,175,9467146.06,135281.1,12.20782165,40,5
2025,1,عسير,محايل,شقة,سكني,41,20016616,7191.3,2834.257026,3259.3,2330.51
2025,1,عسير,خميس مشيط,شقة,سكني,173,101556056.8,43063.13,2346.393708,3096.91,791.66
2025,1,عسير,تنومة,دوبلكس,سكني,1,866000,470.29,NULL,NULL,NULL
2025,1,عسير,تثليث,فيلا,سكني,5,3407044,3465.84,NULL,NULL,NULL
2025,1,عسير,الامواه,أرض,سكني,10,105000,56510,1.521116679,12.5,1.2
2025,1,عسير,محايل,أرض,سكني,146,102955747.9,150427.551,291.6276317,1041.67,83.33
2025,1,عسير,احد رفيده,دوبلكس,سكني,4,3950000,1852.77,NULL,NULL,NULL
2025,1,عسير,ابها,فيلا,سكني,8,9894406.78,3587.23,NULL,NULL,NULL
2025,1,عسير,سراة عبيدة,دوبلكس,سكني,1,850000,421.53,NULL,NULL,NULL
2025,1,عسير,ابها,دور,سكني,61,43404814,17056.62,2469.710867,2953.6,2076.11
2025,1,عسير,تنومة,أرض,سكني,18,3489362,24070.64,71.5424572,367.65,0.36
2025,1,عسير,بيشة,فيلا,سكني,5,1449324.14,3618.392,NULL,NULL,NULL
2025,1,عسير,تثليث,أرض,سكني,121,9128329.84,75665.49,28.05499263,50,13.41
2025,1,عسير,احد رفيده,دور,سكني,16,11087134,4005.15,2761.039594,2997.49,2561.5
2025,1,عسير,ابها,دوبلكس,سكني,29,31551000,12417,2520.029379,2595.43,2449.59
2025,1,عسير,بيشة,أرض,سكني,172,51412847.14,546697.12,91.49145499,1185.51,0.19
2025,1,عسير,ابها,شقة,سكني,327,200730259.1,71574.76,2853.48038,3976.9,2196.7
2025,1,عسير,المجاردة,أرض,سكني,19,3745000,12256.31,176.1183515,401.61,40.72
