السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,2,عسير,محايل,شقة,سكني,30,15423191,5397.72,2957.508679,3279.96,2469.51
2025,2,عسير,بيشة,شقة,سكني,9,3307023,1785.79,NULL,NULL,NULL
2025,2,عسير,سراة عبيدة,أرض,سكني,39,11941839.96,31669.37,178.9127844,476.76,57.14
2025,2,عسير,ظهران الجنوب,أرض,سكني,20,5622150,11981.26,187.5266581,1027.85,1.94
2025,2,عسير,احد رفيده,شقة,سكني,65,40951514,15691.35,2607.327424,3019.17,2234.26
2025,2,عسير,بيشة,أرض,سكني,152,53536856.6,152359.393,181.4756877,1829,1.25
2025,2,عسير,ابها,أرض,سكني,521,377119351.5,328739.29,926.932468,3466.67,93.75
2025,2,عسير,احد رفيده,دور,سكني,21,13077404,4701.45,2902.815242,3185.53,2424.86
2025,2,عسير,بارق,أرض,سكني,24,2524250,16694.5,102.2650819,214.29,47.62
2025,2,عسير,خميس مشيط,أرض,سكني,562,330035222.5,361494.305,857.574163,4411.76,25
2025,2,عسير,بلقرن,فيلا,سكني,2,1454403,837.59,NULL,NULL,NULL
2025,2,عسير,ابها,شقة,سكني,310,191989898.2,68683.54,2862.228475,3482.71,2174.96
2025,2,عسير,ابها,دوبلكس,سكني,38,39963332,15348.36,3048.119783,3577.72,2375.7
2025,2,عسير,النماص,أرض,سكني,14,3817332,12602.31,206.8368587,337.08,131.4
2025,2,عسير,خميس مشيط,دور,سكني,51,35053502.51,12728.81,2748.95536,3465.23,2076.04
2025,2,عسير,محايل,دوبلكس,سكني,1,1014000,439.85,NULL,NULL,NULL
2025,2,عسير,محايل,أرض,سكني,99,40281013.91,70553.271,472.770595,1071.43,55.48
2025,2,عسير,خميس مشيط,فيلا,سكني,6,2751063.05,3757.16,NULL,NULL,NULL
2025,2,عسير,تنومة,أرض,سكني,14,4507060,12208.89,185.8626661,322.18,63.49
2025,2,عسير,احد رفيده,فيلا,سكني,1,880000,519.21,NULL,NULL,NULL
2025,2,عسير,الامواه,أرض,سكني,6,20000,4796,1.251564456,1.26,1.25
2025,2,عسير,طريب,أرض,سكني,185,4325500,130131.14,15.89741568,33.33,6.25
2025,2,عسير,محايل,فيلا,سكني,7,5941320,3137.26,2198.577734,2511.04,1880.15
2025,2,عسير,الحرجه,أرض,سكني,18,3687327.29,11530.84,6.01945195,16,1.36
2025,2,عسير,تثليث,شقة,سكني,4,1532000,667.72,NULL,NULL,NULL
2025,2,عسير,النماص,دور,سكني,1,10000,204.69,NULL,NULL,NULL
2025,2,عسير,بيشة,دور,سكني,5,2240000,2079.4,NULL,NULL,NULL
2025,2,عسير,البرك,فيلا,سكني,2,1500000,673.9,NULL,NULL,NULL
2025,2,عسير,بلقرن,أرض,سكني,40,8782924.14,28345.596,171.2536568,500,19.05
2025,2,عسير,البشائر,أرض,سكني,2,850000,1241,NULL,NULL,NULL
2025,2,عسير,احد رفيده,أرض,سكني,105,58162122.73,76177.81,584.9428516,1099.93,285.04
2025,2,عسير,تثليث,أرض,سكني,143,9002732.56,93715.75,30.29609739,53.33,13.33
2025,2,عسير,ابها,فيلا,سكني,10,7842470.84,4416.77,NULL,NULL,NULL
2025,2,عسير,تثليث,فيلا,سكني,2,1561678,725.36,NULL,NULL,NULL
2025,2,عسير,رجال المع,أرض,سكني,25,2984007.6,17714.84,99.21533316,166.67,55.56
2025,2,عسير,سراة عبيدة,شقة,سكني,1,386200,138.32,NULL,NULL,NULL
2025,2,عسير,المجاردة,أرض,سكني,14,2961455,10642.43,204.3996275,788.15,56.09
2025,2,عسير,النماص,شقة,سكني,2,40000,329.28,NULL,NULL,NULL
2025,2,عسير,خميس مشيط,دوبلكس,سكني,15,15490786,6769.83,2106.206716,2453.48,1760.72
2025,2,عسير,ظهران الجنوب,دور,سكني,1,545000,264.91,NULL,NULL,NULL
2025,2,عسير,خميس مشيط,شقة,سكني,139,80954439.35,32837.33,2442.95944,3510.53,1519.34
2025,2,عسير,بيشة,فيلا,سكني,4,1364918,2342.92,NULL,NULL,NULL
2025,2,عسير,البرك,أرض,سكني,42,5608424,44254.21,105.1861007,201.02,50
2025,2,عسير,ابها,دور,سكني,54,35635528,14062.55,2593.366195,2958.06,2076.11
2025,2,عسير,احد رفيده,دوبلكس,سكني,2,2110000,1145.1,NULL,NULL,NULL
