السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,3,عسير,ابها,دوبلكس,سكني,27,28971525,10655.21,2740.29058,2916.3,2585.59
2025,3,عسير,البرك,أرض,سكني,47,12134889.1,203170.67,77.38468251,199.66,30.3
2025,3,عسير,محايل,دوبلكس,سكني,1,865000,380.23,NULL,NULL,NULL
2025,3,عسير,رجال المع,أرض,سكني,36,3068500,20816,94.31478583,162.5,43.35
2025,3,عسير,ابها,فيلا,سكني,6,5287800,2390.09,NULL,NULL,NULL
2025,3,عسير,الامواه,أرض,سكني,9,146000,6941,8.598130841,14.47,5.95
2025,3,عسير,بلقرن,أرض,سكني,57,17706463.6,65510.09,156.4513574,466.67,2.5
2025,3,عسير,ابها,دور,سكني,48,32250923,12886.51,2823.322655,3406.71,2281.27
2025,3,عسير,ابها,أرض,سكني,593,562119652.7,1141874.08,684.8501752,3600,48.72
2025,3,عسير,بلقرن,دوبلكس,سكني,1,999000,420.06,NULL,NULL,NULL
2025,3,عسير,احد رفيده,دور,سكني,18,11579419,4594.58,2842.078307,3298.36,2486.68
2025,3,عسير,خميس مشيط,شقة,سكني,148,78210878.82,34341.99,2309.436097,3119.34,1120.93
2025,3,عسير,تثليث,أرض,سكني,142,9046900,84560.56,28.76602961,50,15.87
2025,3,عسير,بارق,أرض,سكني,33,10340637,39577.53,99.28300094,166.38,48
2025,3,عسير,خميس مشيط,فيلا,سكني,6,3390000,3548.04,NULL,NULL,NULL
2025,3,عسير,خميس مشيط,أرض,سكني,612,387653027.1,387540.715,846.1911371,4363.64,27.5
2025,3,عسير,بيشة,شقة,سكني,11,5487441.92,2451.02,2509.855172,2816.83,2268.6
2025,3,عسير,احد رفيده,فيلا,سكني,5,3967000,2431.54,NULL,NULL,NULL
2025,3,عسير,بلقرن,شقة,سكني,1,1000,129.21,NULL,NULL,NULL
2025,3,عسير,بارق,شقة,سكني,1,665000,181.2,NULL,NULL,NULL
2025,3,عسير,بارق,دوبلكس,سكني,1,900000,269.64,NULL,NULL,NULL
2025,3,عسير,سراة عبيدة,أرض,سكني,40,8598000,24920.67,211.1730176,640,37.5
2025,3,عسير,ظهران الجنوب,أرض,سكني,16,607000,10494,48.37770603,142.86,7.41
2025,3,عسير,تثليث,شقة,سكني,1,250000,188.53,NULL,NULL,NULL
2025,3,عسير,محايل,شقة,سكني,56,26139088.17,9611.45,2827.851953,3259.9,2351.1
2025,3,عسير,النماص,أرض,سكني,13,4919885,20787.63,159.4586725,476.19,114.94
2025,3,عسير,احد رفيده,شقة,سكني,67,37567715,15587.3,2525.803655,2953.81,2160.53
2025,3,عسير,الحرجه,أرض,سكني,24,1479000,15551.85,26.12361665,72.46,1.44
2025,3,عسير,احد رفيده,أرض,سكني,196,91428756.49,134628,607.5201419,1052.63,321.43
2025,3,عسير,المجاردة,شقة,سكني,1,380000,190.82,NULL,NULL,NULL
2025,3,عسير,تنومة,أرض,سكني,11,4169057,8371.84,406.3025434,589.01,32
2025,3,عسير,بيشة,أرض,سكني,144,48854766.44,123341.108,147.9350825,2331.72,0.87
2025,3,عسير,بيشة,فيلا,سكني,4,125000,2179.5,NULL,NULL,NULL
2025,3,عسير,محايل,أرض,سكني,167,51499797.22,121692.12,172.8764861,695.12,0.96
2025,3,عسير,ابها,شقة,سكني,447,261854783,93501.97,2863.016674,3818.87,1895.5
2025,3,عسير,محايل,فيلا,سكني,2,1740000,626.33,NULL,NULL,NULL
2025,3,عسير,احد رفيده,دوبلكس,سكني,10,9232730,4131.76,2267.67264,2286.94,2244.04
2025,3,عسير,محايل,دور,سكني,1,623000,290.8,NULL,NULL,NULL
2025,3,عسير,خميس مشيط,دور,سكني,64,42889073.68,16600.95,2716.032725,3327.08,2062.73
2025,3,عسير,المجاردة,أرض,سكني,13,2790900,10999.5,125.3901789,482.41,24.68
2025,3,عسير,خميس مشيط,دوبلكس,سكني,9,9419839,3614.63,NULL,NULL,NULL
2025,3,عسير,تثليث,فيلا,سكني,2,517960,1068.75,NULL,NULL,NULL
2025,3,عسير,النماص,دور,سكني,1,850000,421.28,NULL,NULL,NULL
2025,3,عسير,طريب,أرض,سكني,197,4846100,143411.56,7.535856794,32.26,0.38
