السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحاتM2,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,عسير,بيشة,فيلا,سكني,6,311000,4242.84,NULL,NULL,NULL
2025,4,عسير,احد رفيده,شقة,سكني,61,39192438,15423.18,2594.927058,3035.54,2192.73
2025,4,عسير,بارق,أرض,سكني,39,3902797.9,24212.243,109.1956041,214.29,1.33
2025,4,عسير,النماص,أرض,سكني,17,5420652.18,12830.21,174.4644128,340.26,19.67
2025,4,عسير,محايل,دوبلكس,سكني,3,2075000,924.32,NULL,NULL,NULL
2025,4,عسير,البرك,شقة,سكني,1,476000,133.43,NULL,NULL,NULL
2025,4,عسير,ابها,أرض,سكني,394,275352529.2,317678.3375,895.546709,3250,55.56
2025,4,عسير,بيشة,دوبلكس,سكني,1,50000,204.165,NULL,NULL,NULL
2025,4,عسير,ظهران الجنوب,أرض,سكني,12,2344896.59,9789.9,74.05063291,125,28.57
2025,4,عسير,بيشة,أرض,سكني,162,62163518.05,251853.304,91.98440519,1350,0.09
2025,4,عسير,تثليث,فيلا,سكني,4,837556.48,2515,NULL,NULL,NULL
2025,4,عسير,ابها,دوبلكس,سكني,24,26766400,10815.91,NULL,NULL,NULL
2025,4,عسير,احد رفيده,دور,سكني,27,18343495.19,6586.25,2832.674425,3236.6,1835.53
2025,4,عسير,تثليث,شقة,سكني,3,751000,421.5,NULL,NULL,NULL
2025,4,عسير,الامواه,أرض,سكني,5,13000,3955.5,NULL,NULL,NULL
2025,4,عسير,محايل,شقة,سكني,95,38833178,14610.95,2649.530769,2913.34,2405.51
2025,4,عسير,تثليث,دور,سكني,1,371939.13,319.96,NULL,NULL,NULL
2025,4,عسير,رجال المع,أرض,سكني,34,3627556,20623.78,117.7598508,232.56,71.43
2025,4,عسير,ابها,شقة,سكني,270,155241897.1,56505.08,2854.185401,3555.93,2042.98
2025,4,عسير,طريب,أرض,سكني,168,4180385.2,97135.06,5.842619814,17.53,0.96
2025,4,عسير,بيشة,دور,سكني,1,449889.58,372.4,NULL,NULL,NULL
2025,4,عسير,النماص,شقة,سكني,2,200000,203.19,NULL,NULL,NULL
2025,4,عسير,خميس مشيط,فيلا,سكني,7,5138244.85,2862.45,NULL,NULL,NULL
2025,4,عسير,سراة عبيدة,أرض,سكني,45,6385872.06,27053.69,108.7338717,382.35,30.3
2025,4,عسير,تنومة,أرض,سكني,20,10959889.98,17486.8,233.7486952,1062.98,3.1
2025,4,عسير,تثليث,أرض,سكني,108,11333614.46,61646.509,24.80831621,53.33,4.18
2025,4,عسير,خميس مشيط,دوبلكس,سكني,25,25614348,10940.88,2233.957752,2301,2050.86
2025,4,عسير,خميس مشيط,أرض,سكني,708,433177701.7,380486.659,1129.72497,3800,16
2025,4,عسير,ابها,دور,سكني,26,17015646,6128.59,2750.778005,3019.78,2492.34
2025,4,عسير,الامواه,فيلا,سكني,1,1000,400,NULL,NULL,NULL
2025,4,عسير,محايل,دور,سكني,5,2495000,973.17,NULL,NULL,NULL
2025,4,عسير,الحرجه,أرض,سكني,9,2210346.93,5965.5,141.7525773,362.02,7.81
2025,4,عسير,خميس مشيط,شقة,سكني,155,86360715.89,36804.25,2375.188965,3195.51,1341.77
2025,4,عسير,المجاردة,شقة,سكني,4,1773808,659.35,NULL,NULL,NULL
2025,4,عسير,احد رفيده,أرض,سكني,119,58129476.79,74424.91,640.4849916,1112.4,332.23
2025,4,عسير,محايل,فيلا,سكني,5,3819639.8,1969.09,NULL,NULL,NULL
2025,4,عسير,ابها,فيلا,سكني,5,4012466.68,2806.93,NULL,NULL,NULL
2025,4,عسير,البرك,أرض,سكني,78,9929051.6,93339.684,94.16651932,221.84,14.57
2025,4,عسير,خميس مشيط,دور,سكني,87,57650762.29,22190.06,2729.037118,3269.03,2076.24
2025,4,عسير,بيشة,شقة,سكني,16,6413984.48,3966.66,1128.159245,2288.09,175.11
2025,4,عسير,المجاردة,أرض,سكني,10,2151624.37,8143.11,98.68204645,178.57,57.22
2025,4,عسير,بلقرن,أرض,سكني,32,5550170.79,23740.1,154.3832851,289.86,20.66
2025,4,عسير,احد رفيده,فيلا,سكني,2,1440000,777.98,NULL,NULL,NULL
2025,4,عسير,محايل,أرض,سكني,148,37468774.63,123002.159,165.1310803,750,1.6
2025,4,عسير,احد رفيده,دوبلكس,سكني,4,3430000,1375.76,NULL,NULL,NULL
2025,4,عسير,ظهران الجنوب,دور,سكني,1,446487.82,308.7,NULL,NULL,NULL
