السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,عسير,محايل,أرض,سكني,127,53156699.75,90718.367,220.8728193,1000,1.67
2026,1,عسير,الحرجه,شقة,سكني,1,356984.99,208,NULL,NULL,NULL
2026,1,عسير,تثليث,شقة,سكني,3,598822,421.71,NULL,NULL,NULL
2026,1,عسير,بيشة,شقة,سكني,14,7870162,3096.06,2079.9211,2455.23,1692.09
2026,1,عسير,خميس مشيط,فيلا,سكني,11,10260000,7736.98,969.5195216,2219.84,787.58
2026,1,عسير,تثليث,فيلا,سكني,8,2406200.99,5580.88,268.9631431,606.81,1.21
2026,1,عسير,بيشة,أرض,سكني,141,48809482.91,134961.48,391.0009643,1666.67,1.71
2026,1,عسير,احد رفيده,فيلا,سكني,1,500000,386.82,NULL,NULL,NULL
2026,1,عسير,بيشة,فيلا,سكني,2,460000,1008.78,NULL,NULL,NULL
2026,1,عسير,خميس مشيط,شقة,سكني,179,100823445,42345.61,2363.505766,3356.15,111.86
2026,1,عسير,سراة عبيدة,شقة,سكني,2,986142.2,386.5822,NULL,NULL,NULL
2026,1,عسير,ابها,دوبلكس,سكني,21,24927159.99,9554.59,NULL,NULL,NULL
2026,1,عسير,النماص,أرض,سكني,20,8219000.4,11766.776,280.7831644,552.27,136.41
2026,1,عسير,ابها,دور,سكني,20,12201450,4710.98,2749.887581,3174.9,2369.33
2026,1,عسير,بلقرن,أرض,سكني,31,12576182.04,32624.153,201.408548,510.64,1.25
2026,1,عسير,محايل,دوبلكس,سكني,4,3077225,1391.76,NULL,NULL,NULL
2026,1,عسير,خميس مشيط,أرض,سكني,479,294863031.5,281837.623,850.3038069,4066.46,83.33
2026,1,عسير,خميس مشيط,دوبلكس,سكني,12,12638641,5234.3,NULL,NULL,NULL
2026,1,عسير,بلقرن,شقة,سكني,1,390000,168.36,NULL,NULL,NULL
2026,1,عسير,المجاردة,أرض,سكني,15,6069838.99,11925.57,274.5492081,806.45,81.25
2026,1,عسير,رجال المع,أرض,سكني,43,2992512,23785.5,90.93640942,160,8.33
2026,1,عسير,طريب,دور,سكني,1,500000,218.74,NULL,NULL,NULL
2026,1,عسير,تنومة,أرض,سكني,3,615104,1801.07,NULL,NULL,NULL
2026,1,عسير,تثليث,أرض,سكني,95,10098113.58,52786.4,42.80195725,145.71,4.18
2026,1,عسير,ابها,فيلا,سكني,5,4210000,2033.1,NULL,NULL,NULL
2026,1,عسير,الحرجه,أرض,سكني,19,1724705.65,19079.41,22.57047244,56.37,1.51
2026,1,عسير,سراة عبيدة,أرض,سكني,44,9503186.5,22034,75.81405011,318.47,1.24
2026,1,عسير,محايل,فيلا,سكني,2,1803000,686.33,NULL,NULL,NULL
2026,1,عسير,احد رفيده,شقة,سكني,62,41865835,15977.02,2599.15977,3126,2192.29
2026,1,عسير,ابها,شقة,سكني,258,150558358.4,56067.09,2698.096575,3534.6,1219.51
2026,1,عسير,محايل,دور,سكني,1,400000,322.1,NULL,NULL,NULL
2026,1,عسير,البرك,أرض,سكني,94,5520699,41708.17,97.37711296,216.67,15.15
2026,1,عسير,احد رفيده,دوبلكس,سكني,4,3649168,1266.69,NULL,NULL,NULL
2026,1,عسير,محايل,شقة,سكني,43,18074149.36,7666.29,2732.119994,3182.93,2212.23
2026,1,عسير,احد رفيده,دور,سكني,23,14034269,5591.44,2741.138666,3210.76,2187.52
2026,1,عسير,بارق,أرض,سكني,30,3343418.87,18659,104.4702558,293.65,3.2
2026,1,عسير,طريب,أرض,سكني,103,5612390,53326.92,17.46587671,106.06,0.96
2026,1,عسير,المجاردة,شقة,سكني,1,200000,154.09,NULL,NULL,NULL
2026,1,عسير,خميس مشيط,دور,سكني,86,58811439.33,21497.63,2661.476712,3434.95,1895.49
2026,1,عسير,الامواه,أرض,سكني,12,266000,9007.5,9.380863039,13.24,5.98
2026,1,عسير,ابها,أرض,سكني,278,191146742.1,232663.4857,860.5748665,3333.33,2.06
2026,1,عسير,احد رفيده,أرض,سكني,91,53286381.38,49620.56,913.3348383,1966.97,270.27
2026,1,عسير,ظهران الجنوب,أرض,سكني,18,3385919.78,13763.13,128.7518894,301.37,1.43
