السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,الشرقية,الاحساء,أرض,سكني,856,466379641.9,509954.162,976.814787,4875,0.03
2026,1,الشرقية,الدمام,شقة,سكني,1001,621202757.8,176095.07,3447.541896,5562.84153,964.66
2026,1,الشرقية,الاحساء,شقة,سكني,72,35725629.03,13442.27,2670.631754,3558.48,2074.09
2026,1,الشرقية,الخفجي,دور,سكني,1,16000,409,NULL,NULL,NULL
2026,1,الشرقية,الاحساء,دور,سكني,10,5050500,2182.03,NULL,NULL,NULL
2026,1,الشرقية,راس تنورة,شقة,سكني,1,565000,166.01,NULL,NULL,NULL
2026,1,الشرقية,الدمام,أرض,سكني,1013,1521436546,892705.446,1497.618044,7424.69,0
2026,1,الشرقية,الخبر,أرض,سكني,594,867067833.9,386556.125,2096.267034,7682.38,549.2219356
2026,1,الشرقية,القطيف,دور,سكني,2,650000,412.43,NULL,NULL,NULL
2026,1,الشرقية,الخفجي,أرض,سكني,244,67934945.4,155202.13,308.4212422,666.67,114.93
2026,1,الشرقية,الخبر,دوبلكس,سكني,69,67445210,23609.5,2657.120367,3400,2278.154086
2026,1,الشرقية,حفر الباطن,أرض,سكني,817,217163831.1,443968.46,354.6463295,2219.4,21.96
2026,1,الشرقية,القيصومة,أرض,سكني,1,50000,500,NULL,NULL,NULL
2026,1,الشرقية,الدمام,فيلا,سكني,316,1010915598,1121583.78,3388.466343,7296,1269.680041
2026,1,الشرقية,النعيرية,فيلا,سكني,4,1956172.05,2593.78,NULL,NULL,NULL
2026,1,الشرقية,القرية العليا,دوبلكس,سكني,1,1907.36,238.42,NULL,NULL,NULL
2026,1,الشرقية,القطيف,أرض,سكني,344,350190007.5,185824.739,2148.255029,3975,527.47
2026,1,الشرقية,الخبر,شقة,سكني,633,392415604.2,99165.43,3711.642865,6213.431697,1084.55
2026,1,الشرقية,الدمام,دور,سكني,11,5535575,3588.08,980.8537351,980.85,980.85
2026,1,الشرقية,القرية العليا,أرض,سكني,82,4817584,53263.66,33.2174073,87.91,1.14
2026,1,الشرقية,بقيق,أرض,سكني,121,25195851,114514.86,290.7701708,455.12,178.49
2026,1,الشرقية,القرية العليا,فيلا,سكني,5,981633.04,2776.59,NULL,NULL,NULL
2026,1,الشرقية,الدمام,دوبلكس,سكني,239,172345660.3,61160.91,2649.027955,3813.56,2247.56
2026,1,الشرقية,النعيرية,شقة,سكني,1,550000,257.07,NULL,NULL,NULL
2026,1,الشرقية,بقيق,فيلا,سكني,1,180000,609,NULL,NULL,NULL
2026,1,الشرقية,الجبيل,شقة,سكني,156,95178716.71,33219.37,2965.075882,3852.85,2381.3
2026,1,الشرقية,الجبيل,دوبلكس,سكني,47,37689847.3,14839.4,2609.011504,3303.93,2151.41
2026,1,الشرقية,الاحساء,فيلا,سكني,69,57235428.3,30486.43,1710.553774,2500,873.015873
2026,1,الشرقية,الجبيل,دور,سكني,1,500000,189.88,NULL,NULL,NULL
2026,1,الشرقية,الخفجي,فيلا,سكني,20,13643168,10985.5,1025.715755,1684.210526,600
2026,1,الشرقية,الجبيل,أرض,سكني,292,302183040.8,238175.52,783.351632,6578.95,160
2026,1,الشرقية,حفر الباطن,دور,سكني,3,1560000,1068.22,NULL,NULL,NULL
2026,1,الشرقية,الاحساء,دوبلكس,سكني,145,107314240,42770.94,2478.042064,3042.64,2101.17
2026,1,الشرقية,الخبر,دور,سكني,8,10174000,2630.19,NULL,NULL,NULL
2026,1,الشرقية,الخبر,فيلا,سكني,128,229413707.5,56242.58,4234.404428,9697.708114,2285.714286
2026,1,الشرقية,راس تنورة,أرض,سكني,16,5695000,6291.18,1069.4315,1278.26,900
2026,1,الشرقية,القطيف,دوبلكس,سكني,10,5857586,2663.47,NULL,NULL,NULL
2026,1,الشرقية,حفر الباطن,شقة,سكني,4,899000,656.91,NULL,NULL,NULL
2026,1,الشرقية,الجبيل,فيلا,سكني,39,54541283,19477.208,2910.755087,3422.703936,2400.137151
2026,1,الشرقية,حفر الباطن,فيلا,سكني,44,25619942.84,20775.02,1829.796369,2757.881818,944.03225
2026,1,الشرقية,القطيف,فيلا,سكني,79,84053352.9,38827.85,2505.399633,4266.666667,996.0159363
2026,1,الشرقية,النعيرية,أرض,سكني,183,22556580.34,342380.42,37.03317388,189.75,12.9
2026,1,الشرقية,القطيف,شقة,سكني,89,63527900,16866.165,3570.071401,6665.098408,3105.35
