السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,حائل,السليمي,أرض,سكني,40,1236250,23395.73,40.22572526,100.57,0.4
2025,4,حائل,بقعاء,فيلا,سكني,2,95500,1650,NULL,NULL,NULL
2025,4,حائل,حائل,دور,سكني,8,4839000,1562.69,NULL,NULL,NULL
2025,4,حائل,الشنان,أرض,سكني,141,4929913.17,84513.49,59.26823489,102.38,16.67
2025,4,حائل,حائل,فيلا,سكني,12,8666052.41,5385.69,NULL,NULL,NULL
2025,4,حائل,حائل,دوبلكس,سكني,22,15930200,7463.99,2224.539783,2231.08,2218.56
2025,4,حائل,سميراء,فيلا,سكني,1,1000,641.38,NULL,NULL,NULL
2025,4,حائل,بقعاء,أرض,سكني,495,19652444.89,66555486.77,0.272045295,100,0.01
2025,4,حائل,حائل,شقة,سكني,89,44374186.78,17289.43,2648.049118,3755.27,1869.39
2025,4,حائل,الغزالة,أرض,سكني,85,6154816.05,80418.96,93.16433566,145.71,64.29
2025,4,حائل,سميراء,أرض,سكني,12,415000,9321.5,40.11670314,56.05,16.67
2025,4,حائل,الحائط,أرض,سكني,19,3195650,10354.66,62.0441673,125,12.25
2025,4,حائل,الشملي,أرض,سكني,53,1860500,30365.67,52.93848686,91.67,12.29
2025,4,حائل,الحائط,فيلا,سكني,6,694122.93,4409.83,59.17788631,250,12.66
2025,4,حائل,حائل,أرض,سكني,1358,479350578.4,924901.71,517.4917703,2054.89,45.79
2025,4,حائل,موقق,أرض,سكني,48,2760026.05,32717.07,93.9869568,108.33,62.22
2025,4,حائل,الحائط,دوبلكس,سكني,1,10000,232.38,NULL,NULL,NULL
