السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,حائل,بقعاء,أرض,سكني,298,18010449.24,18142401.81,0.381449133,100,0.01
2026,1,حائل,الحائط,دوبلكس,سكني,1,50000,231.77,NULL,NULL,NULL
2026,1,حائل,حائل,أرض,سكني,1090,393304455.4,1172986.706,557.801197,4130.43,100
2026,1,حائل,السليمي,فيلا,سكني,1,1000,890.36,NULL,NULL,NULL
2026,1,حائل,حائل,دوبلكس,سكني,28,20943754,9157.97,NULL,NULL,NULL
2026,1,حائل,بقعاء,فيلا,سكني,11,1266200,6667.36,63.42491953,129.24,15.78
2026,1,حائل,حائل,دور,سكني,13,7221742,3325,NULL,NULL,NULL
2026,1,حائل,حائل,فيلا,سكني,88,48847953.43,45224.369,775.2586415,2500,194.65
2026,1,حائل,السليمي,أرض,سكني,41,997799,18822.32,60.9200004,104.9,7.183908046
2026,1,حائل,سميراء,فيلا,سكني,1,161500,437.5,NULL,NULL,NULL
2026,1,حائل,الشنان,فيلا,سكني,1,15000,900,NULL,NULL,NULL
2026,1,حائل,الحائط,فيلا,سكني,5,294000,1814.75,NULL,NULL,NULL
2026,1,حائل,سميراء,أرض,سكني,4,125000,3100,NULL,NULL,NULL
2026,1,حائل,الشنان,أرض,سكني,158,5029800,89667.02,47.0934331,105,6.7
2026,1,حائل,موقق,أرض,سكني,22,1414041.8,210114.52,70.77337322,102.57,33.33
2026,1,حائل,الحائط,أرض,سكني,19,4135348,10922.84,52.53361775,250,0.24
2026,1,حائل,الغزالة,أرض,سكني,112,4897500,59633.63,99.34093686,142.86,61.92
2026,1,حائل,الشملي,أرض,سكني,53,1635500,212295.52,46.02912576,78,10.8
2026,1,حائل,حائل,شقة,سكني,99,50272779.42,18952.94,2711.160861,3240.44,2250.23
