السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,3,جازان,الريث,أرض,سكني,1,533055,1066.11,NULL,NULL,NULL
2025,3,جازان,احد المسارحة,فيلا,سكني,1,1257862,414.73,NULL,NULL,NULL
2025,3,جازان,صامطة,شقة,سكني,8,4861104,1418.53,3295.884708,3622.7,3009.9
2025,3,جازان,العيدابي,أرض,سكني,16,6607129,9789.86,374.3793609,826.1,0.47
2025,3,جازان,جازان,دور,سكني,12,8260425,2790.24,NULL,NULL,NULL
2025,3,جازان,الدرب,فيلا,سكني,1,958400,405.1,NULL,NULL,NULL
2025,3,جازان,صبيا,شقة,سكني,1,344000,125.46,NULL,NULL,NULL
2025,3,جازان,صبيا,فيلا,سكني,2,670749.13,1012.1,NULL,NULL,NULL
2025,3,جازان,ابو عريش,دوبلكس,سكني,5,4694888,1721.37,NULL,NULL,NULL
2025,3,جازان,فرسان,أرض,سكني,1,1000,400,NULL,NULL,NULL
2025,3,جازان,جازان,دوبلكس,سكني,14,14466100,5411.37,NULL,NULL,NULL
2025,3,جازان,فيفاء,أرض,سكني,10,1863616,13476.2,48.434238,100,40.82
2025,3,جازان,العارضة,أرض,سكني,3,431528.4,2497.8,NULL,NULL,NULL
2025,3,جازان,ابو عريش,شقة,سكني,40,23828231.08,7213.84,3446.150086,4196.85,2852.15
2025,3,جازان,ابو عريش,فيلا,سكني,4,4030800,1554.26,NULL,NULL,NULL
2025,3,جازان,ضمد,فيلا,سكني,1,800000,358.74,NULL,NULL,NULL
2025,3,جازان,صامطة,أرض,سكني,49,18155816,32198.8,343.348488,595.24,149.75
2025,3,جازان,الدرب,أرض,سكني,29,4439355.4,27980.956,125.5647842,177.78,22.22
2025,3,جازان,جازان,شقة,سكني,358,222063835,66535.09,3242.980236,4706.81,2169.26
2025,3,جازان,الطوال,أرض,سكني,10,511004.8,6422.04,76.42776321,238.4,1.28
2025,3,جازان,هروب,أرض,سكني,2,370000,1270.84,NULL,NULL,NULL
2025,3,جازان,احد المسارحة,أرض,سكني,27,6651023,39448.45,52.22892437,761.9,1.91
2025,3,جازان,ضمد,شقة,سكني,1,466754,176.91,NULL,NULL,NULL
2025,3,جازان,صبيا,أرض,سكني,98,19839754.7,63101.62,99.73684895,449.54,1.86
2025,3,جازان,احد المسارحة,شقة,سكني,1,429500,155.21,NULL,NULL,NULL
2025,3,جازان,صامطة,فيلا,سكني,9,5954758.17,4350.54,1184.031492,2775.93,631.23
2025,3,جازان,جازان,فيلا,سكني,3,2136000,1068.9,NULL,NULL,NULL
2025,3,جازان,ابو عريش,أرض,سكني,250,66023569.34,214834.08,266.9169366,825.89,59.93
2025,3,جازان,ضمد,دوبلكس,سكني,7,6682673,2164.18,2966.037853,3426.17,2494.41
2025,3,جازان,صامطة,دوبلكس,سكني,4,4492000,1439.76,NULL,NULL,NULL
2025,3,جازان,بيش,أرض,سكني,271,40260728,174098.0746,45.88888827,205.81,3.64
2025,3,جازان,جازان,أرض,سكني,340,156144549.6,236010.82,607.913485,2332.9,3.07
2025,3,جازان,الطوال,فيلا,سكني,1,100000,411.69,NULL,NULL,NULL
2025,3,جازان,ضمد,أرض,سكني,42,9834428.5,32639.219,243.8978606,380,38
2025,3,جازان,الحرث,أرض,سكني,1,586560,1173.12,NULL,NULL,NULL
