السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,جازان,ابو عريش,دور,سكني,8,6194960,2061.45,3075.903267,3238.85,2878.53
2025,4,جازان,الطوال,أرض,سكني,11,3320219.11,14689.52,33.07612425,167.44,1.31
2025,4,جازان,ضمد,شقة,سكني,5,2658664,876.77,NULL,NULL,NULL
2025,4,جازان,صامطة,أرض,سكني,44,16264437.99,29527.69,406.3497456,664.71,84.48
2025,4,جازان,احد المسارحة,أرض,سكني,30,12109998.76,19432.209,517.0984648,759.35,278.04
2025,4,جازان,صبيا,فيلا,سكني,1,359540.13,500,NULL,NULL,NULL
2025,4,جازان,صبيا,أرض,سكني,94,13329931.92,60260.196,79.71451904,356.44,0.53
2025,4,جازان,ابو عريش,شقة,سكني,24,10919194.83,4035.89,2625.62743,3478.45,1262.52
2025,4,جازان,ضمد,فيلا,سكني,1,905000,358.74,NULL,NULL,NULL
2025,4,جازان,بيش,أرض,سكني,209,23274284.16,109491.384,50.65306873,200,2
2025,4,جازان,الحرث,أرض,سكني,1,663000,429,NULL,NULL,NULL
2025,4,جازان,ابو عريش,فيلا,سكني,1,903000,431.54,NULL,NULL,NULL
2025,4,جازان,هروب,أرض,سكني,1,10000,535,NULL,NULL,NULL
2025,4,جازان,جازان,فيلا,سكني,12,12312301.59,4523.78,NULL,NULL,NULL
2025,4,جازان,ضمد,أرض,سكني,55,12059831.84,35460.691,319.8388413,428,179.49
2025,4,جازان,الريث,أرض,سكني,2,558259.17,1503.72,NULL,NULL,NULL
2025,4,جازان,جازان,دوبلكس,سكني,15,16286488.9,5696.06,NULL,NULL,NULL
2025,4,جازان,العارضة,أرض,سكني,1,246438,378.73,NULL,NULL,NULL
2025,4,جازان,صبيا,دوبلكس,سكني,1,700000,288.66,NULL,NULL,NULL
2025,4,جازان,صامطة,شقة,سكني,13,7180224,2209.06,3434.619542,3498.64,3342.5
2025,4,جازان,الدرب,أرض,سكني,31,7399324,21323.193,99.68763292,333.86,0.92
2025,4,جازان,فيفاء,أرض,سكني,5,73000,2460,NULL,NULL,NULL
2025,4,جازان,فرسان,أرض,سكني,9,4221222,3614.05,492.2106264,1710,125
2025,4,جازان,ابو عريش,دوبلكس,سكني,11,9476659,3283.24,2762.044612,2911.2,2656
2025,4,جازان,صبيا,شقة,سكني,3,1326920,592.87,NULL,NULL,NULL
2025,4,جازان,جازان,أرض,سكني,410,194232252,268800.11,581.7780223,3070,3.13
2025,4,جازان,ابو عريش,أرض,سكني,221,63665859.33,171850.61,315.524353,3545.93,74.22
2025,4,جازان,جازان,شقة,سكني,266,150191803,48121.36,3146.696758,3787.93,2057.14
2025,4,جازان,جازان,دور,سكني,23,16091021,5637.29,3112.200653,3350.57,2732.59
2025,4,جازان,احد المسارحة,فيلا,سكني,2,1747000,716.99,NULL,NULL,NULL
2025,4,جازان,صامطة,دوبلكس,سكني,2,1630000,709.99,NULL,NULL,NULL
2025,4,جازان,العيدابي,أرض,سكني,17,5943164.89,10005.89,425.9703931,780,206.61
2025,4,جازان,صامطة,فيلا,سكني,4,3580472.31,1671.57,NULL,NULL,NULL
