السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,جازان,صامطة,دور,سكني,1,740000,198.8,NULL,NULL,NULL
2026,1,جازان,ضمد,شقة,سكني,3,1503766,545.1,NULL,NULL,NULL
2026,1,جازان,ابو عريش,أرض,سكني,154,44907722.65,130188.92,259.2280459,1789.84,10.13
2026,1,جازان,الدرب,شقة,سكني,1,447000,126.87,NULL,NULL,NULL
2026,1,جازان,فيفاء,أرض,سكني,3,463655.3,1732.09,NULL,NULL,NULL
2026,1,جازان,بيش,فيلا,سكني,1,937482,391.07,NULL,NULL,NULL
2026,1,جازان,الدرب,أرض,سكني,25,3824343.95,21370.505,68.17555032,263.8,0.14
2026,1,جازان,ضمد,فيلا,سكني,1,825000,358.74,NULL,NULL,NULL
2026,1,جازان,ابو عريش,دوبلكس,سكني,15,12277525,4926.49,2687.462775,3004.96,2198.64
2026,1,جازان,احد المسارحة,فيلا,سكني,3,2116222,979.44,NULL,NULL,NULL
2026,1,جازان,ابو عريش,شقة,سكني,33,18928882.52,5693.84,3509.614752,4110.68,2947.19
2026,1,جازان,صامطة,شقة,سكني,10,5532404,1582.26,3385.228199,3555.3,3073.49
2026,1,جازان,صبيا,شقة,سكني,2,1196990,290.67,NULL,NULL,NULL
2026,1,جازان,الريث,أرض,سكني,1,54885.6,101.64,NULL,NULL,NULL
2026,1,جازان,صبيا,فيلا,سكني,4,1055478.24,1962.3,NULL,NULL,NULL
2026,1,جازان,ابو عريش,دور,سكني,5,3921696,1380.88,NULL,NULL,NULL
2026,1,جازان,ابو عريش,فيلا,سكني,4,4218500,1763.52,NULL,NULL,NULL
2026,1,جازان,ضمد,دوبلكس,سكني,2,1755000,658.32,NULL,NULL,NULL
2026,1,جازان,احد المسارحة,أرض,سكني,50,14453723,37909.23,302.8009554,600,93.17
2026,1,جازان,جازان,أرض,سكني,317,143573595.5,218446.99,599.4186986,2555,46.36
2026,1,جازان,فرسان,فيلا,سكني,2,76589,800,NULL,NULL,NULL
2026,1,جازان,ضمد,أرض,سكني,43,8679312,29972.158,312.5099678,410.26,180.72
2026,1,جازان,جازان,دوبلكس,سكني,16,15168847,5859.52,NULL,NULL,NULL
2026,1,جازان,صامطة,فيلا,سكني,12,8254088.57,4994.71,1551.377234,2667.93,594.95
2026,1,جازان,جازان,شقة,سكني,322,172521187,56170.17,3076.09267,3847.76,2050.6
2026,1,جازان,هروب,أرض,سكني,3,2382792.28,6306.664,NULL,NULL,NULL
2026,1,جازان,ضمد,دور,سكني,2,1442000,524.44,NULL,NULL,NULL
2026,1,جازان,العارضة,أرض,سكني,7,2082950,39217.34,35.03737363,722.22,0.4
2026,1,جازان,جازان,فيلا,سكني,5,6225972,1992.96,NULL,NULL,NULL
2026,1,جازان,بيش,أرض,سكني,161,17491557.51,98786.5403,64.47759836,266.67,1.47
2026,1,جازان,العيدابي,أرض,سكني,15,5972110,9856.34,294.7503089,375,233.74
2026,1,جازان,صامطة,أرض,سكني,31,12143049,28959.8,451.77635,554.6,216.45
2026,1,جازان,صبيا,أرض,سكني,97,15421057,65834.359,84.19029756,411.24,1.83
2026,1,جازان,فرسان,أرض,سكني,6,1082000,2812.53,114.7808977,312.5,1.23
2026,1,جازان,الحرث,أرض,سكني,3,7936826,12323.77,NULL,NULL,NULL
2026,1,جازان,الطوال,أرض,سكني,5,87500,2916,NULL,NULL,NULL
2026,1,جازان,بيش,دوبلكس,سكني,1,950000,412.12,NULL,NULL,NULL
2026,1,جازان,جازان,دور,سكني,23,16885342,5764.32,2908.63453,3234.97,2522.39
