السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,1,المدينة المنورة,وادي الفرع,أرض,سكني,115,8346919,90810.46,85.70357968,110.67,66.67
2025,1,المدينة المنورة,المدينة المنورة,أرض,سكني,2199,1899768876,1249727.03,1232.072222,2969.56,25
2025,1,المدينة المنورة,الحناكية,أرض,سكني,120,13293396.94,70000.98,121.688064,210.53,44.98
2025,1,المدينة المنورة,ينبع,أرض,سكني,138,36516733.07,74919.59,496.901272,714.57,335.88
2025,1,المدينة المنورة,المدينة المنورة,دور,سكني,34,23047750,7029.69,3697.473898,4197.87,3042.27
2025,1,المدينة المنورة,محافظة المهد,أرض,سكني,25,8271072.44,12982.59,95.19634775,283.78,3.23
2025,1,المدينة المنورة,المدينة المنورة,شقة,سكني,750,453416121.9,139692.733,3147.810652,4740.49,2455.47
2025,1,المدينة المنورة,العلا,أرض,سكني,7,2331180,4398,NULL,NULL,NULL
2025,1,المدينة المنورة,المدينة المنورة,دوبلكس,سكني,119,144195641.9,44205.42,3357.552156,6077.51,2556.85
2025,1,المدينة المنورة,المدينة المنورة,فيلا,سكني,145,211528115.7,70330.82,2950.235871,5479.94,1293.19
2025,1,المدينة المنورة,بدر,أرض,سكني,1,1162816,2500,NULL,NULL,NULL
