السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,2,المدينة المنورة,المدينة المنورة,أرض,سكني,1703,1472903314,1108040.744,1301.037592,3137.55,124.75
2025,2,المدينة المنورة,وادي الفرع,أرض,سكني,92,7401900,74285.48,91.42569556,112.35,68.26
2025,2,المدينة المنورة,المدينة المنورة,شقة,سكني,444,305292628,81339.52,3442.369074,4739.91,2454.36
2025,2,المدينة المنورة,ينبع,أرض,سكني,39,3688323.04,17186.49,159.4383586,650.09,79.97
2025,2,المدينة المنورة,المدينة المنورة,دوبلكس,سكني,104,126972587.1,37514.9,3440.822332,3954.36,2696.22
2025,2,المدينة المنورة,محافظة المهد,أرض,سكني,51,5927940,27810.89,60.53216523,491.16,7.28
2025,2,المدينة المنورة,المدينة المنورة,دور,سكني,28,16793617.5,5718.24,3097.077086,4055.89,2749.14
2025,2,المدينة المنورة,العلا,أرض,سكني,11,12019890.36,6426.64,NULL,NULL,NULL
2025,2,المدينة المنورة,الحناكية,أرض,سكني,84,9065534.37,116664.88,92.47273174,178.04,31.75
2025,2,المدينة المنورة,المدينة المنورة,فيلا,سكني,118,164056877.7,55475.89,2704.810479,4259.2,1400
