السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,3,المدينة المنورة,العلا,أرض,سكني,9,2938962.4,4136.86,NULL,NULL,NULL
2025,3,المدينة المنورة,وادي الفرع,شقة,سكني,1,385000,204.95,NULL,NULL,NULL
2025,3,المدينة المنورة,الحناكية,أرض,سكني,94,12107679,52504.67,121.9295101,230.02,35.49
2025,3,المدينة المنورة,محافظة المهد,أرض,سكني,60,5425194.03,33419.57,47.3777344,114.81,14.55
2025,3,المدينة المنورة,ينبع,أرض,سكني,99,10448467.48,51589.87,137.4193357,627.29,80
2025,3,المدينة المنورة,المدينة المنورة,دور,سكني,53,35455018.9,10907.85,3519.672334,4368.72,2766.1
2025,3,المدينة المنورة,وادي الفرع,أرض,سكني,74,5371691,59610.58,81.10257432,106.92,62.5
2025,3,المدينة المنورة,المدينة المنورة,فيلا,سكني,222,204038908.5,97886.7,1773.021507,4171.43,190.75
2025,3,المدينة المنورة,المدينة المنورة,أرض,سكني,2182,1534970139,1177834.535,1178.369113,3093.49,112.53
2025,3,المدينة المنورة,المدينة المنورة,دوبلكس,سكني,107,137966100,39566.64,3509.676578,4315.74957,2763.4
2025,3,المدينة المنورة,الحناكية,شقة,سكني,4,600000,548.2,NULL,NULL,NULL
2025,3,المدينة المنورة,المدينة المنورة,شقة,سكني,758,438920598.7,145024.4037,2933.369369,5676.66,1717.39
