السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,المدينة المنورة,المدينة المنورة,أرض,سكني,1757,1346878660,1017375.716,1200.472705,4092.36,111.11
2025,4,المدينة المنورة,المدينة المنورة,دوبلكس,سكني,67,83636263,24669.53,3625.162028,4261.04,2899.25
2025,4,المدينة المنورة,العلا,أرض,سكني,13,9629074.44,7477.99,NULL,NULL,NULL
2025,4,المدينة المنورة,ينبع,أرض,سكني,13,868121,8679.12,100.0003027,100,100
2025,4,المدينة المنورة,محافظة المهد,أرض,سكني,76,9805635.89,42260.91,26.02559771,106.97,5.71
2025,4,المدينة المنورة,المدينة المنورة,دور,سكني,52,36550357,11085.16,3490.980845,5649.54,2624.52
2025,4,المدينة المنورة,المدينة المنورة,شقة,سكني,564,338617791,96081.94,3509.372465,5745.29,1875.41
2025,4,المدينة المنورة,المدينة المنورة,فيلا,سكني,121,127901341,53627.904,2381.406584,4800,177.14
2025,4,المدينة المنورة,وادي الفرع,أرض,سكني,85,4161944,66801.88,69.13270479,87.8,40.68
2025,4,المدينة المنورة,الحناكية,أرض,سكني,65,9463798.43,38784.86,131.5694688,215.79,52.31
