السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,المدينة المنورة,محافظة المهد,أرض,سكني,101,6154870.7,97301.66,14.94255682,50,4.96
2026,1,المدينة المنورة,العلا,فيلا,سكني,1,1000,440,NULL,NULL,NULL
2026,1,المدينة المنورة,العلا,شقة,سكني,2,190000,323.2,NULL,NULL,NULL
2026,1,المدينة المنورة,الحناكية,شقة,سكني,2,1113901,309.94,NULL,NULL,NULL
2026,1,المدينة المنورة,المدينة المنورة,دوبلكس,سكني,87,110742141.4,34519.85,3413.477043,4586.58,2567.92
2026,1,المدينة المنورة,المدينة المنورة,فيلا,سكني,82,88628176.63,38279.705,2015.038475,4323.08,613.33
2026,1,المدينة المنورة,وادي الفرع,أرض,سكني,70,2851100,53806.3,58.04349018,88,7.85
2026,1,المدينة المنورة,بدر,أرض,سكني,1,171677.4,5535.38,NULL,NULL,NULL
2026,1,المدينة المنورة,المدينة المنورة,شقة,سكني,473,289869809.9,80763.36,3696.173873,5889.68,2413.3
2026,1,المدينة المنورة,ينبع,أرض,سكني,17,2645058.89,7755.25,102.6540975,211.08,79.83
2026,1,المدينة المنورة,المدينة المنورة,أرض,سكني,1512,1099000029,1200639.638,1279.3971,4276.88,123.82
2026,1,المدينة المنورة,العلا,أرض,سكني,96,18882204.44,58307.04,112.0540053,525,1.27
2026,1,المدينة المنورة,المدينة المنورة,دور,سكني,34,24449907,7824.97,3338.858381,4175.84,2860.18
2026,1,المدينة المنورة,الحناكية,أرض,سكني,54,8708002.3,65798.07,131.8530675,268.08,68.83
