السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,مكة المكرمة,الطائف,فيلا,سكني,65,56144941.91,20485.14,2578.23078,3311.85,1108.51
2025,4,مكة المكرمة,الطائف,شقة,سكني,283,170682572.2,59990.387,2917.741825,4136.14,1913.46
2025,4,مكة المكرمة,القنفذة,دور,سكني,4,452000,785.52,NULL,NULL,NULL
2025,4,مكة المكرمة,الطائف,دور,سكني,10,6389351.87,2717.86,NULL,NULL,NULL
2025,4,مكة المكرمة,مكة المكرمة,دوبلكس,سكني,67,60146065.82,22539.91,2541.820185,3208.87,2248.53
2025,4,مكة المكرمة,بحرة,فيلا,سكني,21,17551747,6024.49,2745.447481,3173.31,2471.52
2025,4,مكة المكرمة,خليص,شقة,سكني,5,2535000,1029.6,NULL,NULL,NULL
2025,4,مكة المكرمة,الطائف,دوبلكس,سكني,125,104303359.3,41498.68,2520.547852,3102.43,2186.15
2025,4,مكة المكرمة,جدة,شقة,سكني,5518,3271147199,894275.5355,3697.028896,14058.16,1694.19
2025,4,مكة المكرمة,أضم,أرض,سكني,13,919500,54611.02,10.8677645,84.15,1.25
2025,4,مكة المكرمة,رابغ,شقة,سكني,3,1241500,600.93,NULL,NULL,NULL
2025,4,مكة المكرمة,رنية,أرض,سكني,55,6105261.98,43507.93,19.15043212,50,8.33
2025,4,مكة المكرمة,بحرة,أرض,سكني,78,48830910.9,33336.78,1364.918992,2697.14,672.22
2025,4,مكة المكرمة,الطائف,أرض,سكني,908,716801272.7,1227798.608,480.3581164,5492.15,3.16
2025,4,مكة المكرمة,تربه,أرض,سكني,176,14597619.61,74382.93,64.39996268,150,2.22
2025,4,مكة المكرمة,المويه القديم,أرض,سكني,47,2666410.3,45568.89,11.5030917,61.9,1.6
2025,4,مكة المكرمة,العرضيات,أرض,سكني,13,3446275.2,8111.21,254.9513095,395.4,100
2025,4,مكة المكرمة,رابغ,أرض,سكني,211,68223449.09,118251.03,398.3330493,550,276.72
2025,4,مكة المكرمة,الخرمة,أرض,سكني,56,6062092.17,667618.66,51.12343664,187.5,2.5
2025,4,مكة المكرمة,الليث,أرض,سكني,48,6290613.99,34225.49,126.6754744,304.9,17.15
2025,4,مكة المكرمة,بحرة,دوبلكس,سكني,20,17458700,5786.52,2983.586015,3293.31,2746.88
2025,4,مكة المكرمة,بحرة,شقة,سكني,10,6121700,1970.18,3256.157223,3974.41,2870.99
2025,4,مكة المكرمة,الجموم,دوبلكس,سكني,4,3377632,1520.79,NULL,NULL,NULL
2025,4,مكة المكرمة,مكة المكرمة,دور,سكني,45,32817125,10297.78,3086.417475,3483.19,2853.07
2025,4,مكة المكرمة,رابغ,فيلا,سكني,1,1000000,527.81,NULL,NULL,NULL
2025,4,مكة المكرمة,رنية,شقة,سكني,3,1107000,472.93,NULL,NULL,NULL
2025,4,مكة المكرمة,ميسان,أرض,سكني,4,27000,2587.57,NULL,NULL,NULL
2025,4,مكة المكرمة,خليص,أرض,سكني,75,19360500,82061.67,284.0965528,396.83,202.92
2025,4,مكة المكرمة,جدة,دوبلكس,سكني,90,144147335,38067.35,3405.235212,5976.98,2269.81
2025,4,مكة المكرمة,الجموم,أرض,سكني,44,13403484.8,27735.41,301.2761638,465.7534247,136.59
2025,4,مكة المكرمة,القنفذة,فيلا,سكني,1,665157,241.15,NULL,NULL,NULL
2025,4,مكة المكرمة,مكة المكرمة,أرض,سكني,2564,3638622504,1607167.252,1834.776602,5256.52,250
2025,4,مكة المكرمة,مكة المكرمة,شقة,سكني,1008,666502118.4,141930.85,3521.922767,12518.54,1088.56
2025,4,مكة المكرمة,مكة المكرمة,فيلا,سكني,145,226944185.9,65665.55,2834.742556,4000,1886.63
2025,4,مكة المكرمة,جدة,دور,سكني,18,16017255,4074.07,3926.038501,4169.85,3767.94
2025,4,مكة المكرمة,جدة,فيلا,سكني,328,632304944.1,148685.19,3850.731171,9335.9,975
2025,4,مكة المكرمة,القنفذة,شقة,سكني,8,2446500,1353.55,2150.946857,3070.13,1069.56
2025,4,مكة المكرمة,جدة,أرض,سكني,4473,7447016670,3064482.481,2347.796722,9600,194.46
2025,4,مكة المكرمة,الكامل,أرض,سكني,7,1900861,4871.04,105.8847485,239.81,33.33
2025,4,مكة المكرمة,القنفذة,أرض,سكني,193,27399572,289052.754,72.58381909,255.1,7.06
