السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,مكة المكرمة,الكامل,أرض,سكني,7,1797388.25,4297.28,108.4288213,176.67,31.75
2026,1,مكة المكرمة,الجموم,دوبلكس,سكني,2,2130000,662.71,NULL,NULL,NULL
2026,1,مكة المكرمة,مكة المكرمة,دور,سكني,32,63256460.96,8150.24,3037.183484,3227.48,2796.48
2026,1,مكة المكرمة,بحرة,شقة,سكني,3,1241333,527.62,NULL,NULL,NULL
2026,1,مكة المكرمة,القنفذة,شقة,سكني,12,4702000,2347.15,2187.325033,2628.05,1488.98
2026,1,مكة المكرمة,تربه,أرض,سكني,157,15947566.56,92053.87,97.95952804,166.67,12.5
2026,1,مكة المكرمة,جدة,فيلا,سكني,142,214175798,63873.55,3481.251141,6669.630947,966.68
2026,1,مكة المكرمة,القنفذة,أرض,سكني,140,24574043,98507.69,97.78818192,269.44,0.56
2026,1,مكة المكرمة,الجموم,فيلا,سكني,4,1941000,1824.95,NULL,NULL,NULL
2026,1,مكة المكرمة,بحرة,فيلا,سكني,11,8715062.67,3012.05,3094.251813,3196.01,3029.2
2026,1,مكة المكرمة,جدة,شقة,سكني,4307,2655087595,675646.1354,3876.00159,8089.89,1998.95
2026,1,مكة المكرمة,المويه القديم,أرض,سكني,29,3666221.69,21014.4,22.23170637,58.13,0.8
2026,1,مكة المكرمة,خليص,أرض,سكني,78,65241784.79,386210.47,274.0784936,383.52,193.97
2026,1,مكة المكرمة,الجموم,أرض,سكني,47,23960777.65,66285.817,244.962213,521.74,166.67
2026,1,مكة المكرمة,المويه القديم,فيلا,سكني,2,45000,804,NULL,NULL,NULL
2026,1,مكة المكرمة,ميسان,أرض,سكني,3,50000,1885.45,NULL,NULL,NULL
2026,1,مكة المكرمة,جدة,أرض,سكني,3134,5508359961,5915470.717,2383.224481,11429.53,169.45
2026,1,مكة المكرمة,الطائف,أرض,سكني,877,762680623.3,1023947.49,552.1433211,7225.2,0.39
2026,1,مكة المكرمة,بحرة,دوبلكس,سكني,22,19188089,6945.47,2764.74562,3299.16,2366.05
2026,1,مكة المكرمة,بحرة,دور,سكني,1,655000,355.5,NULL,NULL,NULL
2026,1,مكة المكرمة,جدة,دور,سكني,34,41741997.35,6508.8,5246.374764,8973.82,3144.26
2026,1,مكة المكرمة,الليث,أرض,سكني,48,6621069.7,31858.579,186.0911709,300,66.67
2026,1,مكة المكرمة,رابغ,أرض,سكني,162,49294117.1,104496.21,357.42135,511.79,195.39
2026,1,مكة المكرمة,مكة المكرمة,شقة,سكني,709,505775243.9,109877.88,3437.311904,7798.651747,2339.73
2026,1,مكة المكرمة,القنفذة,دوبلكس,سكني,7,5208310,1932.87,2750.605748,3065.08,2533.57
2026,1,مكة المكرمة,مكة المكرمة,دوبلكس,سكني,64,61569708.06,23078.24,2694.966075,3017.61,2338.63
2026,1,مكة المكرمة,رنية,أرض,سكني,51,7864829.28,106517.03,10.80472571,250,0.02
2026,1,مكة المكرمة,جدة,دوبلكس,سكني,68,107849376.3,25171.185,4863.103095,7266.67,2737.38
2026,1,مكة المكرمة,مكة المكرمة,فيلا,سكني,157,232492466.4,73437.32,2721.382802,3947.82,875
2026,1,مكة المكرمة,رنية,شقة,سكني,1,457000,176.67,NULL,NULL,NULL
2026,1,مكة المكرمة,الطائف,شقة,سكني,321,201831726.6,66789.76,2961.670579,4132.33,1983.58
2026,1,مكة المكرمة,الخرمة,أرض,سكني,58,8891547.34,35180.33,76.69337383,250.91,1.5
2026,1,مكة المكرمة,الطائف,دور,سكني,22,19858451.27,6905.71,2445.319459,2853.74,2229.79
2026,1,مكة المكرمة,رنية,فيلا,سكني,1,10000,625,NULL,NULL,NULL
2026,1,مكة المكرمة,رابغ,فيلا,سكني,2,1670000,934.9,NULL,NULL,NULL
2026,1,مكة المكرمة,الطائف,فيلا,سكني,38,29873177.46,13616.229,2557.167654,2861.93,2312.5
2026,1,مكة المكرمة,القنفذة,دور,سكني,4,1831000,925.43,NULL,NULL,NULL
2026,1,مكة المكرمة,خليص,شقة,سكني,11,6170418,2314.61,2556.949348,3062.1,2170.67
2026,1,مكة المكرمة,مكة المكرمة,أرض,سكني,1126,1601843387,1041391.354,1470.964936,24622.5,199.6
2026,1,مكة المكرمة,بحرة,أرض,سكني,66,48820918.85,25113.69,1598.778799,3828.1,757.5757576
2026,1,مكة المكرمة,الطائف,دوبلكس,سكني,116,97628038,38233.68,2636.697147,3171.88,2116.4
2026,1,مكة المكرمة,رابغ,شقة,سكني,1,50000,200.31,NULL,NULL,NULL
2026,1,مكة المكرمة,أضم,أرض,سكني,11,338000,8557.85,1.35201137,3.28,0.74
2026,1,مكة المكرمة,العرضيات,أرض,سكني,10,3436721.86,6020.2,427.0178637,557.39,249.36
