السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,1,الحدود الشمالية,العويقلية,أرض,سكني,29,2939326.75,17859.71,74.22166456,145.17,8.33
2025,1,الحدود الشمالية,عرعر,فيلا,سكني,1,850000,696.46,NULL,NULL,NULL
2025,1,الحدود الشمالية,عرعر,شقة,سكني,2,338374.1,345.08,NULL,NULL,NULL
2025,1,الحدود الشمالية,طريف,شقة,سكني,1,293000,126.6,NULL,NULL,NULL
2025,1,الحدود الشمالية,عرعر,أرض,سكني,587,105572941,391975.66,174.327652,1695.37,6.94
2025,1,الحدود الشمالية,عرعر,دور,سكني,1,649172.91,600,NULL,NULL,NULL
2025,1,الحدود الشمالية,عرعر,دوبلكس,سكني,2,950000,837.42,NULL,NULL,NULL
2025,1,الحدود الشمالية,طريف,أرض,سكني,61,23870991.58,658591.06,377.191753,1428.57,1.3
2025,1,الحدود الشمالية,رفحاء,أرض,سكني,172,57245973.78,105533.77,177.6885111,1268.29,1.42
2025,1,الحدود الشمالية,طريف,فيلا,سكني,3,1244070,1500,NULL,NULL,NULL
