السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,2,الحدود الشمالية,طريف,فيلا,سكني,2,900000,862.48,NULL,NULL,NULL
2025,2,الحدود الشمالية,طريف,دور,سكني,1,863116,307.71,NULL,NULL,NULL
2025,2,الحدود الشمالية,عرعر,أرض,سكني,453,60872478.22,295592.887,120.4085645,1950.52,3.17
2025,2,الحدود الشمالية,طريف,أرض,سكني,44,17569121.1,27586.45,381.1526916,1167.39,60
2025,2,الحدود الشمالية,رفحاء,فيلا,سكني,4,411000,2016.15,NULL,NULL,NULL
2025,2,الحدود الشمالية,عرعر,شقة,سكني,2,794745,282.63,NULL,NULL,NULL
2025,2,الحدود الشمالية,رفحاء,شقة,سكني,1,210000,117.72,NULL,NULL,NULL
2025,2,الحدود الشمالية,رفحاء,أرض,سكني,168,30452151.06,97316.171,116.6917551,913.56,0.2
2025,2,الحدود الشمالية,العويقلية,أرض,سكني,39,5818863.04,23493.56,92.87415101,200,7.91
2025,2,الحدود الشمالية,عرعر,دوبلكس,سكني,1,850000,329.5,NULL,NULL,NULL
