السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,3,الحدود الشمالية,عرعر,أرض,سكني,545,80425761,353634.257,153.5782656,1814.12,1.54
2025,3,الحدود الشمالية,رفحاء,أرض,سكني,163,28529679.92,98588.59,42.23937519,250,0.18
2025,3,الحدود الشمالية,عرعر,دور,سكني,2,1652600,677.29,NULL,NULL,NULL
2025,3,الحدود الشمالية,طريف,دور,سكني,1,615126,311.56,NULL,NULL,NULL
2025,3,الحدود الشمالية,طريف,أرض,سكني,59,22328534.01,34695.97,375.9826618,1183.43,36.36
2025,3,الحدود الشمالية,رفحاء,فيلا,سكني,3,285748.4,1278.5,NULL,NULL,NULL
2025,3,الحدود الشمالية,العويقلية,أرض,سكني,40,2191226,21822.89,41.65980355,166.67,4.8
2025,3,الحدود الشمالية,عرعر,شقة,سكني,3,1161387.5,475.8,NULL,NULL,NULL
2025,3,الحدود الشمالية,طريف,فيلا,سكني,2,1275668,1000,NULL,NULL,NULL
2025,3,الحدود الشمالية,عرعر,دوبلكس,سكني,3,2590200,967.96,NULL,NULL,NULL
