السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,الحدود الشمالية,العويقلية,أرض,سكني,44,6500462.32,22687.58,66.44139736,213.33,3.2
2025,4,الحدود الشمالية,عرعر,أرض,سكني,460,88908692.33,289053.717,196.8820291,1675.12,1.32
2025,4,الحدود الشمالية,طريف,فيلا,سكني,1,356661,500,NULL,NULL,NULL
2025,4,الحدود الشمالية,رفحاء,دوبلكس,سكني,4,1407300,1170.03,NULL,NULL,NULL
2025,4,الحدود الشمالية,طريف,أرض,سكني,67,23007622.65,38631.98,389.4748338,1320,28.99
2025,4,الحدود الشمالية,عرعر,دور,سكني,1,750000,319.57,NULL,NULL,NULL
2025,4,الحدود الشمالية,رفحاء,فيلا,سكني,5,1955552.42,2502.8,NULL,NULL,NULL
2025,4,الحدود الشمالية,رفحاء,أرض,سكني,198,40464759.7,108904.39,122.2893547,600,0.2
2025,4,الحدود الشمالية,عرعر,فيلا,سكني,1,276531.77,307.55,NULL,NULL,NULL
2025,4,الحدود الشمالية,عرعر,شقة,سكني,14,4508400,3050.33,1380.958816,1758.95,1006.24
