السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحاتM2,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,1,نجران,شرورة,أرض,سكني,98,28795063.57,69473.33,101.4300917,454.55,1.25
2025,1,نجران,شرورة,شقة,سكني,4,2167067,747.01,NULL,NULL,NULL
2025,1,نجران,نجران,فيلا,سكني,3,3188676,1209.28,NULL,NULL,NULL
2025,1,نجران,نجران,أرض,سكني,583,185258888.8,437610.222,224.5140854,1862.5,19.12
2025,1,نجران,ثار,أرض,سكني,30,2257900,19369.49,16.53332437,31.75,1.59
2025,1,نجران,حبونا,أرض,سكني,28,3587138,21030.7,38.35217368,63.49,21.43
2025,1,نجران,خباش,أرض,سكني,6,2310000,4605.57,471.4299953,888.89,291.91
2025,1,نجران,نجران,دوبلكس,سكني,40,30021420.43,12904.34,2274.784132,2744.39,1945.63
2025,1,نجران,نجران,شقة,سكني,61,31182247.42,11728.64,2956.805927,3252.6,2192.7
2025,1,نجران,يدمة,أرض,سكني,76,2602500,86091.32,4.958746508,25.4,0.61
2025,1,نجران,نجران,دور,سكني,11,7162268,3427.42,NULL,NULL,NULL
2025,1,نجران,بدر الجنوب,أرض,سكني,1,70000,405,NULL,NULL,NULL
