السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحاتM2,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,2,نجران,بدر الجنوب,أرض,سكني,5,180000,3305,NULL,NULL,NULL
2025,2,نجران,نجران,فيلا,سكني,3,2908000,1278.86,NULL,NULL,NULL
2025,2,نجران,خباش,أرض,سكني,5,1650000,3655.07,NULL,NULL,NULL
2025,2,نجران,نجران,أرض,سكني,517,141990414.5,396773.916,267.2196002,1428.57,1.36
2025,2,نجران,نجران,دوبلكس,سكني,39,29068112.41,12828.61,2252.265939,2568.99,1907.87
2025,2,نجران,حبونا,دور,سكني,2,473300,630.81,NULL,NULL,NULL
2025,2,نجران,شرورة,دور,سكني,6,3259800,1602.76,2446.241329,2869.3,2232.25
2025,2,نجران,حبونا,أرض,سكني,39,2637000,25013.53,29.09174786,75,2.91
2025,2,نجران,شرورة,أرض,سكني,82,17402417.03,51891.2,134.5432298,547.05,1.6
2025,2,نجران,نجران,شقة,سكني,59,27623342.68,11377.7,2611.162447,3375.23,1490.76
2025,2,نجران,شرورة,شقة,سكني,3,1628000,560.55,NULL,NULL,NULL
2025,2,نجران,يدمة,أرض,سكني,60,1739050,69741.54,2.593749004,26.67,0.25
2025,2,نجران,ثار,أرض,سكني,24,987095,16845.65,8.224316563,47.62,0.2
2025,2,نجران,نجران,دور,سكني,10,3182680.21,3045.68,NULL,NULL,NULL
