السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحاتM2,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,3,نجران,حبونا,فيلا,سكني,2,716000,545.64,NULL,NULL,NULL
2025,3,نجران,خباش,أرض,سكني,19,1950000,15261.42,73.60388953,182.54,42.61
2025,3,نجران,نجران,دوبلكس,سكني,29,21438574.09,9847.38,2363.034412,2845.76,1929.54
2025,3,نجران,يدمة,أرض,سكني,159,2993585.1,113774.03,2.083926963,13.89,0.6
2025,3,نجران,حبونا,دور,سكني,1,478850,221.18,NULL,NULL,NULL
2025,3,نجران,نجران,فيلا,سكني,6,4628000,2388.43,NULL,NULL,NULL
2025,3,نجران,بدر الجنوب,أرض,سكني,9,99925.5,5219.76,25.26515834,50,8
2025,3,نجران,نجران,أرض,سكني,497,130316352.8,466687.232,214.72611,2000,1.14
2025,3,نجران,شرورة,دور,سكني,2,895681,388.2,NULL,NULL,NULL
2025,3,نجران,شرورة,أرض,سكني,65,16637105.46,50939.2,134.2637873,383.5,20.83
2025,3,نجران,حبونا,أرض,سكني,80,3768002,54510.22,19.98031921,61.92,1.36
2025,3,نجران,نجران,دور,سكني,13,4209000,3750.73,NULL,NULL,NULL
2025,3,نجران,ثار,أرض,سكني,14,1031996.82,7305,6.591143151,15.15,1.59
2025,3,نجران,نجران,شقة,سكني,107,37238688,19386.51,1732.370071,3345.22,4.54
2025,3,نجران,شرورة,شقة,سكني,1,550000,190.8,NULL,NULL,NULL
