السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحاتM2,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,نجران,نجران,دور,سكني,13,4954147.81,2898.05,1034.007353,2010.57,57.44
2025,4,نجران,شرورة,أرض,سكني,89,18487445.13,59725.27,109.3063892,512.5,0.91
2025,4,نجران,نجران,دوبلكس,سكني,28,17418799,8687.58,2210.718575,2901.14,1089.46
2025,4,نجران,حبونا,أرض,سكني,67,6650228.86,43771.42,18.25165324,52.66,2.35
2025,4,نجران,شرورة,شقة,سكني,3,1247500,569.81,NULL,NULL,NULL
2025,4,نجران,ثار,أرض,سكني,23,1609760.49,13831.15,6.19892157,16.67,1.3
2025,4,نجران,نجران,فيلا,سكني,9,6530850,4041.46,1822.713925,2010.86,1640.06
2025,4,نجران,نجران,شقة,سكني,110,36969891,20212.55,1706.723313,3772.16,18.16
2025,4,نجران,بدر الجنوب,أرض,سكني,5,900044.96,4270.98,NULL,NULL,NULL
2025,4,نجران,يدمة,أرض,سكني,192,1688452.12,118456.19,1.940248885,3.17,1.59
2025,4,نجران,نجران,أرض,سكني,448,110859481.4,378576.413,212.5886288,1002.51,1.19
2025,4,نجران,خباش,أرض,سكني,52,4263869,34222.24,73.228255,214.29,31.35
2025,4,نجران,شرورة,دور,سكني,1,538000,359.35,NULL,NULL,NULL
