السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,نجران,حبونا,أرض,سكني,38,4141897.54,20449.54,70.58573913,228.57,2.5
2026,1,نجران,بدر الجنوب,فيلا,سكني,1,2000,563,NULL,NULL,NULL
2026,1,نجران,حبونا,دور,سكني,3,882602.59,644.08,NULL,NULL,NULL
2026,1,نجران,نجران,فيلا,سكني,11,8601700,4649.37,1857.396837,1938.84,1697.57
2026,1,نجران,شرورة,شقة,سكني,10,3305268.08,1512.86,2466.408501,3372.05,2035
2026,1,نجران,خباش,أرض,سكني,37,2287000,23706.2,49.46950038,103.17,7.94
2026,1,نجران,نجران,شقة,سكني,162,52621036.99,30395.9,1715.794935,3273.98,19.43
2026,1,نجران,شرورة,أرض,سكني,85,13935323.7,53168.86,89.50027585,313.33,1.19
2026,1,نجران,بدر الجنوب,أرض,سكني,13,988546.38,7541.15,17.46512857,76.09,1.25
2026,1,نجران,ثار,أرض,سكني,41,1149829,28050,5.225148683,16.67,0.2
2026,1,نجران,حبونا,شقة,سكني,2,700000,246.62,NULL,NULL,NULL
2026,1,نجران,نجران,أرض,سكني,358,117183956,262184.284,321.1090424,2750,62.5
2026,1,نجران,نجران,دوبلكس,سكني,39,22956678.15,12565.52,2098.872136,2486.21,1684.46
2026,1,نجران,نجران,دور,سكني,30,9938555,6465.73,1379.870876,2342.5,51.5
2026,1,نجران,شرورة,دور,سكني,1,750000,342.24,NULL,NULL,NULL
2026,1,نجران,يدمة,أرض,سكني,100,1184500,60583.6,1.932639718,2.56,1.59
