السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,القصيم,النبهانية,أرض,سكني,186,8250156.79,223545.24,26.43891653,98.31,1.45
2026,1,القصيم,البكيرية,فيلا,سكني,13,7047444,6227.52,1231.481226,2024.244668,280
2026,1,القصيم,المذنب,فيلا,سكني,3,560000,1226.73,NULL,NULL,NULL
2026,1,القصيم,المذنب,أرض,سكني,251,22605510.04,164065.01,153.1238672,260.71,34.48
2026,1,القصيم,البكيرية,دوبلكس,سكني,4,1982416.13,1358.29,NULL,NULL,NULL
2026,1,القصيم,رياض الخبراء,دور,سكني,3,560000,1369.35,NULL,NULL,NULL
2026,1,القصيم,عنيزة,دوبلكس,سكني,15,8969045.07,4441.77,NULL,NULL,NULL
2026,1,القصيم,رياض الخبراء,أرض,سكني,172,18520583.49,98605.99,134.9882307,210,58.99705015
2026,1,القصيم,بريدة,دور,سكني,97,46344596.67,19135.74,2817.110892,3344.64,1962.71
2026,1,القصيم,الرس,فيلا,سكني,29,15988555.96,12884.3,1335.575228,2163.19,637.6811594
2026,1,القصيم,عنيزة,شقة,سكني,41,15348154.73,6688.24,2378.242465,2559.09,2161.38
2026,1,القصيم,بريدة,شقة,سكني,195,71282315.31,33703.95,2425.217831,3674.500498,842.95
2026,1,القصيم,البدائع,فيلا,سكني,22,9876958,11557.378,880.0547371,1265.479526,375.9398496
2026,1,القصيم,عنيزة,دور,سكني,18,8494884.84,4152.18,NULL,NULL,NULL
2026,1,القصيم,المذنب,دور,سكني,1,986589,246.19,NULL,NULL,NULL
2026,1,القصيم,عيون الجواء,أرض,سكني,43,6829043.29,112138.08,112.6183773,307.2,28.81
2026,1,القصيم,بريدة,فيلا,سكني,194,120909213.9,80318.18,1345.018364,3440,200
2026,1,القصيم,البكيرية,أرض,سكني,164,31010048,105302.83,250.3310551,346.67,147.3
2026,1,القصيم,البدائع,دور,سكني,1,260000,410,NULL,NULL,NULL
2026,1,القصيم,عنيزة,أرض,سكني,284,119426844.7,275421.866,434.8852329,3107.62,55.49
2026,1,القصيم,عيون الجواء,فيلا,سكني,1,780000,664.87,NULL,NULL,NULL
2026,1,القصيم,الاسياح,فيلا,سكني,1,705447.18,715.1,NULL,NULL,NULL
2026,1,القصيم,البدائع,دوبلكس,سكني,1,448193.67,204,NULL,NULL,NULL
2026,1,القصيم,عقلة الصقور,أرض,سكني,39,2516648.26,17925.79,61.53005008,111.4,9.12
2026,1,القصيم,البدائع,شقة,سكني,1,115000,62.4,NULL,NULL,NULL
2026,1,القصيم,الشماسية,أرض,سكني,41,3454193.53,23380.54,90.50058879,143.21,51.39
2026,1,القصيم,النبهانية,فيلا,سكني,3,301000,1880.1,NULL,NULL,NULL
2026,1,القصيم,الرس,دوبلكس,سكني,3,1355000,929.13,NULL,NULL,NULL
2026,1,القصيم,رياض الخبراء,فيلا,سكني,18,5254699.67,12810.9,242.3470181,645.342312,81.63265306
2026,1,القصيم,القوارة,فيلا,سكني,1,20000,524.409,NULL,NULL,NULL
2026,1,القصيم,الرس,شقة,سكني,4,535000,300.83,NULL,NULL,NULL
2026,1,القصيم,رياض الخبراء,شقة,سكني,2,720000,361.24,NULL,NULL,NULL
2026,1,القصيم,القوارة,أرض,سكني,1,8000,665,NULL,NULL,NULL
2026,1,القصيم,بريدة,دوبلكس,سكني,50,36300465.12,14455.09,2762.522458,3293.84,1898.76
2026,1,القصيم,عنيزة,فيلا,سكني,44,50413862.72,19064.89,1249.111918,3100.084982,386.6254266
2026,1,القصيم,بريدة,أرض,سكني,1437,429229397.7,2476261.523,386.766336,3587.5,2.32
2026,1,القصيم,الاسياح,أرض,سكني,87,8945384.27,82184.12,47.32632791,111.11,3.33
2026,1,القصيم,ضرية,أرض,سكني,28,4393152.77,40930.28,25.21139005,489.78,1.67
2026,1,القصيم,البدائع,أرض,سكني,321,28641671,161023.143,86.3794382,181.16,12.5
2026,1,القصيم,الرس,أرض,سكني,136,40058841.42,394121.31,373.9141631,714.29,56.28
