السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,1,تبوك,تيماء,أرض,سكني,90,27839064,111215.47,101.2321204,275,31.7
2025,1,تبوك,املج,أرض,سكني,4,124418565.8,4390.45,NULL,NULL,NULL
2025,1,تبوك,تبوك,دور,سكني,4,3145000,1448.3,NULL,NULL,NULL
2025,1,تبوك,حقل,أرض,سكني,19,8155000,15176.29,339.5710719,654.94,145.86
2025,1,تبوك,تبوك,أرض,سكني,761,378900204,537773.163,742.2618425,2261.36,57.44
2025,1,تبوك,تيماء,شقة,سكني,1,550000,146.93,NULL,NULL,NULL
2025,1,تبوك,تبوك,شقة,سكني,494,320012510.1,98295.225,3396.792552,4151.48,1739.74
2025,1,تبوك,تيماء,فيلا,سكني,1,742000,294.77,NULL,NULL,NULL
2025,1,تبوك,تبوك,دوبلكس,سكني,47,49967427,17901.55,2969.793899,3201.84,2701.69
2025,1,تبوك,تبوك,فيلا,سكني,8,6914811.85,2712.63,NULL,NULL,NULL
